New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 19140, removed: TOM GEMS PAD 2
Time: 20280, removed: TOM GEMS PAD 2
Time: 21080, removed: TOM GEMS PAD 2
Time: 42200, removed: TOM GEMS PAD 2
Time: 43160, removed: TOM GEMS PAD 2
Time: 44120, removed: TOM GEMS PAD 2
Time: 50040, added: EXPERT 2xKick
Time: 50200, added: EXPERT 2xKick
Time: 50200, added: HARD Blue
Time: 50200, added: EXPERT Kick
Time: 50200, added: EXPERT Blue
Time: 50240, removed: HARD Blue
Time: 50240, removed: EXPERT Kick
Time: 50240, removed: EXPERT Blue
Time: 50360, added: EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick
Time: 50680, added: EXPERT 2xKick
Time: 50840, added: HARD Blue
Time: 50840, added: EXPERT Blue
Time: 50840, added: EASY Yellow
Time: 50840, added: EXPERT 2xKick
Time: 50840, added: HARD Kick
Time: 50840, added: MEDIUM Yellow
Time: 50840, added: EXPERT Kick
Time: 50840, added: EXPERT Yellow
Time: 50840, added: MEDIUM Blue
Time: 50880, removed: HARD Blue
Time: 50880, removed: EXPERT Blue
Time: 50880, removed: EASY Yellow
Time: 50880, removed: HARD Kick
Time: 50880, removed: MEDIUM Yellow
Time: 50880, removed: EXPERT Kick
Time: 50880, removed: EXPERT Yellow
Time: 50880, removed: MEDIUM Blue
Time: 51000, added: EXPERT 2xKick
Time: 51160, added: EXPERT 2xKick
Time: 51160, added: HARD Blue
Time: 51160, added: EXPERT Kick
Time: 51160, added: EXPERT Blue
Time: 51200, removed: HARD Blue
Time: 51200, removed: EXPERT Kick
Time: 51200, removed: EXPERT Blue
Time: 51320, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 51640, added: EXPERT 2xKick
Time: 51800, added: HARD Blue
Time: 51800, added: EXPERT Blue
Time: 51800, added: EASY Yellow
Time: 51800, added: EXPERT 2xKick
Time: 51800, added: HARD Kick
Time: 51800, added: MEDIUM Yellow
Time: 51800, added: EXPERT Kick
Time: 51800, added: EXPERT Yellow
Time: 51800, added: MEDIUM Blue
Time: 51840, removed: HARD Blue
Time: 51840, removed: EXPERT Blue
Time: 51840, removed: EASY Yellow
Time: 51840, removed: HARD Kick
Time: 51840, removed: MEDIUM Yellow
Time: 51840, removed: EXPERT Kick
Time: 51840, removed: EXPERT Yellow
Time: 51840, removed: MEDIUM Blue
Time: 51960, added: EXPERT 2xKick
Time: 52120, added: EXPERT 2xKick
Time: 52120, added: HARD Blue
Time: 52120, added: EXPERT Kick
Time: 52120, added: EXPERT Blue
Time: 52160, removed: HARD Blue
Time: 52160, removed: EXPERT Kick
Time: 52160, removed: EXPERT Blue
Time: 52280, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52600, added: EXPERT 2xKick
Time: 52760, added: HARD Blue
Time: 52760, added: EXPERT Blue
Time: 52760, added: EASY Yellow
Time: 52760, added: EXPERT 2xKick
Time: 52760, added: HARD Kick
Time: 52760, added: MEDIUM Yellow
Time: 52760, added: EXPERT Kick
Time: 52760, added: EXPERT Yellow
Time: 52760, added: MEDIUM Blue
Time: 52800, removed: HARD Blue
Time: 52800, removed: EXPERT Blue
Time: 52800, removed: EASY Yellow
Time: 52800, removed: HARD Kick
Time: 52800, removed: MEDIUM Yellow
Time: 52800, removed: EXPERT Kick
Time: 52800, removed: EXPERT Yellow
Time: 52800, removed: MEDIUM Blue
Time: 52920, added: EXPERT 2xKick
Time: 53080, added: EXPERT 2xKick
Time: 53080, added: HARD Blue
Time: 53080, added: EXPERT Kick
Time: 53080, added: EXPERT Blue
Time: 53120, removed: HARD Blue
Time: 53120, removed: EXPERT Kick
Time: 53120, removed: EXPERT Blue
Time: 53240, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 53560, added: EXPERT 2xKick
Time: 53700, added: EXPERT 2xKick
Time: 53880, added: EXPERT 2xKick
Time: 54000, added: EXPERT 2xKick
Time: 54240, added: EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick
Time: 54520, added: EXPERT 2xKick
Time: 54680, added: HARD Blue
Time: 54680, added: EASY Red
Time: 54680, added: EXPERT Blue
Time: 54680, added: MEDIUM Red
Time: 54680, added: EXPERT 2xKick
Time: 54680, added: HARD Red
Time: 54680, added: EXPERT Kick
Time: 54680, added: EXPERT Red
Time: 54680, added: MEDIUM Blue
Time: 54720, removed: HARD Blue
Time: 54720, removed: EASY Red
Time: 54720, removed: EXPERT Blue
Time: 54720, removed: MEDIUM Red
Time: 54720, removed: HARD Red
Time: 54720, removed: EXPERT Kick
Time: 54720, removed: EXPERT Red
Time: 54720, removed: MEDIUM Blue
Time: 54840, added: EXPERT 2xKick
Time: 55000, added: EXPERT 2xKick
Time: 55000, added: EXPERT Kick
Time: 55040, removed: EXPERT Kick
Time: 55160, added: EXPERT 2xKick
Time: 55320, added: EXPERT 2xKick
Time: 55520, added: EXPERT 2xKick
Time: 55640, added: HARD Blue
Time: 55640, added: EXPERT Blue
Time: 55640, added: EXPERT 2xKick
Time: 55640, added: HARD Kick
Time: 55640, added: EXPERT Kick
Time: 55640, added: EASY Kick
Time: 55640, added: MEDIUM Kick
Time: 55640, added: MEDIUM Blue
Time: 55680, removed: EASY Kick
Time: 55680, removed: HARD Blue
Time: 55680, removed: MEDIUM Kick
Time: 55680, removed: EXPERT Blue
Time: 55680, removed: HARD Kick
Time: 55680, removed: EXPERT Kick
Time: 55680, removed: MEDIUM Blue
Time: 55800, added: EXPERT 2xKick
Time: 55960, added: EXPERT 2xKick
Time: 55960, added: EXPERT Kick
Time: 56000, removed: EXPERT Kick
Time: 56120, added: EXPERT 2xKick
Time: 56280, added: EXPERT 2xKick
Time: 56480, added: EXPERT 2xKick
Time: 56600, added: HARD Blue
