New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 23640, added: EXPERT 2xKick
Time: 24600, added: EXPERT 2xKick
Time: 25560, added: EXPERT 2xKick
Time: 26520, added: EXPERT 2xKick
Time: 27480, added: EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick
Time: 29400, added: EXPERT 2xKick
Time: 30360, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 33240, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick
Time: 43800, added: EXPERT 2xKick
Time: 44760, added: EXPERT 2xKick
Time: 45720, added: EXPERT 2xKick
Time: 46680, added: EXPERT 2xKick
Time: 47640, added: EXPERT 2xKick
Time: 49560, added: EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick
Time: 55320, added: EXPERT 2xKick
Time: 62040, added: EXPERT 2xKick
Time: 63000, added: EXPERT 2xKick
Time: 63960, added: EXPERT 2xKick
Time: 69720, added: EXPERT 2xKick
Time: 70680, added: EXPERT 2xKick
Time: 71640, added: EXPERT 2xKick
Time: 72600, added: EXPERT 2xKick
Time: 77400, added: EXPERT 2xKick
Time: 78360, added: EXPERT 2xKick
Time: 79320, added: EXPERT 2xKick
Time: 80280, added: EXPERT 2xKick
Time: 81240, added: EXPERT 2xKick
Time: 82200, added: EXPERT 2xKick
Time: 85080, added: EXPERT 2xKick
Time: 86040, added: EXPERT 2xKick
Time: 88920, added: EXPERT 2xKick
Time: 89880, added: EXPERT 2xKick
Time: 92760, added: EXPERT 2xKick
Time: 93720, added: EXPERT 2xKick
Time: 96600, added: EXPERT 2xKick
Time: 97560, added: EXPERT 2xKick
Time: 100440, added: EXPERT 2xKick
Time: 101400, added: EXPERT 2xKick
Time: 104040, added: EXPERT 2xKick
Time: 104280, added: EXPERT 2xKick
Time: 104520, added: EXPERT 2xKick
Time: 104760, added: EXPERT 2xKick
Time: 105000, added: EXPERT 2xKick
Time: 105240, added: EXPERT 2xKick
Time: 105480, added: EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick
Time: 117720, added: EXPERT 2xKick
Time: 118680, added: EXPERT 2xKick
Time: 119640, added: EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick
Time: 127320, added: EXPERT 2xKick
Time: 128280, added: EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick
Time: 135000, added: EXPERT 2xKick
Time: 135960, added: EXPERT 2xKick
Time: 136920, added: EXPERT 2xKick
Time: 137880, added: EXPERT 2xKick
Time: 142680, added: EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick
Time: 145560, added: EXPERT 2xKick
Time: 146520, added: EXPERT 2xKick
Time: 147480, added: EXPERT 2xKick
Time: 150360, added: EXPERT 2xKick
Time: 151320, added: EXPERT 2xKick
Time: 154200, added: EXPERT 2xKick
Time: 155880, added: EXPERT 2xKick
Time: 156360, added: EXPERT 2xKick
Time: 158040, added: EXPERT 2xKick
Time: 159000, added: EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 166680, added: EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169560, added: EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick
Time: 170040, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 170520, added: EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick
Time: 188280, added: EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick
Time: 190200, added: EXPERT 2xKick
Time: 190440, added: EXPERT 2xKick
Time: 192120, added: EXPERT 2xKick
Time: 192360, added: EXPERT 2xKick
Time: 194040, added: EXPERT 2xKick
Time: 194280, added: EXPERT 2xKick
Time: 195960, added: EXPERT 2xKick
Time: 196200, added: EXPERT 2xKick
Time: 197880, added: EXPERT 2xKick
Time: 198120, added: EXPERT 2xKick
Time: 199800, added: EXPERT 2xKick
Time: 200040, added: EXPERT 2xKick
Time: 217560, added: EXPERT 2xKick
Time: 217800, added: EXPERT 2xKick
Time: 226440, added: EXPERT 2xKick
Time: 234480, added: EXPERT 2xKick
Time: 234960, added: EXPERT 2xKick
Time: 235440, added: EXPERT 2xKick
Time: 235920, added: EXPERT 2xKick
