New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 22080, added: EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick
Time: 22320, added: EXPERT 2xKick
Time: 22560, added: EXPERT 2xKick
Time: 22680, added: EXPERT 2xKick
Time: 22800, added: EXPERT 2xKick
Time: 29640, added: EXPERT 2xKick
Time: 29760, added: EXPERT 2xKick
Time: 30000, added: EXPERT 2xKick
Time: 30120, added: EXPERT 2xKick
Time: 30240, added: EXPERT 2xKick
Time: 30480, added: EXPERT 2xKick
Time: 30600, added: EXPERT 2xKick
Time: 30720, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 51600, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 53520, added: EXPERT 2xKick
Time: 55320, added: EXPERT 2xKick
Time: 55440, added: EXPERT 2xKick
Time: 57240, added: EXPERT 2xKick
Time: 57360, added: EXPERT 2xKick
Time: 58680, added: EXPERT 2xKick
Time: 58920, added: EXPERT 2xKick
Time: 59160, added: EXPERT 2xKick
Time: 59400, added: EXPERT 2xKick
Time: 59640, added: EXPERT 2xKick
Time: 59880, added: EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick
Time: 60360, added: EXPERT 2xKick
Time: 61080, added: EXPERT 2xKick
Time: 61200, added: EXPERT 2xKick
Time: 70440, added: EXPERT 2xKick
Time: 70680, added: EXPERT 2xKick
Time: 70920, added: EXPERT 2xKick
Time: 71160, added: EXPERT 2xKick
Time: 71400, added: EXPERT 2xKick
Time: 71640, added: EXPERT 2xKick
Time: 71880, added: EXPERT 2xKick
Time: 72120, added: EXPERT 2xKick
Time: 72360, added: EXPERT 2xKick
Time: 72600, added: EXPERT 2xKick
Time: 72840, added: EXPERT 2xKick
Time: 73080, added: EXPERT 2xKick
Time: 73320, added: EXPERT 2xKick
Time: 73560, added: EXPERT 2xKick
Time: 73800, added: EXPERT 2xKick
Time: 87120, added: EXPERT 2xKick
Time: 87240, added: EXPERT 2xKick
Time: 87360, added: EXPERT 2xKick
Time: 89280, added: EXPERT 2xKick
Time: 89400, added: EXPERT 2xKick
Time: 89520, added: EXPERT 2xKick
Time: 89640, added: EXPERT 2xKick
Time: 89760, added: EXPERT 2xKick
Time: 89880, added: EXPERT 2xKick
Time: 90000, added: EXPERT 2xKick
Time: 90120, added: EXPERT 2xKick
Time: 90240, added: EXPERT 2xKick
Time: 108120, added: EXPERT 2xKick
Time: 108240, added: EXPERT 2xKick
Time: 110040, added: EXPERT 2xKick
Time: 110160, added: EXPERT 2xKick
Time: 111960, added: EXPERT 2xKick
Time: 112080, added: EXPERT 2xKick
Time: 113880, added: EXPERT 2xKick
Time: 114000, added: EXPERT 2xKick
Time: 115320, added: EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick
Time: 117720, added: EXPERT 2xKick
Time: 117840, added: EXPERT 2xKick
Time: 127080, added: EXPERT 2xKick
Time: 127320, added: EXPERT 2xKick
Time: 127560, added: EXPERT 2xKick
Time: 127800, added: EXPERT 2xKick
Time: 128040, added: EXPERT 2xKick
Time: 128280, added: EXPERT 2xKick
Time: 128520, added: EXPERT 2xKick
Time: 128760, added: EXPERT 2xKick
Time: 129000, added: EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 129960, added: EXPERT 2xKick
Time: 130200, added: EXPERT 2xKick
Time: 130440, added: EXPERT 2xKick
Time: 159120, added: EXPERT 2xKick
Time: 159240, added: EXPERT 2xKick
Time: 159360, added: EXPERT 2xKick
Time: 163440, added: EXPERT 2xKick
Time: 163920, added: EXPERT 2xKick
Time: 164400, added: EXPERT 2xKick
Time: 164880, added: EXPERT 2xKick
Time: 165360, added: EXPERT 2xKick
Time: 165840, added: EXPERT 2xKick
Time: 166320, added: EXPERT 2xKick
Time: 166800, added: EXPERT 2xKick
Time: 167280, added: EXPERT 2xKick
Time: 167760, added: EXPERT 2xKick
Time: 168240, added: EXPERT 2xKick
Time: 168720, added: EXPERT 2xKick
Time: 169200, added: EXPERT 2xKick
Time: 169680, added: EXPERT 2xKick
Time: 170160, added: EXPERT 2xKick
Time: 170640, added: EXPERT 2xKick
Time: 171120, added: EXPERT 2xKick
Time: 171600, added: EXPERT 2xKick
Time: 172080, added: EXPERT 2xKick
Time: 172560, added: EXPERT 2xKick
Time: 173040, added: EXPERT 2xKick
Time: 173520, added: EXPERT 2xKick
Time: 174000, added: EXPERT 2xKick
Time: 174480, added: EXPERT 2xKick
Time: 174960, added: EXPERT 2xKick
Time: 175440, added: EXPERT 2xKick
Time: 175920, added: EXPERT 2xKick
Time: 176400, added: EXPERT 2xKick
Time: 176880, added: EXPERT 2xKick
Time: 177360, added: EXPERT 2xKick
