New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART GUITAR':
Time: 65034, added: Solo Marker
Time: 65040, removed: Solo Marker
Time: 92160, removed: HARD Green
Time: 92160, removed: EXPERT Green
Time: 92160, removed: EASY Yellow
Time: 92160, removed: MEDIUM Green
Time: 92168, added: HARD Green
Time: 92168, added: EXPERT Green
Time: 92168, added: EASY Yellow
Time: 92168, added: MEDIUM Green
Time: 92280, removed: EXPERT Green
Time: 92280, removed: HARD Green
Time: 92280, removed: EASY Yellow
Time: 92280, removed: MEDIUM Green
Time: 92288, added: EXPERT Green
Time: 92288, added: HARD Green
Time: 92288, added: EASY Yellow
Time: 92288, added: MEDIUM Green
Time: 92400, removed: HARD Green
Time: 92400, removed: EXPERT Green
Time: 92408, added: HARD Green
Time: 92408, added: EXPERT Green
Time: 92520, removed: HARD Green
Time: 92520, removed: EXPERT Green
Time: 92528, added: HARD Green
Time: 92528, added: EXPERT Green
Time: 92640, removed: MEDIUM Blue
Time: 92640, removed: EXPERT Blue
Time: 92640, removed: HARD Orange
Time: 92648, added: MEDIUM Blue
Time: 92648, added: EXPERT Blue
Time: 92648, added: HARD Orange
Time: 92720, removed: EXPERT Orange
Time: 92720, removed: MEDIUM Blue
Time: 92720, removed: EXPERT Blue
Time: 92720, removed: HARD Orange
Time: 92728, added: EXPERT Orange
Time: 92728, added: MEDIUM Blue
Time: 92728, added: EXPERT Blue
Time: 92728, added: HARD Orange
Time: 92800, removed: EXPERT Orange
Time: 92800, removed: EXPERT Blue
Time: 92808, added: EXPERT Orange
Time: 92808, added: EXPERT Blue
Time: 92880, removed: EXPERT Blue
Time: 92880, removed: HARD Yellow
Time: 92880, removed: EXPERT Yellow
Time: 92888, added: EXPERT Blue
Time: 92888, added: HARD Yellow
Time: 92888, added: EXPERT Yellow
Time: 93000, removed: EXPERT Yellow
Time: 93000, removed: EXPERT Yellow
Time: 93000, removed: HARD Yellow
Time: 93008, added: EXPERT Yellow
Time: 93008, added: EXPERT Yellow
Time: 93008, added: HARD Yellow
Time: 93120, removed: EASY Red
Time: 93120, removed: EXPERT Yellow
Time: 93120, removed: MEDIUM Red
Time: 93120, removed: HARD Red
Time: 93120, removed: EXPERT Red
