New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 9720, added: EXPERT 2xKick
Time: 9840, added: EXPERT 2xKick
Time: 9960, added: EXPERT 2xKick
Time: 10080, added: EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick
Time: 12720, added: EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick
Time: 12960, added: EXPERT 2xKick
Time: 15480, added: EXPERT 2xKick
Time: 15600, added: EXPERT 2xKick
Time: 15720, added: EXPERT 2xKick
Time: 15840, added: EXPERT 2xKick
Time: 21240, added: EXPERT 2xKick
Time: 21360, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21600, added: EXPERT 2xKick
Time: 24120, added: EXPERT 2xKick
Time: 24240, added: EXPERT 2xKick
Time: 24360, added: EXPERT 2xKick
Time: 24480, added: EXPERT 2xKick
Time: 27000, added: EXPERT 2xKick
Time: 27120, added: EXPERT 2xKick
Time: 27240, added: EXPERT 2xKick
Time: 27360, added: EXPERT 2xKick
Time: 29880, added: EXPERT 2xKick
Time: 30000, added: EXPERT 2xKick
Time: 30120, added: EXPERT 2xKick
Time: 30240, added: EXPERT 2xKick
Time: 30360, added: EXPERT 2xKick
Time: 30480, added: EXPERT 2xKick
Time: 30600, added: EXPERT 2xKick
Time: 30720, added: EXPERT 2xKick
Time: 36600, added: EXPERT 2xKick
Time: 36720, added: EXPERT 2xKick
Time: 36840, added: EXPERT 2xKick
Time: 36960, added: EXPERT 2xKick
Time: 37080, added: EXPERT 2xKick
Time: 37200, added: EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick
Time: 37440, added: EXPERT 2xKick
Time: 37560, added: EXPERT 2xKick
Time: 37680, added: EXPERT 2xKick
Time: 37800, added: EXPERT 2xKick
Time: 37920, added: EXPERT 2xKick
Time: 38040, added: EXPERT 2xKick
Time: 38160, added: EXPERT 2xKick
Time: 38280, added: EXPERT 2xKick
Time: 38400, added: EXPERT 2xKick
Time: 44280, added: EXPERT 2xKick
Time: 44400, added: EXPERT 2xKick
Time: 44520, added: EXPERT 2xKick
Time: 44640, added: EXPERT 2xKick
Time: 44760, added: EXPERT 2xKick
Time: 44880, added: EXPERT 2xKick
Time: 45000, added: EXPERT 2xKick
Time: 45120, added: EXPERT 2xKick
Time: 51960, added: EXPERT 2xKick
Time: 52080, added: EXPERT 2xKick
Time: 52200, added: EXPERT 2xKick
Time: 52320, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52560, added: EXPERT 2xKick
Time: 52680, added: EXPERT 2xKick
Time: 52800, added: EXPERT 2xKick
Time: 59640, added: EXPERT 2xKick
Time: 59760, added: EXPERT 2xKick
Time: 59880, added: EXPERT 2xKick
Time: 60000, added: EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick
Time: 60240, added: EXPERT 2xKick
Time: 60360, added: EXPERT 2xKick
Time: 60480, added: EXPERT 2xKick
Time: 67320, added: EXPERT 2xKick
Time: 67440, added: EXPERT 2xKick
Time: 67560, added: EXPERT 2xKick
Time: 67680, added: EXPERT 2xKick
Time: 67800, added: EXPERT 2xKick
Time: 67920, added: EXPERT 2xKick
Time: 68040, added: EXPERT 2xKick
Time: 68160, added: EXPERT 2xKick
Time: 99480, added: EXPERT 2xKick
Time: 99600, added: EXPERT 2xKick
Time: 99720, added: EXPERT 2xKick
Time: 99840, added: EXPERT 2xKick
Time: 105720, added: EXPERT 2xKick
Time: 105840, added: EXPERT 2xKick
Time: 105960, added: EXPERT 2xKick
Time: 106080, added: EXPERT 2xKick
