New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 23160, added: EXPERT 2xKick
Time: 23400, added: EXPERT 2xKick
Time: 23640, added: EXPERT 2xKick
Time: 23880, added: EXPERT 2xKick
Time: 24120, added: EXPERT 2xKick
Time: 24360, added: EXPERT 2xKick
Time: 24600, added: EXPERT 2xKick
Time: 24840, added: EXPERT 2xKick
Time: 25080, added: EXPERT 2xKick
Time: 25320, added: EXPERT 2xKick
Time: 25560, added: EXPERT 2xKick
Time: 25800, added: EXPERT 2xKick
Time: 26040, added: EXPERT 2xKick
Time: 26280, added: EXPERT 2xKick
Time: 26520, added: EXPERT 2xKick
Time: 26760, added: EXPERT 2xKick
Time: 27000, added: EXPERT 2xKick
Time: 27240, added: EXPERT 2xKick
Time: 27480, added: EXPERT 2xKick
Time: 27720, added: EXPERT 2xKick
Time: 27960, added: EXPERT 2xKick
Time: 28200, added: EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick
Time: 28680, added: EXPERT 2xKick
Time: 28920, added: EXPERT 2xKick
Time: 29160, added: EXPERT 2xKick
Time: 29400, added: EXPERT 2xKick
Time: 29640, added: EXPERT 2xKick
Time: 29880, added: EXPERT 2xKick
Time: 30120, added: EXPERT 2xKick
Time: 30360, added: EXPERT 2xKick
Time: 30600, added: EXPERT 2xKick
Time: 30840, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 32040, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 32520, added: EXPERT 2xKick
Time: 32760, added: EXPERT 2xKick
Time: 33000, added: EXPERT 2xKick
Time: 33240, added: EXPERT 2xKick
Time: 33480, added: EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick
Time: 33960, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 34440, added: EXPERT 2xKick
Time: 34680, added: EXPERT 2xKick
Time: 34920, added: EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick
Time: 35400, added: EXPERT 2xKick
Time: 35640, added: EXPERT 2xKick
Time: 35880, added: EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick
Time: 36360, added: EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick
Time: 42720, added: EXPERT 2xKick
Time: 43680, added: EXPERT 2xKick
