Differences found in track 'PART DRUMS':
Time: 72360, added: EXPERT 2xKick
Time: 94680, added: EXPERT 2xKick
Time: 94920, added: EXPERT 2xKick
Time: 95160, added: EXPERT 2xKick
Time: 95400, added: EXPERT 2xKick
Time: 95640, added: EXPERT 2xKick
Time: 95880, added: EXPERT 2xKick
Time: 96120, added: EXPERT 2xKick
Time: 96360, added: EXPERT 2xKick
Time: 96600, added: EXPERT 2xKick
Time: 96840, added: EXPERT 2xKick
Time: 97080, added: EXPERT 2xKick
Time: 97320, added: EXPERT 2xKick
Time: 97560, added: EXPERT 2xKick
Time: 97800, added: EXPERT 2xKick
Time: 98040, added: EXPERT 2xKick
Time: 98280, added: EXPERT 2xKick
Time: 98520, added: EXPERT 2xKick
Time: 98760, added: EXPERT 2xKick
Time: 99000, added: EXPERT 2xKick
Time: 99240, added: EXPERT 2xKick
Time: 99480, added: EXPERT 2xKick
Time: 99720, added: EXPERT 2xKick
Time: 99960, added: EXPERT 2xKick
Time: 100200, added: EXPERT 2xKick
Time: 100440, added: EXPERT 2xKick
Time: 100680, added: EXPERT 2xKick
Time: 100920, added: EXPERT 2xKick
Time: 101160, added: EXPERT 2xKick
Time: 101400, added: EXPERT 2xKick
Time: 101640, added: EXPERT 2xKick
Time: 101880, added: EXPERT 2xKick
Time: 102120, added: EXPERT 2xKick
Time: 102360, added: EXPERT 2xKick
Time: 102600, added: EXPERT 2xKick
Time: 102840, added: EXPERT 2xKick
Time: 103080, added: EXPERT 2xKick
Time: 103320, added: EXPERT 2xKick
Time: 103560, added: EXPERT 2xKick
Time: 103800, added: EXPERT 2xKick
Time: 104040, added: EXPERT 2xKick
Time: 104280, added: EXPERT 2xKick
Time: 104520, added: EXPERT 2xKick
Time: 104760, added: EXPERT 2xKick
Time: 105000, added: EXPERT 2xKick
Time: 105240, added: EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 129960, added: EXPERT 2xKick
Time: 130200, added: EXPERT 2xKick
Time: 130440, added: EXPERT 2xKick
Time: 130680, added: EXPERT 2xKick
Time: 130920, added: EXPERT 2xKick
Time: 131160, added: EXPERT 2xKick
Time: 131400, added: EXPERT 2xKick
Time: 131640, added: EXPERT 2xKick
Time: 131880, added: EXPERT 2xKick
Time: 132120, added: EXPERT 2xKick
Time: 132360, added: EXPERT 2xKick
Time: 132600, added: EXPERT 2xKick
Time: 132840, added: EXPERT 2xKick
Time: 133080, added: EXPERT 2xKick
Time: 133320, added: EXPERT 2xKick
Time: 133560, added: EXPERT 2xKick
Time: 133800, added: EXPERT 2xKick
Time: 134040, added: EXPERT 2xKick
Time: 134280, added: EXPERT 2xKick
Time: 134520, added: EXPERT 2xKick
Time: 134760, added: EXPERT 2xKick
Time: 135000, added: EXPERT 2xKick
Time: 135240, added: EXPERT 2xKick
Time: 135480, added: EXPERT 2xKick
Time: 135720, added: EXPERT 2xKick
Time: 135960, added: EXPERT 2xKick
Time: 140760, added: EXPERT 2xKick
Time: 152280, added: EXPERT 2xKick
Time: 152520, added: EXPERT 2xKick
Time: 152760, added: EXPERT 2xKick
Time: 153000, added: EXPERT 2xKick
Time: 153240, added: EXPERT 2xKick
Time: 153480, added: EXPERT 2xKick
Time: 153720, added: EXPERT 2xKick
Time: 153960, added: EXPERT 2xKick
Time: 154200, added: EXPERT 2xKick
Time: 154440, added: EXPERT 2xKick
Time: 154680, added: EXPERT 2xKick
Time: 154920, added: EXPERT 2xKick
Time: 155160, added: EXPERT 2xKick
Time: 155400, added: EXPERT 2xKick
Time: 155640, added: EXPERT 2xKick
Time: 155880, added: EXPERT 2xKick
Time: 156120, added: EXPERT 2xKick
Time: 156360, added: EXPERT 2xKick
Time: 156600, added: EXPERT 2xKick
Time: 156840, added: EXPERT 2xKick
Time: 157080, added: EXPERT 2xKick
Time: 157320, added: EXPERT 2xKick
Time: 157560, added: EXPERT 2xKick
Time: 157800, added: EXPERT 2xKick
Time: 158040, added: EXPERT 2xKick
Time: 158280, added: EXPERT 2xKick
Time: 158520, added: EXPERT 2xKick
Time: 158760, added: EXPERT 2xKick
Time: 159000, added: EXPERT 2xKick
Time: 159240, added: EXPERT 2xKick
Time: 159480, added: EXPERT 2xKick
Time: 159720, added: EXPERT 2xKick
Time: 159960, added: EXPERT 2xKick
Time: 160200, added: EXPERT 2xKick
Time: 160440, added: EXPERT 2xKick
Time: 160680, added: EXPERT 2xKick
Time: 160920, added: EXPERT 2xKick
Time: 161160, added: EXPERT 2xKick
Time: 161400, added: EXPERT 2xKick
Time: 161640, added: EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick
Time: 162120, added: EXPERT 2xKick
Time: 162360, added: EXPERT 2xKick
Time: 162600, added: EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick
Time: 163080, added: EXPERT 2xKick
Time: 163320, added: EXPERT 2xKick
Time: 163560, added: EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick
Time: 164040, added: EXPERT 2xKick
Time: 164280, added: EXPERT 2xKick
Time: 164520, added: EXPERT 2xKick
Time: 164760, added: EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick
Time: 165240, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 165960, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick
Time: 167520, added: EXPERT 2xKick
Time: 167760, added: EXPERT 2xKick
Time: 168000, added: EXPERT 2xKick
Time: 168240, added: EXPERT 2xKick
Time: 168480, added: EXPERT 2xKick
Time: 168720, added: EXPERT 2xKick
Time: 168960, added: EXPERT 2xKick
Time: 169200, added: EXPERT 2xKick
Time: 169440, added: EXPERT 2xKick
Time: 169680, added: EXPERT 2xKick
Time: 169920, added: EXPERT 2xKick
Time: 170160, added: EXPERT 2xKick
Time: 170400, added: EXPERT 2xKick
Time: 170640, added: EXPERT 2xKick
Time: 170880, added: EXPERT 2xKick
Time: 171120, added: EXPERT 2xKick
Time: 171360, added: EXPERT 2xKick
Time: 171600, added: EXPERT 2xKick
Time: 171840, added: EXPERT 2xKick
Time: 172080, added: EXPERT 2xKick
Time: 172320, added: EXPERT 2xKick
Time: 172560, added: EXPERT 2xKick
Time: 172800, added: EXPERT 2xKick
Time: 173040, added: EXPERT 2xKick
Time: 173280, added: EXPERT 2xKick
Time: 173520, added: EXPERT 2xKick
Time: 173760, added: EXPERT 2xKick
Time: 174000, added: EXPERT 2xKick
Time: 175320, added: EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick
Time: 175800, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
Time: 176280, added: EXPERT 2xKick
Time: 176520, added: EXPERT 2xKick
Time: 176760, added: EXPERT 2xKick
Time: 177000, added: EXPERT 2xKick
Time: 177240, added: EXPERT 2xKick
Time: 177480, added: EXPERT 2xKick
Time: 177720, added: EXPERT 2xKick
Time: 177960, added: EXPERT 2xKick
Time: 178200, added: EXPERT 2xKick
Time: 178440, added: EXPERT 2xKick
Time: 178680, added: EXPERT 2xKick
Time: 178920, added: EXPERT 2xKick
Time: 179160, added: EXPERT 2xKick
Time: 179400, added: EXPERT 2xKick
Time: 179640, added: EXPERT 2xKick
Time: 179880, added: EXPERT 2xKick
Time: 180120, added: EXPERT 2xKick
Time: 180360, added: EXPERT 2xKick
Time: 180600, added: EXPERT 2xKick
Time: 180840, added: EXPERT 2xKick
Time: 181080, added: EXPERT 2xKick
Time: 181320, added: EXPERT 2xKick
Time: 181560, added: EXPERT 2xKick
Time: 181800, added: EXPERT 2xKick
Time: 182040, added: EXPERT 2xKick
Time: 182280, added: EXPERT 2xKick
Text differences found in track 'PART DRUMS':
Time: 285119, Text event changed from '[no event]' to '[idle_realtime]'
Time: 285120, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 194560, added: LANE MARKER
Time: 196160, added: LANE MARKER
Text differences found in track 'PART GUITAR':
Time: 3840, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 5280, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 9597, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 11037, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 14881, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 16321, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 18720, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 20160, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 22560, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 24000, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 26399, Text event changed from '[map HandMap_Chord_D] ' to '[map HandMap_Chord_D]'
Time: 27839, Text event changed from '[map HandMap_Chord_A] ' to '[map HandMap_Chord_A]'
Time: 30240, Text event changed from '[map HandMap_Default] ' to '[map HandMap_Default]'
