New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 58200, added: EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick
Time: 62040, added: EXPERT 2xKick
Time: 63000, added: EXPERT 2xKick
Time: 63960, added: EXPERT 2xKick
Time: 64920, added: EXPERT 2xKick
Time: 65880, added: EXPERT 2xKick
Time: 66840, added: EXPERT 2xKick
Time: 68760, added: EXPERT 2xKick
Time: 69720, added: EXPERT 2xKick
Time: 70680, added: EXPERT 2xKick
Time: 74160, added: EXPERT 2xKick
Time: 74300, added: EXPERT 2xKick
Time: 76080, added: EXPERT 2xKick
Time: 76220, added: EXPERT 2xKick
Time: 79320, added: EXPERT 2xKick
Time: 81240, added: EXPERT 2xKick
Time: 83160, added: EXPERT 2xKick
Time: 84120, added: EXPERT 2xKick
Time: 85080, added: EXPERT 2xKick
Time: 86040, added: EXPERT 2xKick
Time: 87000, added: EXPERT 2xKick
Time: 88920, added: EXPERT 2xKick
Time: 90840, added: EXPERT 2xKick
Time: 91800, added: EXPERT 2xKick
Time: 92760, added: EXPERT 2xKick
Time: 93720, added: EXPERT 2xKick
Time: 95280, added: EXPERT 2xKick
Time: 95420, added: EXPERT 2xKick
Time: 97320, added: EXPERT 2xKick
Time: 100440, added: EXPERT 2xKick
Time: 101400, added: EXPERT 2xKick
Time: 102360, added: EXPERT 2xKick
Time: 103320, added: EXPERT 2xKick
Time: 104280, added: EXPERT 2xKick
Time: 105240, added: EXPERT 2xKick
Time: 106200, added: EXPERT 2xKick
Time: 107160, added: EXPERT 2xKick
Time: 108840, added: EXPERT 2xKick
Time: 110760, added: EXPERT 2xKick
Time: 113880, added: EXPERT 2xKick
Time: 114840, added: EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick
Time: 121560, added: EXPERT 2xKick
Time: 123480, added: EXPERT 2xKick
Time: 124440, added: EXPERT 2xKick
Time: 125400, added: EXPERT 2xKick
Time: 126360, added: EXPERT 2xKick
Time: 127800, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 130680, added: EXPERT 2xKick
Time: 131640, added: EXPERT 2xKick
Time: 132600, added: EXPERT 2xKick
Time: 136080, added: EXPERT 2xKick
Time: 136220, added: EXPERT 2xKick
Time: 138000, added: EXPERT 2xKick
Time: 138140, added: EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick
Time: 143160, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick
