New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 47640, added: EXPERT 2xKick
Time: 49560, added: EXPERT 2xKick
Time: 51720, added: EXPERT 2xKick
Time: 53640, added: EXPERT 2xKick
Time: 55560, added: EXPERT 2xKick
Time: 57480, added: EXPERT 2xKick
Time: 58440, added: EXPERT 2xKick
Time: 60360, added: EXPERT 2xKick
Time: 62280, added: EXPERT 2xKick
Time: 64200, added: EXPERT 2xKick
Time: 65160, added: EXPERT 2xKick
Time: 67080, added: EXPERT 2xKick
Time: 69000, added: EXPERT 2xKick
Time: 70920, added: EXPERT 2xKick
Time: 71880, added: EXPERT 2xKick
Time: 73800, added: EXPERT 2xKick
Time: 75720, added: EXPERT 2xKick
Time: 77640, added: EXPERT 2xKick
Time: 113160, added: EXPERT 2xKick
Time: 115080, added: EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick
Time: 118920, added: EXPERT 2xKick
Time: 119880, added: EXPERT 2xKick
Time: 121800, added: EXPERT 2xKick
Time: 124920, added: EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 130440, added: EXPERT 2xKick
Time: 130680, added: EXPERT 2xKick
Time: 132600, added: EXPERT 2xKick
Time: 137400, added: EXPERT 2xKick
Time: 139080, added: EXPERT 2xKick
Time: 139320, added: EXPERT 2xKick
Time: 139560, added: EXPERT 2xKick
Time: 139800, added: EXPERT 2xKick
Time: 140040, added: EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick
Time: 140520, added: EXPERT 2xKick
Time: 140760, added: EXPERT 2xKick
Time: 141000, added: EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick
Time: 141480, added: EXPERT 2xKick
Time: 141720, added: EXPERT 2xKick
Time: 141960, added: EXPERT 2xKick
Time: 142200, added: EXPERT 2xKick
Time: 142440, added: EXPERT 2xKick
Time: 142680, added: EXPERT 2xKick
Time: 142920, added: EXPERT 2xKick
Time: 143160, added: EXPERT 2xKick
Time: 143400, added: EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick
Time: 143880, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 144360, added: EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick
Time: 144840, added: EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick
Time: 145320, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 172200, added: EXPERT 2xKick
Time: 174120, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
Time: 177960, added: EXPERT 2xKick
Time: 181080, added: EXPERT 2xKick
Time: 185640, added: EXPERT 2xKick
Time: 185880, added: EXPERT 2xKick
Time: 186600, added: EXPERT 2xKick
Time: 186840, added: EXPERT 2xKick
Time: 188760, added: EXPERT 2xKick
Time: 193560, added: EXPERT 2xKick
Time: 195480, added: EXPERT 2xKick
Time: 209360, added: EXPERT 2xKick
Time: 209467, added: HARD Green
Time: 209467, added: DRUM FILL
Time: 209467, added: Unknown Note (105)
Time: 209467, added: MEDIUM Red
Time: 209467, added: EXPERT 2xKick
Time: 209467, added: EXPERT Green
Time: 209467, added: DRUM FILL
Time: 209467, added: HARD Red
Time: 209467, added: EASY Green
Time: 209467, added: DRUM FILL
Time: 209467, added: EXPERT Red
Time: 209467, added: MEDIUM Green
Time: 209467, added: EASY Kick
Time: 209467, added: DRUM FILL
Time: 209467, added: DRUM FILL (use all 5)
Time: 209520, removed: HARD Green
Time: 209520, removed: DRUM FILL
Time: 209520, removed: Unknown Note (105)
Time: 209520, removed: MEDIUM Red
Time: 209520, removed: EXPERT Green
Time: 209520, removed: DRUM FILL
Time: 209520, removed: HARD Red
Time: 209520, removed: EASY Green
Time: 209520, removed: DRUM FILL
Time: 209520, removed: EXPERT Red
Time: 209520, removed: MEDIUM Green
Time: 209520, removed: EASY Kick
Time: 209520, removed: DRUM FILL
Time: 209520, removed: DRUM FILL (use all 5)
Time: 209580, added: HARD Green
Time: 209580, added: MEDIUM Red
Time: 209580, added: EXPERT Green
Time: 209580, added: HARD Red
Time: 209580, added: EASY Green
Time: 209580, added: EXPERT Red
Time: 209580, added: MEDIUM Green
Time: 209580, added: EASY Kick
Time: 269040, added: EXPERT 2xKick
Time: 269180, added: EXPERT 2xKick
Time: 269180, added: EXPERT Kick
Time: 269200, removed: EXPERT Kick
Time: 269280, added: HARD Kick
Time: 269280, added: EXPERT 2xKick
Time: 269280, added: EXPERT Kick
Time: 269360, removed: HARD Kick
Time: 269360, removed: EXPERT Kick
Time: 269420, added: EXPERT Kick
Time: 269420, added: EXPERT 2xKick
