Differences found in track 'PART DRUMS':
Time: 73080, added: EXPERT 2xKick
Time: 73200, added: EXPERT 2xKick
Time: 73320, added: EXPERT 2xKick
Time: 73440, added: EXPERT 2xKick
Time: 74040, added: EXPERT 2xKick
Time: 74160, added: EXPERT 2xKick
Time: 74280, added: EXPERT 2xKick
Time: 74400, added: EXPERT 2xKick
Time: 103800, added: EXPERT 2xKick
Time: 103920, added: EXPERT 2xKick
Time: 104040, added: EXPERT 2xKick
Time: 104160, added: EXPERT 2xKick
Time: 104760, added: EXPERT 2xKick
Time: 104880, added: EXPERT 2xKick
Time: 105000, added: EXPERT 2xKick
Time: 105120, added: EXPERT 2xKick
Time: 105840, added: EXPERT 2xKick
Time: 105960, added: EXPERT 2xKick
Time: 106320, added: EXPERT 2xKick
Time: 106440, added: EXPERT 2xKick
Time: 106800, added: EXPERT 2xKick
Time: 106920, added: EXPERT 2xKick
Time: 107280, added: EXPERT 2xKick
Time: 107400, added: EXPERT 2xKick
Time: 107760, added: EXPERT 2xKick
Time: 107880, added: EXPERT 2xKick
Time: 108240, added: EXPERT 2xKick
Time: 108360, added: EXPERT 2xKick
Time: 108720, added: EXPERT 2xKick
Time: 108840, added: EXPERT 2xKick
Time: 109200, added: EXPERT 2xKick
Time: 109320, added: EXPERT 2xKick
Time: 109680, added: EXPERT 2xKick
Time: 109800, added: EXPERT 2xKick
Time: 110160, added: EXPERT 2xKick
Time: 110280, added: EXPERT 2xKick
Time: 110640, added: EXPERT 2xKick
Time: 110760, added: EXPERT 2xKick
Time: 111120, added: EXPERT 2xKick
Time: 111240, added: EXPERT 2xKick
Time: 111600, added: EXPERT 2xKick
Time: 111720, added: EXPERT 2xKick
Time: 112080, added: EXPERT 2xKick
Time: 112200, added: EXPERT 2xKick
Time: 112560, added: EXPERT 2xKick
Time: 112680, added: EXPERT 2xKick
Time: 113040, added: EXPERT 2xKick
Time: 113160, added: EXPERT 2xKick
Time: 113520, added: EXPERT 2xKick
Time: 113640, added: EXPERT 2xKick
Time: 114000, added: EXPERT 2xKick
Time: 114120, added: EXPERT 2xKick
Time: 114480, added: EXPERT 2xKick
Time: 114600, added: EXPERT 2xKick
Time: 114960, added: EXPERT 2xKick
Time: 115080, added: EXPERT 2xKick
Time: 115440, added: EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick
Time: 115920, added: EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick
Time: 116400, added: EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick
Time: 116880, added: EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick
Time: 117360, added: EXPERT 2xKick
Time: 117480, added: EXPERT 2xKick
Time: 117840, added: EXPERT 2xKick
Time: 117960, added: EXPERT 2xKick
Time: 118320, added: EXPERT 2xKick
Time: 118440, added: EXPERT 2xKick
Time: 118800, added: EXPERT 2xKick
Time: 118920, added: EXPERT 2xKick
Time: 165240, added: EXPERT 2xKick
Time: 165360, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165600, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166320, added: EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick
Time: 166560, added: EXPERT 2xKick
Time: 167280, added: EXPERT 2xKick
Time: 167400, added: EXPERT 2xKick
Time: 167760, added: EXPERT 2xKick
Time: 167880, added: EXPERT 2xKick
Time: 168240, added: EXPERT 2xKick
Time: 168360, added: EXPERT 2xKick
Time: 168720, added: EXPERT 2xKick
Time: 168840, added: EXPERT 2xKick
Time: 169200, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169680, added: EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick
Time: 170160, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 170640, added: EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick
Time: 171120, added: EXPERT 2xKick
Time: 171240, added: EXPERT 2xKick
Time: 171600, added: EXPERT 2xKick
Time: 171720, added: EXPERT 2xKick
Time: 172080, added: EXPERT 2xKick
Time: 172200, added: EXPERT 2xKick
Time: 172560, added: EXPERT 2xKick
Time: 172680, added: EXPERT 2xKick
Time: 173040, added: EXPERT 2xKick
Time: 173160, added: EXPERT 2xKick
Time: 173520, added: EXPERT 2xKick
Time: 173640, added: EXPERT 2xKick
Time: 174000, added: EXPERT 2xKick
Time: 174120, added: EXPERT 2xKick
Time: 174480, added: EXPERT 2xKick
Time: 174600, added: EXPERT 2xKick
Time: 174960, added: EXPERT 2xKick
Time: 175080, added: EXPERT 2xKick
Time: 175440, added: EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick
Time: 175920, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
Time: 176400, added: EXPERT 2xKick
Time: 176520, added: EXPERT 2xKick
Time: 176880, added: EXPERT 2xKick
Time: 177000, added: EXPERT 2xKick
Time: 177360, added: EXPERT 2xKick
Time: 177480, added: EXPERT 2xKick
Time: 177840, added: EXPERT 2xKick
Time: 177960, added: EXPERT 2xKick
Time: 178320, added: EXPERT 2xKick
Time: 178440, added: EXPERT 2xKick
Time: 178800, added: EXPERT 2xKick
Time: 178920, added: EXPERT 2xKick
Time: 179280, added: EXPERT 2xKick
Time: 179400, added: EXPERT 2xKick
Time: 179760, added: EXPERT 2xKick
Time: 179880, added: EXPERT 2xKick
Time: 180240, added: EXPERT 2xKick
Time: 180360, added: EXPERT 2xKick
Time: 180720, added: EXPERT 2xKick
Time: 180840, added: EXPERT 2xKick
Time: 181200, added: EXPERT 2xKick
Time: 181320, added: EXPERT 2xKick
Time: 181680, added: EXPERT 2xKick
Time: 181800, added: EXPERT 2xKick
Time: 182160, added: EXPERT 2xKick
Time: 182280, added: EXPERT 2xKick
Time: 182640, added: EXPERT 2xKick
Time: 182760, added: EXPERT 2xKick
Time: 183120, added: EXPERT 2xKick
Time: 183240, added: EXPERT 2xKick
Time: 183600, added: EXPERT 2xKick
Time: 183720, added: EXPERT 2xKick
Time: 184080, added: EXPERT 2xKick
Time: 184200, added: EXPERT 2xKick
Time: 186480, added: EXPERT 2xKick
Time: 186600, added: EXPERT 2xKick
Time: 186960, added: EXPERT 2xKick
Time: 187080, added: EXPERT 2xKick
Time: 187440, added: EXPERT 2xKick
Time: 187560, added: EXPERT 2xKick
Time: 187920, added: EXPERT 2xKick
Time: 188040, added: EXPERT 2xKick
Time: 188400, added: EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick
Time: 188880, added: EXPERT 2xKick
Time: 189000, added: EXPERT 2xKick
Time: 189360, added: EXPERT 2xKick
Time: 189480, added: EXPERT 2xKick
Time: 189840, added: EXPERT 2xKick
Time: 189960, added: EXPERT 2xKick
Time: 190320, added: EXPERT 2xKick
Time: 190440, added: EXPERT 2xKick
Time: 190800, added: EXPERT 2xKick
Time: 190920, added: EXPERT 2xKick
Time: 191280, added: EXPERT 2xKick
Time: 191400, added: EXPERT 2xKick
Time: 191760, added: EXPERT 2xKick
Time: 191880, added: EXPERT 2xKick
Time: 192240, added: EXPERT 2xKick
Time: 192360, added: EXPERT 2xKick
Time: 192720, added: EXPERT 2xKick
Time: 192840, added: EXPERT 2xKick
Time: 193200, added: EXPERT 2xKick
Time: 193320, added: EXPERT 2xKick
Time: 193680, added: EXPERT 2xKick
Time: 193800, added: EXPERT 2xKick
Time: 194160, added: EXPERT 2xKick
Time: 194280, added: EXPERT 2xKick
Time: 194640, added: EXPERT 2xKick
Time: 194760, added: EXPERT 2xKick
Time: 195120, added: EXPERT 2xKick
Time: 195240, added: EXPERT 2xKick
Time: 195600, added: EXPERT 2xKick
Time: 195720, added: EXPERT 2xKick
Time: 196080, added: EXPERT 2xKick
Time: 196200, added: EXPERT 2xKick
Time: 196560, added: EXPERT 2xKick
Time: 196680, added: EXPERT 2xKick
Time: 197040, added: EXPERT 2xKick
Time: 197160, added: EXPERT 2xKick
Time: 197520, added: EXPERT 2xKick
Time: 197640, added: EXPERT 2xKick
Time: 198000, added: EXPERT 2xKick
Time: 198120, added: EXPERT 2xKick
Time: 198480, added: EXPERT 2xKick
Time: 198600, added: EXPERT 2xKick
Time: 198960, added: EXPERT 2xKick
Time: 199080, added: EXPERT 2xKick
Time: 199440, added: EXPERT 2xKick
Time: 199560, added: EXPERT 2xKick
Time: 199920, added: EXPERT 2xKick
Time: 200040, added: EXPERT 2xKick
Time: 200400, added: EXPERT 2xKick
Time: 200520, added: EXPERT 2xKick
Time: 200880, added: EXPERT 2xKick
Time: 201000, added: EXPERT 2xKick
Time: 201360, added: EXPERT 2xKick
Time: 201480, added: EXPERT 2xKick
Time: 201840, added: EXPERT 2xKick
Time: 201960, added: EXPERT 2xKick
Time: 202320, added: EXPERT 2xKick
Time: 202440, added: EXPERT 2xKick
Time: 202800, added: EXPERT 2xKick
Time: 202920, added: EXPERT 2xKick
Time: 203280, added: EXPERT 2xKick
Time: 203400, added: EXPERT 2xKick
Time: 203760, added: EXPERT 2xKick
Time: 203880, added: EXPERT 2xKick
Time: 204240, added: EXPERT 2xKick
Time: 204360, added: EXPERT 2xKick
Time: 204720, added: EXPERT 2xKick
Time: 204840, added: EXPERT 2xKick
Time: 205200, added: EXPERT 2xKick
Time: 205320, added: EXPERT 2xKick
Time: 205680, added: EXPERT 2xKick
Time: 205800, added: EXPERT 2xKick
Time: 206160, added: EXPERT 2xKick
Time: 206280, added: EXPERT 2xKick
Time: 206640, added: EXPERT 2xKick
Time: 206760, added: EXPERT 2xKick
Time: 207120, added: EXPERT 2xKick
Time: 207240, added: EXPERT 2xKick
Time: 207600, added: EXPERT 2xKick
Time: 207720, added: EXPERT 2xKick
Time: 208080, added: EXPERT 2xKick
Time: 208200, added: EXPERT 2xKick
Time: 208560, added: EXPERT 2xKick
Time: 208680, added: EXPERT 2xKick
Time: 209040, added: EXPERT 2xKick
Time: 209160, added: EXPERT 2xKick
Time: 209520, added: EXPERT 2xKick
Time: 209640, added: EXPERT 2xKick
Time: 210000, added: EXPERT 2xKick
Time: 210120, added: EXPERT 2xKick
Time: 210480, added: EXPERT 2xKick
Time: 210600, added: EXPERT 2xKick
Time: 210960, added: EXPERT 2xKick
Time: 211080, added: EXPERT 2xKick
Time: 211440, added: EXPERT 2xKick
Time: 211560, added: EXPERT 2xKick
Time: 211920, added: EXPERT 2xKick
Time: 212040, added: EXPERT 2xKick
Time: 212400, added: EXPERT 2xKick
Time: 212520, added: EXPERT 2xKick
Time: 212880, added: EXPERT 2xKick
Time: 213000, added: EXPERT 2xKick
Time: 213360, added: EXPERT 2xKick
Time: 213480, added: EXPERT 2xKick
Time: 213840, added: EXPERT 2xKick
Time: 213960, added: EXPERT 2xKick
Time: 214320, added: EXPERT 2xKick
Time: 214440, added: EXPERT 2xKick
Time: 214800, added: EXPERT 2xKick
Time: 214920, added: EXPERT 2xKick
Time: 215280, added: EXPERT 2xKick
Time: 215400, added: EXPERT 2xKick
Time: 215760, added: EXPERT 2xKick
Time: 215880, added: EXPERT 2xKick
Time: 216240, added: EXPERT 2xKick
