New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 40320, added: EXPERT 2xKick
Time: 40440, added: EXPERT 2xKick
Time: 40540, added: EXPERT 2xKick
Time: 40640, added: EXPERT 2xKick
Time: 40800, added: EXPERT 2xKick
Time: 40960, added: EXPERT 2xKick
Time: 41100, added: EXPERT 2xKick
Time: 41200, added: EXPERT 2xKick
Time: 41340, added: EXPERT 2xKick
Time: 41440, added: EXPERT 2xKick
Time: 41580, added: EXPERT 2xKick
Time: 41680, added: EXPERT 2xKick
Time: 41820, added: EXPERT 2xKick
Time: 41920, added: EXPERT 2xKick
Time: 42060, added: EXPERT 2xKick
Time: 42160, added: EXPERT 2xKick
Time: 42300, added: EXPERT 2xKick
Time: 42400, added: EXPERT 2xKick
Time: 42540, added: EXPERT 2xKick
Time: 42640, added: EXPERT 2xKick
Time: 42780, added: EXPERT 2xKick
Time: 42880, added: EXPERT 2xKick
Time: 43020, added: EXPERT 2xKick
Time: 43120, added: EXPERT 2xKick
Time: 43260, added: EXPERT 2xKick
Time: 43360, added: EXPERT 2xKick
Time: 43500, added: EXPERT 2xKick
Time: 43600, added: EXPERT 2xKick
Time: 44160, added: EXPERT 2xKick
Time: 44320, added: EXPERT 2xKick
Time: 44460, added: EXPERT 2xKick
Time: 44560, added: EXPERT 2xKick
Time: 44700, added: EXPERT 2xKick
Time: 44800, added: EXPERT 2xKick
Time: 44940, added: EXPERT 2xKick
Time: 45040, added: EXPERT 2xKick
Time: 45180, added: EXPERT 2xKick
Time: 45280, added: EXPERT 2xKick
Time: 45420, added: EXPERT 2xKick
Time: 45520, added: EXPERT 2xKick
Time: 45660, added: EXPERT 2xKick
Time: 45760, added: EXPERT 2xKick
Time: 45900, added: EXPERT 2xKick
Time: 46000, added: EXPERT 2xKick
Time: 46140, added: EXPERT 2xKick
Time: 46240, added: EXPERT 2xKick
Time: 46380, added: EXPERT 2xKick
Time: 46480, added: EXPERT 2xKick
Time: 46620, added: EXPERT 2xKick
Time: 46720, added: EXPERT 2xKick
Time: 46860, added: EXPERT 2xKick
Time: 46960, added: EXPERT 2xKick
Time: 78720, added: EXPERT 2xKick
Time: 78880, added: EXPERT 2xKick
Time: 79020, added: EXPERT 2xKick
Time: 79120, added: EXPERT 2xKick
Time: 79260, added: EXPERT 2xKick
Time: 79360, added: EXPERT 2xKick
Time: 79500, added: EXPERT 2xKick
Time: 79600, added: EXPERT 2xKick
Time: 79739, added: EXPERT 2xKick
Time: 79839, added: EXPERT 2xKick
Time: 79920, added: EXPERT 2xKick
Time: 80059, added: EXPERT 2xKick
Time: 80160, added: EXPERT 2xKick
Time: 80640, added: EXPERT 2xKick
Time: 80800, added: EXPERT 2xKick
Time: 80940, added: EXPERT 2xKick
Time: 81040, added: EXPERT 2xKick
Time: 81179, added: EXPERT 2xKick
Time: 81279, added: EXPERT 2xKick
Time: 81360, added: EXPERT 2xKick
Time: 81499, added: EXPERT 2xKick
Time: 81600, added: EXPERT 2xKick
Time: 82560, added: EXPERT 2xKick
Time: 82720, added: EXPERT 2xKick
Time: 82860, added: EXPERT 2xKick
Time: 82960, added: EXPERT 2xKick
Time: 83100, added: EXPERT 2xKick
Time: 83200, added: EXPERT 2xKick
Time: 83340, added: EXPERT 2xKick
Time: 83440, added: EXPERT 2xKick
Time: 83580, added: EXPERT 2xKick
Time: 83680, added: EXPERT 2xKick
Time: 83820, added: EXPERT 2xKick
Time: 83920, added: EXPERT 2xKick
Time: 84480, added: EXPERT 2xKick
Time: 84640, added: EXPERT 2xKick
Time: 84780, added: EXPERT 2xKick
Time: 84880, added: EXPERT 2xKick
Time: 85020, added: EXPERT 2xKick
Time: 85120, added: EXPERT 2xKick
Time: 85260, added: EXPERT 2xKick
Time: 85360, added: EXPERT 2xKick
Time: 168960, added: EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick
Time: 169180, added: EXPERT 2xKick
Time: 169280, added: EXPERT 2xKick
Time: 169440, added: EXPERT 2xKick
Time: 169600, added: EXPERT 2xKick
Time: 169740, added: EXPERT 2xKick
Time: 169840, added: EXPERT 2xKick
Time: 169980, added: EXPERT 2xKick
Time: 170080, added: EXPERT 2xKick
Time: 170220, added: EXPERT 2xKick
Time: 170320, added: EXPERT 2xKick
Time: 170880, added: EXPERT 2xKick
Time: 171040, added: EXPERT 2xKick
Time: 171180, added: EXPERT 2xKick
Time: 171280, added: EXPERT 2xKick
Time: 171420, added: EXPERT 2xKick
Time: 171520, added: EXPERT 2xKick
Time: 171660, added: EXPERT 2xKick
Time: 171760, added: EXPERT 2xKick
Time: 172800, added: EXPERT 2xKick
Time: 172920, added: EXPERT 2xKick
Time: 173020, added: EXPERT 2xKick
Time: 173120, added: EXPERT 2xKick
Time: 173280, added: EXPERT 2xKick
Time: 173440, added: EXPERT 2xKick
Time: 173580, added: EXPERT 2xKick
Time: 173680, added: EXPERT 2xKick
Time: 173820, added: EXPERT 2xKick
Time: 173920, added: EXPERT 2xKick
Time: 174060, added: EXPERT 2xKick
Time: 174160, added: EXPERT 2xKick
Time: 174720, added: EXPERT 2xKick
Time: 174880, added: EXPERT 2xKick
Time: 175020, added: EXPERT 2xKick
Time: 175120, added: EXPERT 2xKick
Time: 175260, added: EXPERT 2xKick
Time: 175360, added: EXPERT 2xKick
Time: 175500, added: EXPERT 2xKick
Time: 175600, added: EXPERT 2xKick
