New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 12800, removed: TOM GEMS PAD 3
Time: 36000, added: TOM GEMS PAD 2
Time: 36090, removed: EXPERT Blue
Time: 36090, removed: TOM GEMS PAD 3
Time: 36090, removed: TOM GEMS PAD 2
Time: 36160, added: EXPERT Blue
Time: 36160, added: TOM GEMS PAD 3
Time: 36190, removed: EXPERT Blue
Time: 36640, added: EXPERT 2xKick
Time: 36960, added: EXPERT 2xKick
Time: 37280, added: EXPERT 2xKick
Time: 37600, added: EXPERT 2xKick
Time: 37920, added: EXPERT 2xKick
Time: 38240, added: EXPERT 2xKick
Time: 38560, added: EXPERT 2xKick
Time: 38880, added: EXPERT 2xKick
Time: 39200, added: EXPERT 2xKick
Time: 39520, added: EXPERT 2xKick
Time: 39840, added: EXPERT 2xKick
Time: 40160, added: EXPERT 2xKick
Time: 40410, added: EXPERT 2xKick
Time: 40510, added: EXPERT 2xKick
Time: 40800, added: EXPERT 2xKick
Time: 41120, added: EXPERT 2xKick
Time: 41440, added: EXPERT 2xKick
Time: 41760, added: EXPERT 2xKick
Time: 42080, added: EXPERT 2xKick
Time: 42400, added: EXPERT 2xKick
Time: 42720, added: EXPERT 2xKick
Time: 43040, added: EXPERT 2xKick
Time: 43360, added: EXPERT 2xKick
Time: 43680, added: EXPERT 2xKick
Time: 44000, added: EXPERT 2xKick
Time: 44320, added: EXPERT 2xKick
Time: 44640, added: EXPERT 2xKick
Time: 44960, added: EXPERT 2xKick
Time: 45280, added: EXPERT 2xKick
Time: 45600, added: EXPERT 2xKick
Time: 45920, added: EXPERT 2xKick
Time: 46240, added: EXPERT 2xKick
Time: 46560, added: EXPERT 2xKick
Time: 46880, added: EXPERT 2xKick
Time: 47200, added: EXPERT 2xKick
Time: 47520, added: EXPERT 2xKick
Time: 47840, added: EXPERT 2xKick
Time: 48160, added: EXPERT 2xKick
Time: 48480, added: EXPERT 2xKick
Time: 48800, added: EXPERT 2xKick
Time: 49120, added: EXPERT 2xKick
Time: 49440, added: EXPERT 2xKick
Time: 49760, added: EXPERT 2xKick
Time: 50080, added: EXPERT 2xKick
Time: 50400, added: EXPERT 2xKick
Time: 50720, added: EXPERT 2xKick
Time: 51040, added: EXPERT 2xKick
Time: 51360, added: EXPERT 2xKick
Time: 51680, added: EXPERT 2xKick
Time: 52000, added: EXPERT 2xKick
Time: 52320, added: EXPERT 2xKick
Time: 52640, added: EXPERT 2xKick
Time: 52960, added: EXPERT 2xKick
Time: 53280, added: EXPERT 2xKick
Time: 53600, added: EXPERT 2xKick
Time: 53850, added: EXPERT 2xKick
Time: 53950, added: EXPERT 2xKick
Time: 54240, added: EXPERT 2xKick
Time: 54560, added: EXPERT 2xKick
Time: 54880, added: EXPERT 2xKick
Time: 55200, added: EXPERT 2xKick
Time: 55520, added: EXPERT 2xKick
Time: 55840, added: EXPERT 2xKick
Time: 56160, added: EXPERT 2xKick
Time: 56480, added: EXPERT 2xKick
Time: 56800, added: EXPERT 2xKick
Time: 57120, added: EXPERT 2xKick
Time: 57440, added: EXPERT 2xKick
Time: 57760, added: EXPERT 2xKick
Time: 58080, added: EXPERT 2xKick
Time: 58400, added: EXPERT 2xKick
Time: 58720, added: EXPERT 2xKick
Time: 59040, added: EXPERT 2xKick
Time: 59360, added: EXPERT 2xKick
Time: 66240, removed: TOM GEMS PAD 3
Time: 66720, added: TOM GEMS PAD 2
Time: 66880, added: TOM GEMS PAD 3
Time: 67040, removed: TOM GEMS PAD 2
Time: 67360, added: EXPERT 2xKick
Time: 67680, added: EXPERT 2xKick
Time: 68000, added: EXPERT 2xKick
Time: 68320, added: EXPERT 2xKick
Time: 68640, added: EXPERT 2xKick
Time: 68960, added: EXPERT 2xKick
Time: 69280, added: EXPERT 2xKick
Time: 69600, added: EXPERT 2xKick
Time: 69920, added: EXPERT 2xKick
Time: 70240, added: EXPERT 2xKick
Time: 70560, added: EXPERT 2xKick
Time: 70880, added: EXPERT 2xKick
Time: 71200, added: EXPERT 2xKick
Time: 71520, added: EXPERT 2xKick
Time: 71840, added: EXPERT 2xKick
Time: 72160, added: EXPERT 2xKick
Time: 72480, added: EXPERT 2xKick
Time: 72800, added: EXPERT 2xKick
Time: 73120, added: EXPERT 2xKick
Time: 73440, added: EXPERT 2xKick
Time: 73760, added: EXPERT 2xKick
Time: 74080, added: EXPERT 2xKick
Time: 74400, added: EXPERT 2xKick
Time: 74720, added: EXPERT 2xKick
Time: 75040, added: EXPERT 2xKick
Time: 75360, added: EXPERT 2xKick
Time: 75680, added: EXPERT 2xKick
Time: 76000, added: EXPERT 2xKick
Time: 76320, added: EXPERT 2xKick
Time: 76640, added: EXPERT 2xKick
Time: 76920, added: EXPERT 2xKick
Time: 77280, added: EXPERT 2xKick
Time: 77600, added: EXPERT 2xKick
Time: 77920, added: EXPERT 2xKick
Time: 78240, added: EXPERT 2xKick
Time: 78560, added: EXPERT 2xKick
Time: 78880, added: EXPERT 2xKick
Time: 79200, added: EXPERT 2xKick
Time: 79520, added: EXPERT 2xKick
Time: 79840, added: EXPERT 2xKick
Time: 80160, added: EXPERT 2xKick
