New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 192600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 193320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 212040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 212280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 212520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 256920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 259560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 260760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 261720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 261960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 262920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 264600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 265560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 268440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 269400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 270366, added: EXPERT 2xKick, EXPERT 2xKick
Time: 272280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 273240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 274920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 276120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 277080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 278040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 282840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 283800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 315720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 315960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 316200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 316440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 316680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 316920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 317160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 317400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 317640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 320520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 320760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 321000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 321240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 321480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 323400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 323640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 323880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 324120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 324360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 324600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 324840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 325080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 325320, added: EXPERT 2xKick, EXPERT 2xKick
