New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART GUITAR':
Time: 197440, added: LANE MARKER
Time: 197880, added: LANE MARKER
Time: 198240, added: LANE MARKER
Time: 200145, added: HARD Green
Time: 200145, added: MEDIUM Yellow
Time: 200145, added: EXPERT Green
Time: 200145, added: EXPERT Yellow
Time: 200145, added: EASY Green
Time: 200145, added: LANE MARKER
Time: 200160, removed: HARD Green
Time: 200160, removed: MEDIUM Yellow
Time: 200160, removed: EXPERT Green
Time: 200160, removed: EXPERT Yellow
Time: 200160, removed: EASY Green
Time: 278879, added: Solo Marker
Time: 278880, removed: Solo Marker
