Differences found in track 'PART GUITAR':
Time: 205680, added: LANE MARKER
Time: 207000, added: LANE MARKER
Time: 208080, added: LANE MARKER
Time: 208920, added: LANE MARKER
Time: 209280, added: LANE MARKER
Time: 210840, added: LANE MARKER
Time: 211200, added: LANE MARKER
Time: 212760, added: LANE MARKER
Time: 213240, added: LANE MARKER
Time: 214680, added: LANE MARKER
Time: 215040, added: LANE MARKER
Time: 216600, added: LANE MARKER
Time: 216960, added: LANE MARKER
Time: 218520, added: LANE MARKER
Time: 218880, added: LANE MARKER
Time: 220440, added: LANE MARKER
Time: 220800, added: LANE MARKER
Time: 222360, added: LANE MARKER
Time: 222840, added: LANE MARKER
Time: 224280, added: LANE MARKER
Time: 224640, added: LANE MARKER
Time: 226200, added: LANE MARKER
