New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 11640, added: EXPERT 2xKick
Time: 11880, added: EXPERT 2xKick
Time: 12120, added: EXPERT 2xKick
Time: 12360, added: EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick
Time: 13080, added: EXPERT 2xKick
Time: 13320, added: EXPERT 2xKick
Time: 13560, added: EXPERT 2xKick
Time: 13800, added: EXPERT 2xKick
Time: 14040, added: EXPERT 2xKick
Time: 14280, added: EXPERT 2xKick
Time: 14520, added: EXPERT 2xKick
Time: 14760, added: EXPERT 2xKick
Time: 15000, added: EXPERT 2xKick
Time: 15240, added: EXPERT 2xKick
Time: 15480, added: EXPERT 2xKick
Time: 15720, added: EXPERT 2xKick
Time: 15960, added: EXPERT 2xKick
Time: 16200, added: EXPERT 2xKick
Time: 16440, added: EXPERT 2xKick
Time: 16680, added: EXPERT 2xKick
Time: 16920, added: EXPERT 2xKick
Time: 17160, added: EXPERT 2xKick
Time: 17400, added: EXPERT 2xKick
Time: 17640, added: EXPERT 2xKick
Time: 17880, added: EXPERT 2xKick
Time: 18120, added: EXPERT 2xKick
Time: 18360, added: EXPERT 2xKick
Time: 18600, added: EXPERT 2xKick
Time: 18840, added: EXPERT 2xKick
Time: 19080, added: EXPERT 2xKick
Time: 19320, added: EXPERT 2xKick
Time: 19560, added: EXPERT 2xKick
Time: 19800, added: EXPERT 2xKick
Time: 20040, added: EXPERT 2xKick
Time: 20280, added: EXPERT 2xKick
Time: 20520, added: EXPERT 2xKick
Time: 20760, added: EXPERT 2xKick
Time: 21000, added: EXPERT 2xKick
Time: 21240, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21720, added: EXPERT 2xKick
Time: 21960, added: EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick
Time: 22440, added: EXPERT 2xKick
Time: 22680, added: EXPERT 2xKick
Time: 22920, added: EXPERT 2xKick
Time: 23160, added: EXPERT 2xKick
Time: 23400, added: EXPERT 2xKick
Time: 23640, added: EXPERT 2xKick
Time: 23880, added: EXPERT 2xKick
Time: 24120, added: EXPERT 2xKick
Time: 24360, added: EXPERT 2xKick
Time: 24600, added: EXPERT 2xKick
Time: 24840, added: EXPERT 2xKick
Time: 25080, added: EXPERT 2xKick
Time: 25320, added: EXPERT 2xKick
Time: 25560, added: EXPERT 2xKick
Time: 25800, added: EXPERT 2xKick
Time: 26040, added: EXPERT 2xKick
Time: 26280, added: EXPERT 2xKick
Time: 34618, added: EXPERT 2xKick
Time: 34740, added: EXPERT Kick
Time: 34740, added: EXPERT Blue
Time: 34740, added: EXPERT 2xKick
Time: 34800, removed: EXPERT Kick
Time: 34800, removed: EXPERT Blue
Time: 34858, added: EXPERT Kick
Time: 34858, added: EXPERT Blue
Time: 34858, added: EXPERT 2xKick
Time: 34980, added: EXPERT Kick
Time: 34980, added: EXPERT Blue
Time: 34980, added: EXPERT 2xKick
Time: 34980, added: HARD Blue
Time: 35040, removed: EXPERT Kick
Time: 35040, removed: EXPERT Blue
Time: 35040, removed: HARD Blue
Time: 35098, added: EXPERT Kick
Time: 35098, added: EXPERT Blue
Time: 35098, added: EXPERT 2xKick
Time: 35098, added: HARD Blue
Time: 35220, added: MEDIUM Kick
Time: 35220, added: MEDIUM Blue
Time: 35220, added: HARD Blue
Time: 35220, added: EXPERT Blue
Time: 35220, added: HARD Kick
Time: 35220, added: EXPERT 2xKick
Time: 35220, added: EXPERT Kick
Time: 35220, added: EASY Kick
Time: 35280, removed: MEDIUM Kick
Time: 35280, removed: EXPERT Blue
Time: 35280, removed: HARD Kick
Time: 35280, removed: EXPERT Kick
Time: 35280, removed: MEDIUM Blue
Time: 35280, removed: EASY Kick
Time: 35280, removed: HARD Blue
Time: 35338, added: MEDIUM Kick
Time: 35338, added: MEDIUM Blue
Time: 35338, added: HARD Blue
Time: 35338, added: EXPERT Blue
Time: 35338, added: HARD Kick
Time: 35338, added: EXPERT 2xKick
Time: 35338, added: EXPERT Kick
Time: 35338, added: EASY Kick
Time: 35460, added: EXPERT Kick
Time: 35460, added: EXPERT 2xKick
Time: 35520, removed: EXPERT Kick
Time: 35578, added: EXPERT Kick
Time: 35578, added: EXPERT Blue
Time: 35578, added: EXPERT 2xKick
Time: 35578, added: HARD Blue
Time: 35640, removed: EXPERT Blue
Time: 35640, removed: HARD Blue
Time: 35698, added: MEDIUM Kick
Time: 35698, added: MEDIUM Blue
Time: 35698, added: HARD Blue
Time: 35698, added: EXPERT Blue
Time: 35698, added: EXPERT 2xKick
Time: 35698, added: HARD Kick
Time: 35698, added: EXPERT Kick
Time: 35698, added: EASY Kick
Time: 35760, removed: MEDIUM Kick
Time: 35760, removed: EXPERT Blue
Time: 35760, removed: HARD Kick
Time: 35760, removed: EXPERT Kick
Time: 35760, removed: MEDIUM Blue
Time: 35760, removed: EASY Kick
Time: 35760, removed: HARD Blue
Time: 35818, added: MEDIUM Kick
Time: 35818, added: MEDIUM Blue
Time: 35818, added: HARD Blue
Time: 35818, added: EXPERT Blue
Time: 35818, added: HARD Kick
Time: 35818, added: EXPERT 2xKick
Time: 35818, added: EXPERT Kick
Time: 35818, added: EASY Kick
Time: 35940, added: EXPERT Blue
Time: 35940, added: EXPERT 2xKick
Time: 35940, added: EXPERT Kick
Time: 35940, added: MEDIUM Blue
Time: 35940, added: HARD Blue
Time: 36000, removed: EXPERT Kick
Time: 36000, removed: EXPERT Blue
Time: 36000, removed: MEDIUM Blue
Time: 36000, removed: HARD Blue
Time: 36058, added: EXPERT Blue
Time: 36058, added: EXPERT 2xKick
Time: 36058, added: EXPERT Kick
Time: 36058, added: MEDIUM Blue
Time: 36058, added: HARD Blue
Time: 36180, added: MEDIUM Kick
Time: 36180, added: MEDIUM Blue
Time: 36180, added: HARD Blue
Time: 36180, added: EXPERT Blue
Time: 36180, added: HARD Kick
Time: 36180, added: EXPERT 2xKick
Time: 36180, added: EXPERT Kick
Time: 36180, added: EASY Kick
Time: 36240, removed: MEDIUM Kick
Time: 36240, removed: EXPERT Blue
Time: 36240, removed: HARD Kick
Time: 36240, removed: EXPERT Kick
Time: 36240, removed: MEDIUM Blue
Time: 36240, removed: EASY Kick
Time: 36240, removed: HARD Blue
Time: 36298, added: MEDIUM Kick
Time: 36298, added: MEDIUM Blue
Time: 36298, added: HARD Blue
Time: 36298, added: EXPERT Blue
Time: 36298, added: HARD Kick
Time: 36298, added: EXPERT 2xKick
Time: 36298, added: EXPERT Kick
Time: 36298, added: EASY Kick
Time: 36420, added: EXPERT Yellow
Time: 36420, added: EASY Red
Time: 36420, added: MEDIUM Red
Time: 36420, added: EXPERT 2xKick
Time: 36420, added: Unknown Note (106)
Time: 36420, added: HARD Red
Time: 36420, added: EXPERT Kick
Time: 36420, added: HARD Yellow
Time: 36420, added: EXPERT Red
Time: 36480, removed: EXPERT Yellow
Time: 36480, removed: EASY Red
Time: 36480, removed: MEDIUM Red
Time: 36480, removed: Unknown Note (106)
Time: 36480, removed: HARD Red
Time: 36480, removed: EXPERT Kick
Time: 36480, removed: HARD Yellow
Time: 36480, removed: EXPERT Red
Time: 36538, added: EXPERT Yellow
Time: 36538, added: EASY Red
Time: 36538, added: MEDIUM Red
Time: 36538, added: EXPERT 2xKick
Time: 36538, added: HARD Red
Time: 36538, added: EXPERT Kick
Time: 36538, added: HARD Yellow
Time: 36538, added: EXPERT Red
Time: 36660, added: EXPERT Blue
Time: 36660, added: HARD Kick
Time: 36660, added: EXPERT 2xKick
Time: 36660, added: EXPERT Kick
Time: 36660, added: HARD Blue
Time: 36720, removed: EXPERT Kick
Time: 36720, removed: EXPERT Blue
Time: 36720, removed: HARD Kick
Time: 36720, removed: HARD Blue
Time: 36778, added: EXPERT Blue
Time: 36778, added: EXPERT 2xKick
Time: 36778, added: HARD Kick
Time: 36778, added: EXPERT Kick
Time: 36778, added: HARD Blue
