New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 40440, added: EXPERT 2xKick
Time: 42600, added: EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick
Time: 45720, added: EXPERT 2xKick
Time: 47880, added: EXPERT 2xKick
Time: 48120, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 51720, added: EXPERT 2xKick
Time: 53880, added: EXPERT 2xKick
Time: 54120, added: EXPERT 2xKick
Time: 57000, added: EXPERT 2xKick
Time: 59160, added: EXPERT 2xKick
Time: 59400, added: EXPERT 2xKick
Time: 126720, added: EXPERT 2xKick
Time: 130560, added: EXPERT 2xKick
Time: 134400, added: EXPERT 2xKick
Time: 138080, added: EXPERT 2xKick
Time: 138560, added: EXPERT 2xKick
Time: 139040, added: EXPERT 2xKick
Time: 155400, added: EXPERT 2xKick
Time: 157320, added: EXPERT 2xKick
Time: 159240, added: EXPERT 2xKick
Time: 161160, added: EXPERT 2xKick
Time: 163080, added: EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick
Time: 166920, added: EXPERT 2xKick
Time: 216600, added: EXPERT 2xKick
Time: 219480, added: EXPERT 2xKick
Time: 220440, added: EXPERT 2xKick
Time: 224280, added: EXPERT 2xKick
Time: 227160, added: EXPERT 2xKick
Time: 228120, added: EXPERT 2xKick
Time: 231000, added: EXPERT 2xKick
Time: 231240, added: EXPERT 2xKick
Time: 231960, added: EXPERT 2xKick
Time: 234840, added: EXPERT 2xKick
Time: 235800, added: EXPERT 2xKick
Time: 238680, added: EXPERT 2xKick
Time: 238920, added: EXPERT 2xKick
Time: 239640, added: EXPERT 2xKick
Time: 242520, added: EXPERT 2xKick
Time: 243480, added: EXPERT 2xKick
Time: 262680, added: EXPERT 2xKick
Time: 265560, added: EXPERT 2xKick
Time: 266520, added: EXPERT 2xKick
Time: 269400, added: EXPERT 2xKick
Time: 269640, added: EXPERT 2xKick
Time: 270360, added: EXPERT 2xKick
Time: 273240, added: EXPERT 2xKick
Time: 274208, added: EXPERT 2xKick
Time: 278280, added: EXPERT 2xKick
Time: 280200, added: EXPERT 2xKick
Time: 282120, added: EXPERT 2xKick
Time: 284040, added: EXPERT 2xKick
Time: 285960, added: EXPERT 2xKick
Time: 287880, added: EXPERT 2xKick
Time: 289800, added: EXPERT 2xKick
Time: 438120, added: EXPERT 2xKick
Time: 438360, added: EXPERT 2xKick
Time: 438600, added: EXPERT 2xKick
Time: 487080, added: EXPERT 2xKick
Time: 493320, added: EXPERT 2xKick
Time: 495240, added: EXPERT 2xKick
Time: 497160, added: EXPERT 2xKick
Time: 499080, added: EXPERT 2xKick
Time: 501000, added: EXPERT 2xKick
Time: 502920, added: EXPERT 2xKick
Time: 504840, added: EXPERT 2xKick
Time: 507960, added: EXPERT 2xKick
Time: 508200, added: EXPERT 2xKick
Time: 569880, added: EXPERT 2xKick
Time: 570120, added: EXPERT 2xKick
Time: 572280, added: EXPERT 2xKick
Time: 572520, added: EXPERT 2xKick
Time: 575160, added: EXPERT 2xKick
Time: 575400, added: EXPERT 2xKick
Time: 577560, added: EXPERT 2xKick
Time: 577800, added: EXPERT 2xKick
Time: 581160, added: EXPERT 2xKick
Time: 581400, added: EXPERT 2xKick
Time: 583560, added: EXPERT 2xKick
Time: 583800, added: EXPERT 2xKick
Time: 584520, added: EXPERT 2xKick
Time: 584760, added: EXPERT 2xKick
Time: 586440, added: EXPERT 2xKick
Time: 586680, added: EXPERT 2xKick
Time: 587400, added: EXPERT 2xKick
Time: 587640, added: EXPERT 2xKick
Time: 588840, added: EXPERT 2xKick
Time: 589080, added: EXPERT 2xKick
