New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 31320, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 32040, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 32520, added: EXPERT 2xKick
Time: 32760, added: EXPERT 2xKick
Time: 33000, added: EXPERT 2xKick
Time: 33240, added: EXPERT 2xKick
Time: 33480, added: EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick
Time: 33960, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 34440, added: EXPERT 2xKick
Time: 34680, added: EXPERT 2xKick
Time: 34920, added: EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick
Time: 35400, added: EXPERT 2xKick
Time: 35640, added: EXPERT 2xKick
Time: 35880, added: EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick
Time: 36360, added: EXPERT 2xKick
Time: 36600, added: EXPERT 2xKick
Time: 36840, added: EXPERT 2xKick
Time: 37080, added: EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick
Time: 37560, added: EXPERT 2xKick
Time: 37800, added: EXPERT 2xKick
Time: 38040, added: EXPERT 2xKick
Time: 38280, added: EXPERT 2xKick
Time: 38520, added: EXPERT 2xKick
Time: 38760, added: EXPERT 2xKick
Time: 39000, added: EXPERT 2xKick
Time: 39240, added: EXPERT 2xKick
Time: 39480, added: EXPERT 2xKick
Time: 39720, added: EXPERT 2xKick
Time: 39960, added: EXPERT 2xKick
Time: 40200, added: EXPERT 2xKick
Time: 40440, added: EXPERT 2xKick
Time: 40680, added: EXPERT 2xKick
Time: 40920, added: EXPERT 2xKick
Time: 41160, added: EXPERT 2xKick
Time: 41400, added: EXPERT 2xKick
Time: 41640, added: EXPERT 2xKick
Time: 41880, added: EXPERT 2xKick
Time: 42120, added: EXPERT 2xKick
Time: 42360, added: EXPERT 2xKick
Time: 42600, added: EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick
Time: 43080, added: EXPERT 2xKick
Time: 43320, added: EXPERT 2xKick
Time: 43560, added: EXPERT 2xKick
Time: 44280, added: EXPERT 2xKick
Time: 44520, added: EXPERT 2xKick
Time: 44760, added: EXPERT 2xKick
Time: 45000, added: EXPERT 2xKick
