New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 27000, added: EXPERT 2xKick
Time: 27240, added: EXPERT 2xKick
Time: 27480, added: EXPERT 2xKick
Time: 27720, added: EXPERT 2xKick
Time: 27960, added: EXPERT 2xKick
Time: 28200, added: EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick
Time: 28680, added: EXPERT 2xKick
Time: 34680, added: EXPERT 2xKick
Time: 34920, added: EXPERT 2xKick
Time: 35160, added: EXPERT 2xKick
Time: 35400, added: EXPERT 2xKick
Time: 35640, added: EXPERT 2xKick
Time: 35880, added: EXPERT 2xKick
Time: 36120, added: EXPERT 2xKick
Time: 36360, added: EXPERT 2xKick
Time: 51960, added: EXPERT 2xKick
Time: 52200, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52680, added: EXPERT 2xKick
Time: 52920, added: EXPERT 2xKick
Time: 53160, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 53640, added: EXPERT 2xKick
Time: 67320, added: EXPERT 2xKick
Time: 67560, added: EXPERT 2xKick
Time: 67800, added: EXPERT 2xKick
Time: 68040, added: EXPERT 2xKick
Time: 68280, added: EXPERT 2xKick
Time: 68520, added: EXPERT 2xKick
Time: 101880, added: EXPERT 2xKick
Time: 102120, added: EXPERT 2xKick
Time: 102360, added: EXPERT 2xKick
Time: 102600, added: EXPERT 2xKick
Time: 102840, added: EXPERT 2xKick
Time: 103080, added: EXPERT 2xKick
Time: 103320, added: EXPERT 2xKick
Time: 103560, added: EXPERT 2xKick
Time: 103800, added: EXPERT 2xKick
Time: 104040, added: EXPERT 2xKick
Time: 104280, added: EXPERT 2xKick
Time: 104520, added: EXPERT 2xKick
Time: 104760, added: EXPERT 2xKick
Time: 105000, added: EXPERT 2xKick
Time: 105240, added: EXPERT 2xKick
Time: 105480, added: EXPERT 2xKick
Time: 119160, added: EXPERT 2xKick
Time: 119400, added: EXPERT 2xKick
Time: 119640, added: EXPERT 2xKick
Time: 119880, added: EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick
Time: 120360, added: EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick
Time: 136440, added: EXPERT 2xKick
Time: 136680, added: EXPERT 2xKick
Time: 136920, added: EXPERT 2xKick
Time: 137160, added: EXPERT 2xKick
Time: 137400, added: EXPERT 2xKick
Time: 137640, added: EXPERT 2xKick
Time: 137880, added: EXPERT 2xKick
Time: 138120, added: EXPERT 2xKick
Time: 151800, added: EXPERT 2xKick
Time: 152040, added: EXPERT 2xKick
Time: 152280, added: EXPERT 2xKick
Time: 152520, added: EXPERT 2xKick
Time: 152760, added: EXPERT 2xKick
Time: 153000, added: EXPERT 2xKick
Time: 188280, added: EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick
Time: 188760, added: EXPERT 2xKick
Time: 189000, added: EXPERT 2xKick
Time: 189240, added: EXPERT 2xKick
Time: 189480, added: EXPERT 2xKick
Time: 189720, added: EXPERT 2xKick
Time: 189960, added: EXPERT 2xKick
Time: 203400, added: EXPERT 2xKick
Time: 203640, added: EXPERT 2xKick
Time: 203880, added: EXPERT 2xKick
Time: 204120, added: EXPERT 2xKick
Time: 204360, added: EXPERT 2xKick
Time: 204600, added: EXPERT 2xKick
Time: 204840, added: EXPERT 2xKick
Time: 205080, added: EXPERT 2xKick
Time: 205320, added: EXPERT 2xKick
Time: 242040, added: EXPERT 2xKick
Time: 242280, added: EXPERT 2xKick
Time: 242520, added: EXPERT 2xKick
Time: 242760, added: EXPERT 2xKick
Time: 243000, added: EXPERT 2xKick
Time: 243240, added: EXPERT 2xKick
Time: 243480, added: EXPERT 2xKick
Time: 243720, added: EXPERT 2xKick
Time: 274680, added: EXPERT 2xKick
Time: 274920, added: EXPERT 2xKick
Time: 275160, added: EXPERT 2xKick
Time: 275400, added: EXPERT 2xKick
Time: 275640, added: EXPERT 2xKick
Time: 275880, added: EXPERT 2xKick
Time: 276120, added: EXPERT 2xKick
Time: 276360, added: EXPERT 2xKick
Time: 276600, added: EXPERT 2xKick
Time: 276840, added: EXPERT 2xKick
Time: 277080, added: EXPERT 2xKick
Time: 277320, added: EXPERT 2xKick
Time: 277560, added: EXPERT 2xKick
Time: 277800, added: EXPERT 2xKick
Time: 278040, added: EXPERT 2xKick
Time: 278280, added: EXPERT 2xKick
Time: 278520, added: EXPERT 2xKick
Time: 278760, added: EXPERT 2xKick
Time: 279000, added: EXPERT 2xKick
Time: 279240, added: EXPERT 2xKick
Time: 279480, added: EXPERT 2xKick
Time: 279720, added: EXPERT 2xKick
Time: 279960, added: EXPERT 2xKick
Time: 280200, added: EXPERT 2xKick
Time: 280440, added: EXPERT 2xKick
Time: 280680, added: EXPERT 2xKick
Time: 280920, added: EXPERT 2xKick
Time: 281160, added: EXPERT 2xKick
Time: 281400, added: EXPERT 2xKick
Time: 281640, added: EXPERT 2xKick
Time: 281880, added: EXPERT 2xKick
Time: 282120, added: EXPERT 2xKick
Time: 282360, added: EXPERT 2xKick
Time: 282600, added: EXPERT 2xKick
Time: 282840, added: EXPERT 2xKick
Time: 283080, added: EXPERT 2xKick
Time: 283320, added: EXPERT 2xKick
Time: 283560, added: EXPERT 2xKick
Time: 283800, added: EXPERT 2xKick
Time: 284040, added: EXPERT 2xKick
Time: 284280, added: EXPERT 2xKick
Time: 284520, added: EXPERT 2xKick
Time: 284760, added: EXPERT 2xKick
Time: 285000, added: EXPERT 2xKick
Time: 285240, added: EXPERT 2xKick
Time: 285480, added: EXPERT 2xKick
Time: 285720, added: EXPERT 2xKick
Time: 285960, added: EXPERT 2xKick
Time: 286200, added: EXPERT 2xKick
Time: 286440, added: EXPERT 2xKick
Time: 286680, added: EXPERT 2xKick
Time: 286920, added: EXPERT 2xKick
Time: 287160, added: EXPERT 2xKick
Time: 287400, added: EXPERT 2xKick
Time: 287640, added: EXPERT 2xKick
Time: 287880, added: EXPERT 2xKick
Time: 288120, added: EXPERT 2xKick
Time: 288360, added: EXPERT 2xKick
Time: 288600, added: EXPERT 2xKick
Time: 288840, added: EXPERT 2xKick
Time: 289080, added: EXPERT 2xKick
Time: 289320, added: EXPERT 2xKick
Time: 289560, added: EXPERT 2xKick
Time: 289800, added: EXPERT 2xKick
Time: 311160, added: EXPERT 2xKick
Time: 311400, added: EXPERT 2xKick
Time: 311640, added: EXPERT 2xKick
Time: 311880, added: EXPERT 2xKick
Time: 312120, added: EXPERT 2xKick
Time: 312360, added: EXPERT 2xKick
Time: 312600, added: EXPERT 2xKick
Time: 312840, added: EXPERT 2xKick
Time: 318840, added: EXPERT 2xKick
Time: 319080, added: EXPERT 2xKick
Time: 319320, added: EXPERT 2xKick
Time: 319560, added: EXPERT 2xKick
Time: 319800, added: EXPERT 2xKick
Time: 320040, added: EXPERT 2xKick
Time: 320280, added: EXPERT 2xKick
Time: 320520, added: EXPERT 2xKick
Time: 336120, added: EXPERT 2xKick
Time: 336360, added: EXPERT 2xKick
Time: 336600, added: EXPERT 2xKick
Time: 336840, added: EXPERT 2xKick
Time: 337080, added: EXPERT 2xKick
Time: 337320, added: EXPERT 2xKick
Time: 337560, added: EXPERT 2xKick
Time: 337800, added: EXPERT 2xKick
Time: 338040, added: EXPERT 2xKick
Time: 338280, added: EXPERT 2xKick
Time: 338520, added: EXPERT 2xKick
Time: 338760, added: EXPERT 2xKick
Time: 339000, added: EXPERT 2xKick
Time: 339240, added: EXPERT 2xKick
Time: 339480, added: EXPERT 2xKick
Time: 339720, added: EXPERT 2xKick
Time: 339960, added: EXPERT 2xKick
Time: 340200, added: EXPERT 2xKick
Time: 340440, added: EXPERT 2xKick
Time: 340680, added: EXPERT 2xKick
Time: 340920, added: EXPERT 2xKick
Time: 341160, added: EXPERT 2xKick
Time: 341400, added: EXPERT 2xKick
Time: 341640, added: EXPERT 2xKick
Time: 341880, added: EXPERT 2xKick
Time: 342120, added: EXPERT 2xKick
Time: 342360, added: EXPERT 2xKick
Time: 342600, added: EXPERT 2xKick
Time: 342840, added: EXPERT 2xKick
Time: 343080, added: EXPERT 2xKick
Time: 343320, added: EXPERT 2xKick
Time: 343560, added: EXPERT 2xKick
Time: 343800, added: EXPERT 2xKick
Time: 344040, added: EXPERT 2xKick
