New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 186120, added: EXPERT 2xKick
Time: 270600, added: EXPERT 2xKick
Time: 356040, added: EXPERT 2xKick
Time: 379320, added: EXPERT 2xKick
Time: 379560, added: EXPERT 2xKick
Time: 379800, added: EXPERT 2xKick
Time: 380040, added: EXPERT 2xKick
Time: 380280, added: EXPERT 2xKick
Time: 380520, added: EXPERT 2xKick
Time: 380760, added: EXPERT 2xKick
Time: 381000, added: EXPERT 2xKick
Time: 381240, added: EXPERT 2xKick
Time: 381480, added: EXPERT 2xKick
Time: 381720, added: EXPERT 2xKick
Time: 381960, added: EXPERT 2xKick
Time: 382200, added: EXPERT 2xKick
Time: 382440, added: EXPERT 2xKick
Time: 382680, added: EXPERT 2xKick
Time: 382920, added: EXPERT 2xKick
Time: 383160, added: EXPERT 2xKick
Time: 383400, added: EXPERT 2xKick
Time: 383640, added: EXPERT 2xKick
Time: 383880, added: EXPERT 2xKick
Time: 384120, added: EXPERT 2xKick
Time: 384360, added: EXPERT 2xKick
Time: 384600, added: EXPERT 2xKick
Time: 384840, added: EXPERT 2xKick
Time: 385080, added: EXPERT 2xKick
Time: 385320, added: EXPERT 2xKick
Time: 385560, added: EXPERT 2xKick
Time: 385800, added: EXPERT 2xKick
Time: 386040, added: EXPERT 2xKick
Time: 386280, added: EXPERT 2xKick
Time: 386520, added: EXPERT 2xKick
Time: 386760, added: EXPERT 2xKick
Time: 387000, added: EXPERT 2xKick
Time: 387240, added: EXPERT 2xKick
Time: 387480, added: EXPERT 2xKick
Time: 387720, added: EXPERT 2xKick
Time: 387960, added: EXPERT 2xKick
Time: 388200, added: EXPERT 2xKick
Time: 388440, added: EXPERT 2xKick
Time: 388680, added: EXPERT 2xKick
Time: 388920, added: EXPERT 2xKick
Time: 389160, added: EXPERT 2xKick
Time: 389400, added: EXPERT 2xKick
Time: 389640, added: EXPERT 2xKick
Time: 389880, added: EXPERT 2xKick
Time: 390120, added: EXPERT 2xKick
Time: 390360, added: EXPERT 2xKick
Time: 390600, added: EXPERT 2xKick
Time: 390840, added: EXPERT 2xKick
Time: 391080, added: EXPERT 2xKick
Time: 391320, added: EXPERT 2xKick
Time: 391560, added: EXPERT 2xKick
Time: 391800, added: EXPERT 2xKick
Time: 392040, added: EXPERT 2xKick
Time: 392280, added: EXPERT 2xKick
Time: 392520, added: EXPERT 2xKick
Time: 392760, added: EXPERT 2xKick
Time: 393000, added: EXPERT 2xKick
Time: 393240, added: EXPERT 2xKick
Time: 393480, added: EXPERT 2xKick
Time: 393720, added: EXPERT 2xKick
Time: 393960, added: EXPERT 2xKick
Time: 394200, added: EXPERT 2xKick
Time: 394440, added: EXPERT 2xKick
Time: 394680, added: EXPERT 2xKick
Time: 394920, added: EXPERT 2xKick
Time: 395160, added: EXPERT 2xKick
Time: 395400, added: EXPERT 2xKick
Time: 395640, added: EXPERT 2xKick
Time: 395880, added: EXPERT 2xKick
Time: 396120, added: EXPERT 2xKick
Time: 396360, added: EXPERT 2xKick
Time: 396600, added: EXPERT 2xKick
Time: 396840, added: EXPERT 2xKick
Time: 397080, added: EXPERT 2xKick
Time: 397320, added: EXPERT 2xKick
Time: 397560, added: EXPERT 2xKick
Time: 397800, added: EXPERT 2xKick
Time: 398040, added: EXPERT 2xKick
Time: 398280, added: EXPERT 2xKick
Time: 398520, added: EXPERT 2xKick
Time: 398760, added: EXPERT 2xKick
Time: 399000, added: EXPERT 2xKick
Time: 399240, added: EXPERT 2xKick
Time: 399480, added: EXPERT 2xKick
Time: 399720, added: EXPERT 2xKick
Time: 399960, added: EXPERT 2xKick
Time: 400200, added: EXPERT 2xKick
Time: 400440, added: EXPERT 2xKick
Time: 400680, added: EXPERT 2xKick
Time: 400920, added: EXPERT 2xKick
Time: 401160, added: EXPERT 2xKick
Time: 401400, added: EXPERT 2xKick
Time: 401640, added: EXPERT 2xKick
Time: 401880, added: EXPERT 2xKick
Time: 402120, added: EXPERT 2xKick
Time: 402360, added: EXPERT 2xKick
Time: 402600, added: EXPERT 2xKick
Time: 402840, added: EXPERT 2xKick
Time: 403080, added: EXPERT 2xKick
Time: 403320, added: EXPERT 2xKick
Time: 403560, added: EXPERT 2xKick
Time: 403800, added: EXPERT 2xKick
Time: 404040, added: EXPERT 2xKick
Time: 404280, added: EXPERT 2xKick
Time: 404520, added: EXPERT 2xKick
Time: 404760, added: EXPERT 2xKick
Time: 405000, added: EXPERT 2xKick
Time: 405240, added: EXPERT 2xKick
Time: 405480, added: EXPERT 2xKick
Time: 405720, added: EXPERT 2xKick
Time: 405960, added: EXPERT 2xKick
Time: 406200, added: EXPERT 2xKick
Time: 406440, added: EXPERT 2xKick
Time: 406680, added: EXPERT 2xKick
Time: 406920, added: EXPERT 2xKick
Time: 407160, added: EXPERT 2xKick
Time: 407400, added: EXPERT 2xKick
Time: 407640, added: EXPERT 2xKick
Time: 407880, added: EXPERT 2xKick
Time: 408120, added: EXPERT 2xKick
Time: 408360, added: EXPERT 2xKick
Time: 408600, added: EXPERT 2xKick
Time: 408840, added: EXPERT 2xKick
Time: 409080, added: EXPERT 2xKick
Time: 409320, added: EXPERT 2xKick
Time: 409560, added: EXPERT 2xKick
Time: 409800, added: EXPERT 2xKick
Text differences found in track 'PART DRUMS':
Time: 410399, Text event changed from '[no event]' to '[idle_realtime]'
Time: 410400, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 46080, added: LANE MARKER
Time: 51360, added: LANE MARKER
Time: 361260, removed: EXPERT Blue
Time: 361260, removed: EASY Yellow
Time: 361260, removed: EXPERT Green
Time: 361260, removed: MEDIUM Blue
Time: 361260, removed: HARD Blue
Time: 361280, added: EXPERT Blue
Time: 361280, added: MEDIUM Blue
Time: 361280, added: EASY Yellow
Time: 361280, added: HARD Blue
Text differences found in track 'PART GUITAR':
Time: 411839, Text event changed from '[no event]' to '[idle_realtime]'
Time: 411840, Text event changed from '[idle_realtime]' to '[no event]'
