Differences found in track 'PART DRUMS':
Time: 351000, added: DRUM ROLL
Time: 353160, added: DRUM ROLL
Time: 353440, added: DRUM ROLL
Time: 356220, added: DRUM ROLL
Time: 357119, added: Unknown Note (105)
Time: 357119, added: Unknown Note (106)
Time: 357120, removed: Unknown Note (105)
Time: 357120, removed: Unknown Note (106)
Text differences found in track 'PART DRUMS':
Time: 357119, Text event changed from '[no event]' to '[idle_realtime]'
Time: 357120, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 8640, added: LANE MARKER
Time: 14385, added: EXPERT Blue
Time: 14385, added: LANE MARKER
Time: 14385, added: EASY Yellow
Time: 14385, added: h2h note
Time: 14385, added: h2h note
Time: 14385, added: MEDIUM Yellow
Time: 14385, added: EXPERT Red
Time: 14385, added: HARD Yellow
Time: 14385, added: LANE MARKER
Time: 14400, removed: EXPERT Blue
Time: 14400, removed: h2h note
Time: 14400, removed: EASY Yellow
Time: 14400, removed: h2h note
Time: 14400, removed: MEDIUM Yellow
Time: 14400, removed: EXPERT Red
Time: 14400, removed: HARD Yellow
Time: 15825, added: HARD Blue
Time: 15825, added: EASY Red
Time: 15825, added: EXPERT Blue
Time: 15825, added: LANE MARKER
Time: 15825, added: MEDIUM Red
Time: 15825, added: HARD Red
Time: 15825, added: MEDIUM Yellow
Time: 15825, added: EXPERT Red
Time: 15825, added: EXPERT Yellow
Time: 15840, removed: HARD Blue
Time: 15840, removed: EASY Red
Time: 15840, removed: EXPERT Blue
Time: 15840, removed: MEDIUM Red
Time: 15840, removed: MEDIUM Yellow
Time: 15840, removed: HARD Red
Time: 15840, removed: EXPERT Red
Time: 15840, removed: EXPERT Yellow
Time: 20280, added: LANE MARKER
Time: 21105, added: HARD Blue
Time: 21105, added: EXPERT Blue
Time: 21105, added: EASY Red
Time: 21105, added: MEDIUM Red
Time: 21105, added: HARD Red
Time: 21105, added: MEDIUM Yellow
Time: 21105, added: EXPERT Red
Time: 21105, added: EXPERT Yellow
Time: 21105, added: LANE MARKER
Time: 21120, removed: HARD Blue
Time: 21120, removed: EXPERT Blue
Time: 21120, removed: EASY Red
Time: 21120, removed: MEDIUM Red
Time: 21120, removed: HARD Red
Time: 21120, removed: MEDIUM Yellow
Time: 21120, removed: EXPERT Red
Time: 21120, removed: EXPERT Yellow
Time: 21240, added: LANE MARKER
Time: 24600, added: LANE MARKER
Time: 31680, added: LANE MARKER
Time: 34545, added: EASY Red
Time: 34545, added: MEDIUM Yellow
Time: 34545, added: EXPERT Green
Time: 34545, added: HARD Yellow
Time: 34545, added: EXPERT Yellow
Time: 34545, added: LANE MARKER
Time: 34560, removed: EASY Red
Time: 34560, removed: MEDIUM Yellow
Time: 34560, removed: EXPERT Green
Time: 34560, removed: HARD Yellow
Time: 34560, removed: EXPERT Yellow
Time: 37440, added: LANE MARKER
Time: 38865, added: EASY Red
Time: 38865, added: MEDIUM Red
Time: 38865, added: h2h note
Time: 38865, added: HARD Red
Time: 38865, added: EXPERT Green
Time: 38865, added: EXPERT Red
Time: 38865, added: EXPERT Yellow
Time: 38865, added: LANE MARKER
Time: 38880, removed: EASY Red
Time: 38880, removed: MEDIUM Red
Time: 38880, removed: h2h note
Time: 38880, removed: HARD Red
Time: 38880, removed: EXPERT Green
Time: 38880, removed: EXPERT Red
Time: 38880, removed: EXPERT Yellow
Time: 43200, added: LANE MARKER
Time: 49905, added: EXPERT Yellow
Time: 49905, added: MEDIUM Blue
Time: 49905, added: HARD Blue
Time: 49905, added: EXPERT Blue
Time: 49905, added: MEDIUM Red
Time: 49905, added: EASY Yellow
Time: 49905, added: EXPERT Red
Time: 49905, added: HARD Yellow
Time: 49905, added: LANE MARKER
Time: 49920, removed: EXPERT Yellow
Time: 49920, removed: MEDIUM Blue
Time: 49920, removed: HARD Blue
Time: 49920, removed: EXPERT Blue
Time: 49920, removed: MEDIUM Red
Time: 49920, removed: EASY Yellow
Time: 49920, removed: EXPERT Red
Time: 49920, removed: HARD Yellow
Time: 51825, added: HARD Blue
Time: 51825, added: EXPERT Blue
Time: 51825, added: EASY Red
Time: 51825, added: h2h note
Time: 51825, added: MEDIUM Red
Time: 51825, added: h2h note
Time: 51825, added: HARD Red
Time: 51825, added: MEDIUM Yellow
Time: 51825, added: EXPERT Red
Time: 51825, added: EXPERT Yellow
Time: 51825, added: LANE MARKER
Time: 51840, removed: HARD Blue
Time: 51840, removed: EXPERT Blue
Time: 51840, removed: EASY Red
Time: 51840, removed: h2h note
Time: 51840, removed: MEDIUM Red
Time: 51840, removed: h2h note
Time: 51840, removed: HARD Red
Time: 51840, removed: MEDIUM Yellow
Time: 51840, removed: EXPERT Red
Time: 51840, removed: EXPERT Yellow
Time: 53265, added: EXPERT Yellow
Time: 53265, added: HARD Blue
Time: 53265, added: EXPERT Blue
Time: 53265, added: MEDIUM Red
Time: 53265, added: h2h note
Time: 53265, added: EXPERT Red
Time: 53265, added: EASY Green
Time: 53265, added: LANE MARKER
Time: 53280, removed: EXPERT Blue
Time: 53280, removed: MEDIUM Red
Time: 53280, removed: h2h note
Time: 53280, removed: EASY Green
Time: 53280, removed: EXPERT Red
Time: 53280, removed: EXPERT Yellow
Time: 53280, removed: HARD Blue
Time: 54720, added: LANE MARKER
Time: 56145, added: EASY Red
Time: 56145, added: MEDIUM Red
Time: 56145, added: h2h note
Time: 56145, added: HARD Red
Time: 56145, added: EXPERT Red
Time: 56145, added: EXPERT Yellow
Time: 56145, added: LANE MARKER
Time: 56160, removed: EASY Red
Time: 56160, removed: MEDIUM Red
Time: 56160, removed: h2h note
Time: 56160, removed: HARD Red
Time: 56160, removed: EXPERT Red
Time: 56160, removed: EXPERT Yellow
Time: 60440, added: LANE MARKER
Time: 61905, added: MEDIUM Green
Time: 61905, added: EASY Red
Time: 61905, added: h2h note
Time: 61905, added: HARD Green
Time: 61905, added: EXPERT Green
Time: 61905, added: EXPERT Yellow
Time: 61905, added: LANE MARKER
Time: 61920, removed: MEDIUM Green
Time: 61920, removed: EASY Red
Time: 61920, removed: h2h note
Time: 61920, removed: HARD Green
Time: 61920, removed: EXPERT Green
Time: 61920, removed: EXPERT Yellow
Time: 66160, added: LANE MARKER
Time: 69225, added: EXPERT Blue
Time: 69225, added: HARD Orange
Time: 69225, added: MEDIUM Red
Time: 69225, added: EASY Yellow
Time: 69225, added: HARD Red
Time: 69225, added: MEDIUM Yellow
Time: 69225, added: EXPERT Orange
Time: 69225, added: EXPERT Red
Time: 69225, added: LANE MARKER
Time: 69240, removed: HARD Orange
Time: 69240, removed: EXPERT Blue
Time: 69240, removed: MEDIUM Red
Time: 69240, removed: EASY Yellow
Time: 69240, removed: MEDIUM Yellow
Time: 69240, removed: HARD Red
Time: 69240, removed: EXPERT Orange
Time: 69240, removed: EXPERT Red
Time: 71920, added: LANE MARKER
Time: 73560, added: LANE MARKER
Time: 74880, added: LANE MARKER
Time: 76440, added: LANE MARKER
Time: 77760, added: LANE MARKER
Time: 83025, added: MEDIUM Green
Time: 83025, added: EXPERT Blue
Time: 83025, added: EASY Red
Time: 83025, added: HARD Red
Time: 83025, added: EXPERT Red
Time: 83025, added: LANE MARKER
Time: 83040, removed: MEDIUM Green
Time: 83040, removed: EXPERT Blue
Time: 83040, removed: EASY Red
Time: 83040, removed: HARD Red
Time: 83040, removed: EXPERT Red
Time: 83520, added: LANE MARKER
Time: 88785, added: MEDIUM Green
Time: 88785, added: EASY Red
Time: 88785, added: HARD Green
Time: 88785, added: EXPERT Green
Time: 88785, added: EXPERT Yellow
Time: 88785, added: LANE MARKER
Time: 88800, removed: MEDIUM Green
Time: 88800, removed: EASY Red
Time: 88800, removed: HARD Green
Time: 88800, removed: EXPERT Green
Time: 88800, removed: EXPERT Yellow
Time: 89265, added: MEDIUM Green
Time: 89265, added: h2h note
Time: 89265, added: MEDIUM Red
Time: 89265, added: h2h note
Time: 89265, added: HARD Green
Time: 89265, added: HARD Red
Time: 89265, added: EXPERT Green
Time: 89265, added: EXPERT Red
Time: 89265, added: EASY Green
Time: 89265, added: LANE MARKER
Time: 89280, removed: MEDIUM Green
Time: 89280, removed: h2h note
Time: 89280, removed: MEDIUM Red
Time: 89280, removed: h2h note
Time: 89280, removed: HARD Green
Time: 89280, removed: HARD Red
Time: 89280, removed: EXPERT Green
Time: 89280, removed: EXPERT Red
Time: 89280, removed: EASY Green
Time: 94545, added: MEDIUM Red
Time: 94545, added: HARD Red
Time: 94545, added: EXPERT Green
Time: 94545, added: EXPERT Red
Time: 94545, added: EASY Green
Time: 94545, added: LANE MARKER
Time: 94560, removed: MEDIUM Red
Time: 94560, removed: HARD Red
Time: 94560, removed: EXPERT Green
Time: 94560, removed: EXPERT Red
Time: 94560, removed: EASY Green
Time: 95025, added: HARD Blue
Time: 95025, added: EASY Red
Time: 95025, added: EXPERT Blue
Time: 95025, added: h2h note
Time: 95025, added: MEDIUM Red
Time: 95025, added: h2h note
Time: 95025, added: HARD Red
Time: 95025, added: MEDIUM Yellow
Time: 95025, added: EXPERT Red
Time: 95025, added: LANE MARKER
Time: 95040, removed: HARD Blue
Time: 95040, removed: EASY Red
Time: 95040, removed: EXPERT Blue
Time: 95040, removed: h2h note
Time: 95040, removed: MEDIUM Red
Time: 95040, removed: h2h note
Time: 95040, removed: HARD Red
Time: 95040, removed: MEDIUM Yellow
Time: 95040, removed: EXPERT Red
Time: 95985, added: EXPERT Blue
Time: 95985, added: EASY Red
Time: 95985, added: HARD Yellow
Time: 95985, added: MEDIUM Red
Time: 95985, added: EXPERT Red
Time: 95985, added: EXPERT Yellow
Time: 95985, added: LANE MARKER
Time: 96000, removed: EXPERT Blue
Time: 96000, removed: EASY Red
Time: 96000, removed: HARD Yellow
Time: 96000, removed: MEDIUM Red
Time: 96000, removed: EXPERT Red
Time: 96000, removed: EXPERT Yellow
Time: 96465, added: EXPERT Yellow
Time: 96465, added: MEDIUM Blue
Time: 96465, added: HARD Blue
Time: 96465, added: EXPERT Blue
Time: 96465, added: MEDIUM Red
Time: 96465, added: h2h note
Time: 96465, added: HARD Yellow
Time: 96465, added: EASY Green
Time: 96465, added: LANE MARKER
Time: 96480, removed: EASY Green
Time: 96480, removed: MEDIUM Blue
Time: 96480, removed: HARD Blue
Time: 96480, removed: EXPERT Blue
Time: 96480, removed: MEDIUM Red
Time: 96480, removed: h2h note
Time: 96480, removed: HARD Yellow
Time: 96480, removed: EXPERT Yellow
Time: 97425, added: EXPERT Blue
Time: 97425, added: EASY Green
Time: 97425, added: MEDIUM Yellow
Time: 97425, added: EXPERT Yellow
Time: 97425, added: HARD Blue
Time: 97425, added: LANE MARKER
Time: 97440, removed: EXPERT Blue
Time: 97440, removed: EXPERT Yellow
Time: 97440, removed: MEDIUM Yellow
Time: 97440, removed: EASY Green
Time: 97440, removed: HARD Blue
Time: 97905, added: MEDIUM Blue
Time: 97905, added: HARD Blue
Time: 97905, added: EXPERT Blue
Time: 97905, added: HARD Orange
Time: 97905, added: h2h note
Time: 97905, added: EASY Yellow
Time: 97905, added: EXPERT Orange
Time: 97905, added: MEDIUM Yellow
Time: 97905, added: LANE MARKER
Time: 97920, removed: MEDIUM Blue
Time: 97920, removed: HARD Blue
Time: 97920, removed: EXPERT Blue
Time: 97920, removed: HARD Orange
Time: 97920, removed: h2h note
Time: 97920, removed: EASY Yellow
Time: 97920, removed: EXPERT Orange
Time: 97920, removed: MEDIUM Yellow
Time: 98745, added: EXPERT Blue
Time: 98745, added: HARD Orange
Time: 98745, added: EXPERT Orange
Time: 98745, added: EXPERT Yellow
Time: 98745, added: HARD Blue
Time: 98745, added: LANE MARKER
Time: 98760, removed: HARD Orange
Time: 98760, removed: EXPERT Blue
Time: 98760, removed: EXPERT Orange
Time: 98760, removed: EXPERT Yellow
Time: 98760, removed: HARD Blue
Time: 99225, added: EXPERT Blue
Time: 99225, added: HARD Yellow
Time: 99225, added: EXPERT Yellow
Time: 99225, added: LANE MARKER
Time: 99240, removed: EXPERT Blue
Time: 99240, removed: HARD Yellow
Time: 99240, removed: EXPERT Yellow
Time: 99825, added: MEDIUM Green
Time: 99825, added: EXPERT Blue
Time: 99825, added: HARD Green
Time: 99825, added: EXPERT Green
Time: 99825, added: EXPERT Yellow
Time: 99825, added: LANE MARKER
Time: 99840, removed: MEDIUM Green
Time: 99840, removed: EXPERT Blue
Time: 99840, removed: HARD Green
Time: 99840, removed: EXPERT Green
Time: 99840, removed: EXPERT Yellow
Time: 100665, added: EXPERT Green
Time: 100665, added: HARD Green
Time: 100665, added: EXPERT Yellow
Time: 100665, added: LANE MARKER
Time: 100680, removed: EXPERT Green
Time: 100680, removed: HARD Green
Time: 100680, removed: EXPERT Yellow
Time: 105240, added: LANE MARKER
Time: 106560, added: LANE MARKER
Time: 110865, added: MEDIUM Green
Time: 110865, added: h2h note
Time: 110865, added: HARD Green
Time: 110865, added: EASY Green
Time: 110865, added: EXPERT Green
Time: 110865, added: EXPERT Yellow
Time: 110865, added: LANE MARKER
Time: 110880, removed: MEDIUM Green
Time: 110880, removed: h2h note
Time: 110880, removed: HARD Green
Time: 110880, removed: EXPERT Yellow
Time: 110880, removed: EXPERT Green
Time: 110880, removed: EASY Green
Time: 112240, added: LANE MARKER
Time: 116625, added: EASY Red
Time: 116625, added: OVERDRIVE
Time: 116625, added: MEDIUM Red
Time: 116625, added: h2h note
Time: 116625, added: HARD Red
Time: 116625, added: EXPERT Green
Time: 116625, added: EXPERT Red
Time: 116625, added: LANE MARKER
Time: 116640, removed: EASY Red
Time: 116640, removed: OVERDRIVE
Time: 116640, removed: MEDIUM Red
Time: 116640, removed: h2h note
Time: 116640, removed: HARD Red
Time: 116640, removed: EXPERT Green
Time: 116640, removed: EXPERT Red
Time: 118080, added: LANE MARKER
Time: 119505, added: EXPERT Blue
Time: 119505, added: EASY Red
Time: 119505, added: HARD Yellow
Time: 119505, added: MEDIUM Yellow
Time: 119505, added: EXPERT Red
Time: 119505, added: EXPERT Yellow
Time: 119505, added: LANE MARKER
Time: 119520, removed: EXPERT Blue
Time: 119520, removed: EASY Red
Time: 119520, removed: EXPERT Red
Time: 119520, removed: MEDIUM Yellow
Time: 119520, removed: HARD Yellow
Time: 119520, removed: EXPERT Yellow
Time: 120920, added: LANE MARKER
Time: 122865, added: MEDIUM Green
Time: 122865, added: LANE MARKER
Time: 122865, added: HARD Green
Time: 122865, added: EXPERT Green
Time: 122865, added: EXPERT Red
Time: 122880, removed: MEDIUM Green
