New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 246480, added: DRUM ROLL
Time: 247320, added: DRUM ROLL
Differences found in track 'PART GUITAR':
Time: 208920, added: LANE MARKER
Time: 210960, added: LANE MARKER
Time: 299520, added: LANE MARKER
Time: 301425, added: EXPERT Blue
Time: 301425, added: EXPERT Orange
Time: 301425, added: EASY Yellow
Time: 301425, added: MEDIUM Blue
Time: 301425, added: LANE MARKER
Time: 301425, added: HARD Blue
Time: 301440, removed: EXPERT Blue
Time: 301440, removed: EASY Yellow
Time: 301440, removed: EXPERT Orange
Time: 301440, removed: MEDIUM Blue
Time: 301440, removed: HARD Blue
Time: 303000, added: LANE MARKER
Time: 330240, added: LANE MARKER
Time: 332145, added: EXPERT Blue
Time: 332145, added: EXPERT Orange
Time: 332145, added: EASY Yellow
Time: 332145, added: MEDIUM Blue
Time: 332145, added: LANE MARKER
Time: 332145, added: HARD Blue
Time: 332160, removed: EXPERT Blue
Time: 332160, removed: EASY Yellow
Time: 332160, removed: EXPERT Orange
Time: 332160, removed: MEDIUM Blue
Time: 332160, removed: HARD Blue
Time: 333720, added: LANE MARKER
