Differences found in track 'PART GUITAR':
Time: 292800, added: LANE MARKER
Time: 292885, removed: MEDIUM Blue
Time: 292885, removed: HARD Blue
Time: 292885, removed: EXPERT Blue
Time: 292885, removed: HARD Orange
Time: 292885, removed: LANE MARKER
Time: 292885, removed: LANE MARKER
Time: 292885, removed: EASY Red
Time: 292885, removed: MEDIUM Yellow
Time: 292885, removed: EXPERT Yellow
Time: 292920, added: MEDIUM Blue
Time: 292920, added: HARD Blue
Time: 292920, added: EXPERT Blue
Time: 292920, added: EXPERT Blue
Time: 292920, added: HARD Orange
Time: 292920, added: LANE MARKER
Time: 292920, added: EXPERT Yellow
Time: 292920, added: EASY Red
Time: 292920, added: MEDIUM Yellow
Time: 292920, added: EXPERT Yellow
Time: 292980, removed: HARD Blue
Time: 292980, removed: EXPERT Blue
Time: 292980, removed: EXPERT Blue
Time: 292980, removed: EXPERT Yellow
Time: 292980, removed: HARD Yellow
Time: 292980, removed: EXPERT Yellow
Time: 293040, added: HARD Blue
Time: 293040, added: EXPERT Blue
Time: 293040, added: EXPERT Blue
Time: 293040, added: EXPERT Yellow
Time: 293040, added: HARD Yellow
Time: 293040, added: EXPERT Yellow
Time: 293100, removed: EXPERT Blue
Time: 293100, removed: HARD Blue
Time: 293100, removed: EXPERT Blue
Time: 293100, removed: HARD Yellow
Time: 293100, removed: EXPERT Yellow
Time: 293100, removed: EXPERT Yellow
Time: 293160, added: HARD Blue
Time: 293160, added: EXPERT Blue
Time: 293160, added: EXPERT Blue
Time: 293160, added: HARD Yellow
Time: 293160, added: EXPERT Yellow
Time: 293160, added: EXPERT Yellow
Time: 293220, removed: MEDIUM Red
Time: 293220, removed: EXPERT Blue
Time: 293220, removed: EXPERT Blue
Time: 293220, removed: EXPERT Yellow
Time: 293220, removed: HARD Blue
Time: 293220, removed: EXPERT Yellow
Time: 293220, removed: MEDIUM Blue
Time: 293220, removed: HARD Yellow
Time: 293280, added: MEDIUM Red
Time: 293280, added: EXPERT Blue
Time: 293280, added: EXPERT Blue
Time: 293280, added: EXPERT Yellow
Time: 293280, added: HARD Blue
Time: 293280, added: EXPERT Yellow
Time: 293280, added: MEDIUM Blue
Time: 293280, added: HARD Yellow
Time: 293340, removed: MEDIUM Blue
Time: 293340, removed: EXPERT Blue
Time: 293340, removed: HARD Blue
Time: 293340, removed: EXPERT Blue
Time: 293340, removed: EXPERT Yellow
Time: 293340, removed: MEDIUM Red
Time: 293340, removed: HARD Yellow
Time: 293340, removed: EXPERT Yellow
Time: 293400, added: MEDIUM Blue
Time: 293400, added: HARD Blue
Time: 293400, added: EXPERT Blue
Time: 293400, added: EXPERT Blue
Time: 293400, added: EXPERT Yellow
Time: 293400, added: MEDIUM Red
Time: 293400, added: HARD Yellow
Time: 293400, added: EXPERT Yellow
Time: 293460, removed: HARD Blue
Time: 293460, removed: EXPERT Blue
Time: 293460, removed: EXPERT Blue
Time: 293460, removed: EXPERT Yellow
Time: 293460, removed: HARD Yellow
Time: 293460, removed: EXPERT Yellow
Time: 293520, added: HARD Blue
Time: 293520, added: EXPERT Blue
Time: 293520, added: EXPERT Blue
Time: 293520, added: EXPERT Yellow
Time: 293520, added: HARD Yellow
Time: 293520, added: EXPERT Yellow
Time: 293580, removed: EXPERT Blue
Time: 293580, removed: HARD Blue
Time: 293580, removed: EXPERT Blue
Time: 293580, removed: HARD Yellow
Time: 293580, removed: EXPERT Yellow
Time: 293580, removed: EXPERT Yellow
Time: 293640, added: HARD Blue
Time: 293640, added: EXPERT Blue
Time: 293640, added: EXPERT Blue
Time: 293640, added: HARD Yellow
Time: 293640, added: EXPERT Yellow
Time: 293640, added: EXPERT Yellow
Time: 293700, removed: MEDIUM Red
Time: 293700, removed: EXPERT Blue
Time: 293700, removed: EXPERT Blue
Time: 293700, removed: EASY Yellow
Time: 293700, removed: EXPERT Yellow
Time: 293700, removed: HARD Blue
Time: 293700, removed: EXPERT Yellow
Time: 293700, removed: MEDIUM Blue
Time: 293700, removed: HARD Yellow
Time: 293760, added: MEDIUM Red
Time: 293760, added: EXPERT Blue
Time: 293760, added: EXPERT Blue
Time: 293760, added: EASY Yellow
Time: 293760, added: EXPERT Yellow
Time: 293760, added: HARD Blue
Time: 293760, added: EXPERT Yellow
Time: 293760, added: MEDIUM Blue
Time: 293760, added: HARD Yellow
Time: 293820, removed: MEDIUM Blue
Time: 293820, removed: EXPERT Blue
Time: 293820, removed: HARD Blue
Time: 293820, removed: EXPERT Blue
Time: 293820, removed: EASY Yellow
Time: 293820, removed: EXPERT Yellow
Time: 293820, removed: MEDIUM Red
Time: 293820, removed: HARD Yellow
Time: 293820, removed: EXPERT Yellow
Time: 293880, added: MEDIUM Blue
Time: 293880, added: HARD Blue
Time: 293880, added: EXPERT Blue
Time: 293880, added: EXPERT Blue
Time: 293880, added: EASY Yellow
Time: 293880, added: EXPERT Yellow
Time: 293880, added: MEDIUM Red
Time: 293880, added: HARD Yellow
Time: 293880, added: EXPERT Yellow
Time: 293940, removed: HARD Blue
Time: 293940, removed: EXPERT Blue
Time: 293940, removed: EXPERT Blue
Time: 293940, removed: EXPERT Yellow
Time: 293940, removed: HARD Yellow
Time: 293940, removed: EXPERT Yellow
Time: 294000, added: HARD Blue
Time: 294000, added: EXPERT Blue
Time: 294000, added: EXPERT Blue
Time: 294000, added: LANE MARKER
Time: 294000, added: EXPERT Yellow
Time: 294000, added: HARD Yellow
Time: 294000, added: EXPERT Yellow
Time: 294060, removed: HARD Blue
Time: 294060, removed: EXPERT Blue
Time: 294060, removed: EXPERT Green
Time: 294060, removed: LANE MARKER
Time: 294060, removed: EXPERT Yellow
Time: 294060, removed: LANE MARKER
Time: 294060, removed: HARD Yellow
Time: 294060, removed: EXPERT Yellow
Time: 294120, added: HARD Blue
Time: 294120, added: EXPERT Yellow
Time: 294120, added: EXPERT Green
Time: 294120, added: EXPERT Green
Time: 294120, added: HARD Yellow
Time: 294120, added: LANE MARKER
Time: 294120, added: EXPERT Yellow
Time: 294180, removed: HARD Green
Time: 294180, removed: EXPERT Green
Time: 294180, removed: MEDIUM Yellow
Time: 294180, removed: EXPERT Yellow
Time: 294180, removed: MEDIUM Green
Time: 294180, removed: EXPERT Yellow
Time: 294180, removed: EXPERT Green
Time: 294180, removed: HARD Yellow
Time: 294240, added: EXPERT Green
Time: 294240, added: HARD Green
Time: 294240, added: MEDIUM Yellow
Time: 294240, added: EXPERT Yellow
Time: 294240, added: MEDIUM Green
Time: 294240, added: EXPERT Yellow
Time: 294240, added: EXPERT Green
Time: 294240, added: HARD Yellow
Time: 294300, removed: MEDIUM Green
Time: 294300, removed: HARD Green
Time: 294300, removed: EXPERT Green
Time: 294300, removed: EXPERT Yellow
Time: 294300, removed: EXPERT Green
Time: 294300, removed: MEDIUM Yellow
Time: 294300, removed: EXPERT Yellow
Time: 294300, removed: HARD Yellow
Time: 294360, added: MEDIUM Green
Time: 294360, added: HARD Green
Time: 294360, added: EXPERT Green
Time: 294360, added: EXPERT Yellow
Time: 294360, added: LANE MARKER
Time: 294360, added: EXPERT Green
Time: 294360, added: MEDIUM Yellow
Time: 294360, added: EXPERT Yellow
Time: 294360, added: HARD Yellow
Time: 294420, removed: EXPERT Green
Time: 294420, removed: HARD Green
Time: 294420, removed: EXPERT Green
Time: 294420, removed: EXPERT Red
Time: 294420, removed: LANE MARKER
Time: 294420, removed: EXPERT Yellow
Time: 294420, removed: LANE MARKER
Time: 294420, removed: HARD Red
Time: 294480, added: HARD Green
Time: 294480, added: HARD Red
Time: 294480, added: EXPERT Green
Time: 294480, added: EXPERT Green
Time: 294480, added: EXPERT Red
Time: 294480, added: EXPERT Red
Time: 294480, added: LANE MARKER
Time: 294540, removed: EXPERT Red
Time: 294540, removed: HARD Green
Time: 294540, removed: EXPERT Green
Time: 294540, removed: EXPERT Green
Time: 294540, removed: HARD Red
Time: 294540, removed: EXPERT Red
Time: 294600, added: EXPERT Red
Time: 294600, added: HARD Green
Time: 294600, added: EXPERT Green
Time: 294600, added: EXPERT Green
Time: 294600, added: HARD Red
Time: 294600, added: EXPERT Red
Time: 294660, removed: MEDIUM Red
Time: 294660, removed: EXPERT Green
Time: 294660, removed: HARD Red
Time: 294660, removed: HARD Green
Time: 294660, removed: EXPERT Green
Time: 294660, removed: EXPERT Red
Time: 294660, removed: EXPERT Red
Time: 294660, removed: MEDIUM Green
Time: 294660, removed: EASY Green
Time: 294720, added: MEDIUM Red
Time: 294720, added: EXPERT Green
Time: 294720, added: HARD Red
Time: 294720, added: HARD Green
Time: 294720, added: EXPERT Green
Time: 294720, added: EXPERT Red
Time: 294720, added: EXPERT Red
Time: 294720, added: MEDIUM Green
Time: 294720, added: EASY Green
Time: 294780, removed: MEDIUM Green
Time: 294780, removed: HARD Green
Time: 294780, removed: EXPERT Green
Time: 294780, removed: EXPERT Red
Time: 294780, removed: HARD Red
Time: 294780, removed: EXPERT Red
Time: 294780, removed: EASY Green
Time: 294780, removed: MEDIUM Red
Time: 294780, removed: EXPERT Green
Time: 294840, added: MEDIUM Green
Time: 294840, added: HARD Green
Time: 294840, added: EXPERT Green
Time: 294840, added: HARD Red
Time: 294840, added: EXPERT Red
Time: 294840, added: EXPERT Red
Time: 294840, added: EASY Green
Time: 294840, added: MEDIUM Red
Time: 294840, added: EXPERT Green
Time: 294900, removed: HARD Green
Time: 294900, removed: EXPERT Green
Time: 294900, removed: EXPERT Green
Time: 294900, removed: HARD Red
Time: 294900, removed: EXPERT Red
Time: 294900, removed: EXPERT Red
Time: 294960, added: HARD Green
Time: 294960, added: HARD Red
Time: 294960, added: EXPERT Green
Time: 294960, added: EXPERT Green
Time: 294960, added: EXPERT Red
Time: 294960, added: EXPERT Red
Time: 295020, removed: EXPERT Red
Time: 295020, removed: HARD Green
Time: 295020, removed: EXPERT Green
Time: 295020, removed: EXPERT Green
Time: 295020, removed: HARD Red
Time: 295020, removed: EXPERT Red
Time: 295080, added: EXPERT Red
Time: 295080, added: HARD Green
Time: 295080, added: EXPERT Green
Time: 295080, added: EXPERT Green
Time: 295080, added: HARD Red
Time: 295080, added: EXPERT Red
Time: 295140, removed: MEDIUM Red
Time: 295140, removed: HARD Red
Time: 295140, removed: HARD Green
Time: 295140, removed: EXPERT Green
Time: 295140, removed: EXPERT Red
Time: 295140, removed: EXPERT Red
Time: 295140, removed: MEDIUM Green
Time: 295140, removed: EXPERT Green
Time: 295200, added: MEDIUM Red
Time: 295200, added: EXPERT Green
Time: 295200, added: EXPERT Green
Time: 295200, added: HARD Green
Time: 295200, added: EXPERT Red
Time: 295200, added: EXPERT Red
Time: 295200, added: MEDIUM Green
Time: 295200, added: HARD Red
Time: 295260, removed: MEDIUM Green
Time: 295260, removed: HARD Green
