Differences found in track 'PART GUITAR':
Time: 158760, added: LANE MARKER
Time: 158832, removed: MEDIUM Yellow
Time: 158832, removed: HARD Yellow
Time: 158832, removed: LANE MARKER
Time: 158832, removed: EXPERT Yellow
Time: 158832, removed: LANE MARKER
Time: 158880, added: MEDIUM Yellow
Time: 158880, added: HARD Yellow
Time: 158880, added: MEDIUM Yellow
Time: 158880, added: HARD Yellow
Time: 158880, added: EXPERT Yellow
Time: 158880, added: EXPERT Yellow
Time: 158880, added: LANE MARKER
Time: 158880, added: EXPERT Blue
Time: 158940, removed: EXPERT Blue
Time: 158940, removed: EXPERT Yellow
Time: 158940, removed: HARD Yellow
Time: 158940, removed: MEDIUM Yellow
Time: 158940, removed: EXPERT Yellow
Time: 158940, removed: HARD Yellow
Time: 158940, removed: EXPERT Blue
Time: 159000, added: EXPERT Blue
Time: 159000, added: EXPERT Yellow
Time: 159000, added: HARD Yellow
Time: 159000, added: EXPERT Yellow
Time: 159000, added: HARD Yellow
Time: 159000, added: EXPERT Blue
Time: 159060, removed: EXPERT Blue
Time: 159060, removed: EXPERT Yellow
Time: 159060, removed: HARD Yellow
Time: 159060, removed: EXPERT Yellow
Time: 159060, removed: HARD Yellow
Time: 159060, removed: EXPERT Blue
Time: 159120, added: EXPERT Blue
Time: 159120, added: EXPERT Yellow
Time: 159120, added: HARD Yellow
Time: 159120, added: EXPERT Yellow
Time: 159120, added: HARD Yellow
Time: 159120, added: EXPERT Blue
Time: 159180, removed: EXPERT Blue
Time: 159180, removed: EXPERT Yellow
Time: 159180, removed: HARD Yellow
Time: 159180, removed: EXPERT Yellow
Time: 159180, removed: HARD Yellow
Time: 159180, removed: EXPERT Blue
Time: 159240, added: EXPERT Yellow
Time: 159240, added: EXPERT Blue
Time: 159240, added: HARD Yellow
Time: 159240, added: HARD Yellow
Time: 159240, added: EXPERT Yellow
Time: 159240, added: LANE MARKER
Time: 159300, removed: HARD Green
Time: 159300, removed: EXPERT Green
Time: 159300, removed: EASY Red
Time: 159300, removed: EXPERT Yellow
Time: 159300, removed: HARD Yellow
Time: 159300, removed: MEDIUM Green
Time: 159300, removed: LANE MARKER
Time: 159300, removed: LANE MARKER
Time: 159360, added: MEDIUM Green
Time: 159360, added: EXPERT Green
Time: 159360, added: HARD Green
Time: 159360, added: EXPERT Red
Time: 159360, added: EXPERT Green
Time: 159360, added: EASY Red
Time: 159360, added: MEDIUM Green
Time: 159360, added: EASY Red
Time: 159360, added: HARD Green
Time: 159360, added: LANE MARKER
Time: 159420, removed: MEDIUM Green
Time: 159420, removed: HARD Green
Time: 159420, removed: EXPERT Green
Time: 159420, removed: EXPERT Red
Time: 159420, removed: EXPERT Green
Time: 159420, removed: EASY Red
Time: 159420, removed: HARD Green
Time: 159420, removed: EXPERT Red
Time: 159480, added: EXPERT Green
Time: 159480, added: HARD Green
Time: 159480, added: EXPERT Red
Time: 159480, added: HARD Green
Time: 159480, added: EXPERT Green
Time: 159480, added: EXPERT Red
Time: 159540, removed: HARD Green
Time: 159540, removed: EXPERT Green
Time: 159540, removed: EXPERT Red
Time: 159540, removed: HARD Green
Time: 159540, removed: EXPERT Green
Time: 159540, removed: EXPERT Red
Time: 159600, added: EXPERT Green
Time: 159600, added: HARD Green
Time: 159600, added: EXPERT Red
Time: 159600, added: HARD Green
Time: 159600, added: EXPERT Green
Time: 159600, added: EXPERT Red
Time: 159660, removed: HARD Green
Time: 159660, removed: EXPERT Green
Time: 159660, removed: EXPERT Red
Time: 159660, removed: HARD Green
Time: 159660, removed: EXPERT Green
Time: 159660, removed: EXPERT Red
Time: 159720, added: EXPERT Green
Time: 159720, added: HARD Green
Time: 159720, added: HARD Green
Time: 159720, added: EXPERT Green
Time: 159720, added: EXPERT Red
Time: 159720, added: LANE MARKER
Time: 159780, removed: HARD Red
Time: 159780, removed: MEDIUM Red
Time: 159780, removed: EXPERT Red
Time: 159780, removed: HARD Green
Time: 159780, removed: EXPERT Green
