New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART GUITAR':
Time: 142920, added: LANE MARKER
Time: 143880, added: LANE MARKER
Time: 144839, added: LANE MARKER
Time: 144959, removed: EXPERT Red
Time: 144959, removed: EXPERT Green
Time: 144960, added: EXPERT Red
Time: 144960, added: EXPERT Green
Time: 145079, removed: EXPERT Red
Time: 145079, removed: EXPERT Green
Time: 145080, added: EXPERT Red
Time: 145080, added: EXPERT Green
Time: 145199, removed: EXPERT Red
Time: 145199, removed: EXPERT Green
Time: 145200, added: EXPERT Red
Time: 145200, added: EXPERT Green
Time: 145319, removed: EXPERT Red
Time: 145319, removed: EXPERT Green
Time: 145320, added: EXPERT Red
Time: 145320, added: EXPERT Green
Time: 145439, removed: EXPERT Red
Time: 145439, removed: EXPERT Green
Time: 145440, added: EXPERT Red
Time: 145440, added: EXPERT Green
Time: 145559, removed: EXPERT Red
Time: 145559, removed: EASY Green
Time: 145559, removed: EXPERT Green
Time: 145560, added: EXPERT Red
Time: 145560, added: EASY Green
Time: 145560, added: EXPERT Green
Time: 145679, removed: EXPERT Red
Time: 145679, removed: EXPERT Green
Time: 145680, added: EXPERT Red
Time: 145680, added: EXPERT Green
Time: 145799, removed: EXPERT Red
Time: 145799, removed: MEDIUM Red
Time: 145799, removed: HARD Red
Time: 145800, added: EXPERT Red
Time: 145800, added: MEDIUM Red
Time: 145800, added: LANE MARKER
Time: 145800, added: HARD Red
Time: 146759, removed: EXPERT Green
Time: 146759, removed: EXPERT Red
Time: 146759, removed: HARD Green
Time: 146759, removed: EASY Green
Time: 146759, removed: MEDIUM Green
Time: 146759, removed: EXPERT Blue
Time: 146760, added: EXPERT Green
Time: 146760, added: EXPERT Red
Time: 146760, added: HARD Green
Time: 146760, added: EASY Green
Time: 146760, added: MEDIUM Green
Time: 146760, added: LANE MARKER
Time: 146760, added: EXPERT Blue
Time: 147232, removed: EXPERT Red
Time: 147232, removed: EXPERT Green
Time: 147240, added: EXPERT Red
Time: 147240, added: EXPERT Green
Time: 147352, removed: EXPERT Red
Time: 147352, removed: EXPERT Green
Time: 147360, added: EXPERT Red
Time: 147360, added: EXPERT Green
Time: 147480, added: LANE MARKER
Time: 148439, removed: EXPERT Red
Time: 148439, removed: EASY Yellow
Time: 148439, removed: MEDIUM Yellow
Time: 148439, removed: EXPERT Orange
Time: 148439, removed: HARD Red
Time: 148439, removed: HARD Orange
Time: 148440, added: EXPERT Red
Time: 148440, added: EASY Yellow
Time: 148440, added: MEDIUM Yellow
Time: 148440, added: EXPERT Orange
Time: 148440, added: HARD Red
Time: 148440, added: HARD Orange
Time: 148559, removed: EXPERT Red
Time: 148559, removed: EXPERT Yellow
Time: 148559, removed: HARD Yellow
Time: 148559, removed: HARD Red
Time: 148560, added: EXPERT Red
Time: 148560, added: EXPERT Yellow
Time: 148560, added: HARD Yellow
Time: 148560, added: HARD Red
Time: 148679, removed: HARD Yellow
Time: 148679, removed: EXPERT Yellow
Time: 148679, removed: EXPERT Blue
Time: 148680, added: HARD Yellow
Time: 148680, added: EXPERT Yellow
Time: 148680, added: EXPERT Blue
Time: 150600, added: LANE MARKER
Time: 150719, removed: EXPERT Red
Time: 150719, removed: EXPERT Green
Time: 150720, added: EXPERT Red
Time: 150720, added: EXPERT Green
Time: 150839, removed: EXPERT Red
Time: 150839, removed: EXPERT Green
Time: 150840, added: EXPERT Red
Time: 150840, added: EXPERT Green
Time: 150959, removed: EXPERT Red
Time: 150959, removed: EXPERT Green
Time: 150960, added: EXPERT Red
Time: 150960, added: EXPERT Green
Time: 151079, removed: EXPERT Red
Time: 151079, removed: EXPERT Green
Time: 151080, added: EXPERT Red
Time: 151080, added: EXPERT Green
Time: 151199, removed: EXPERT Red
Time: 151199, removed: EXPERT Green
Time: 151200, added: EXPERT Red
Time: 151200, added: EXPERT Green
Time: 151319, removed: EXPERT Red
Time: 151319, removed: EASY Green
Time: 151319, removed: EXPERT Green
Time: 151320, added: EXPERT Red
Time: 151320, added: EASY Green
Time: 151320, added: EXPERT Green
Time: 151439, removed: EXPERT Red
Time: 151439, removed: EXPERT Green
Time: 151440, added: EXPERT Red
Time: 151440, added: EXPERT Green
Time: 151559, removed: EXPERT Red
Time: 151559, removed: MEDIUM Red
Time: 151559, removed: HARD Red
Time: 151560, added: EXPERT Red
Time: 151560, added: MEDIUM Red
Time: 151560, added: LANE MARKER
Time: 151560, added: HARD Red
Time: 152518, added: LANE MARKER
Time: 152638, removed: EXPERT Red
Time: 152638, removed: EXPERT Green
Time: 152640, added: EXPERT Red
Time: 152640, added: EXPERT Green
Time: 152758, removed: EXPERT Red
Time: 152758, removed: EXPERT Green
Time: 152760, added: EXPERT Red
Time: 152760, added: EXPERT Green
Time: 152878, removed: EXPERT Red
Time: 152878, removed: EXPERT Green
Time: 152880, added: EXPERT Red
