New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 185398, added: EXPERT 2xKick
Time: 185560, added: EXPERT 2xKick
Time: 185560, added: EXPERT Kick
Time: 185610, removed: EXPERT Kick
Time: 185728, added: EXPERT 2xKick
Time: 185878, added: EXPERT 2xKick
Time: 186028, added: EXPERT 2xKick
Time: 186200, added: MEDIUM Red
Time: 186200, added: EXPERT 2xKick
Time: 186200, added: HARD Kick
Time: 186200, added: HARD Red
Time: 186200, added: EXPERT Kick
Time: 186200, added: EASY Green
Time: 186200, added: EXPERT Red
Time: 186200, added: EXPERT Green
Time: 186200, added: MEDIUM Green
Time: 186200, added: HARD Green
Time: 186200, added: EASY Red
Time: 186240, removed: MEDIUM Red
Time: 186240, removed: HARD Kick
Time: 186240, removed: EXPERT Green
Time: 186240, removed: HARD Red
Time: 186240, removed: EXPERT Kick
Time: 186240, removed: EASY Green
Time: 186240, removed: EXPERT Red
Time: 186240, removed: MEDIUM Green
Time: 186240, removed: HARD Green
Time: 186240, removed: EASY Red
Time: 186298, added: MEDIUM Red
Time: 186298, added: HARD Kick
Time: 186298, added: EXPERT Green
Time: 186298, added: HARD Red
Time: 186298, added: EXPERT Kick
Time: 186298, added: EASY Green
Time: 186298, added: EXPERT Red
Time: 186298, added: MEDIUM Green
Time: 186298, added: HARD Green
Time: 186298, added: EASY Red
Time: 186358, removed: MEDIUM Red
Time: 186358, removed: EXPERT Green
Time: 186358, removed: HARD Red
Time: 186358, removed: EXPERT Kick
Time: 186358, removed: EASY Green
Time: 186358, removed: EXPERT Red
Time: 186358, removed: MEDIUM Green
Time: 186358, removed: HARD Green
Time: 186358, removed: EASY Red
Time: 186400, added: EXPERT 2xKick
Time: 186520, added: EXPERT 2xKick
Time: 186520, added: EXPERT Kick
Time: 186570, removed: EXPERT Kick
Time: 186688, added: EXPERT 2xKick
Time: 186838, added: EXPERT 2xKick
Time: 186988, added: EXPERT 2xKick
Time: 187160, added: EXPERT Green
Time: 187160, added: EXPERT 2xKick
Time: 187160, added: HARD Kick
Time: 187160, added: DRUM FILL
Time: 187160, added: EXPERT Kick
Time: 187160, added: EASY Green
Time: 187160, added: DRUM FILL
Time: 187160, added: MEDIUM Green
Time: 187160, added: MEDIUM Kick
Time: 187160, added: DRUM FILL
Time: 187160, added: DRUM FILL (use all 5)
Time: 187160, added: HARD Green
Time: 187160, added: DRUM FILL
Time: 187198, removed: EXPERT Green
Time: 187198, removed: HARD Kick
Time: 187198, removed: DRUM FILL
Time: 187198, removed: EXPERT Kick
Time: 187198, removed: EASY Green
Time: 187198, removed: DRUM FILL
Time: 187198, removed: MEDIUM Green
Time: 187198, removed: MEDIUM Kick
Time: 187198, removed: DRUM FILL
Time: 187198, removed: DRUM FILL (use all 5)
Time: 187198, removed: HARD Green
