New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 206560, added: EXPERT 2xKick
Time: 206880, added: EXPERT 2xKick
Time: 207200, added: EXPERT 2xKick
Time: 207520, added: EXPERT 2xKick
Time: 207840, added: EXPERT 2xKick
Time: 208160, added: EXPERT 2xKick
Time: 208480, added: EXPERT 2xKick
Time: 208800, added: EXPERT 2xKick
Time: 209120, added: EXPERT 2xKick
Time: 209440, added: EXPERT 2xKick
Time: 209760, added: EXPERT 2xKick
Time: 210080, added: EXPERT 2xKick
Time: 210400, added: EXPERT 2xKick
Time: 210720, added: EXPERT 2xKick
Time: 211040, added: EXPERT 2xKick
Time: 211360, added: EXPERT 2xKick
Time: 211680, added: EXPERT 2xKick
Time: 212000, added: EXPERT 2xKick
Time: 212320, added: EXPERT 2xKick
Time: 212640, added: EXPERT 2xKick
Time: 212960, added: EXPERT 2xKick
Time: 213280, added: EXPERT 2xKick
Time: 213600, added: EXPERT 2xKick
Time: 213920, added: EXPERT 2xKick
Time: 214200, added: EXPERT 2xKick
Time: 214300, added: EXPERT 2xKick
Time: 214560, added: EXPERT 2xKick
Time: 214880, added: EXPERT 2xKick
Time: 215200, added: EXPERT 2xKick
Time: 215520, added: EXPERT 2xKick
Time: 215840, added: EXPERT 2xKick
Time: 216160, added: EXPERT 2xKick
Time: 216480, added: EXPERT 2xKick
Time: 216800, added: EXPERT 2xKick
Time: 217120, added: EXPERT 2xKick
Time: 217440, added: EXPERT 2xKick
Time: 217760, added: EXPERT 2xKick
Time: 218080, added: EXPERT 2xKick
Time: 218400, added: EXPERT 2xKick
Time: 218720, added: EXPERT 2xKick
Time: 219040, added: EXPERT 2xKick
Time: 219360, added: EXPERT 2xKick
Time: 219680, added: EXPERT 2xKick
Time: 220000, added: EXPERT 2xKick
Time: 220320, added: EXPERT 2xKick
Time: 220640, added: EXPERT 2xKick
Time: 220960, added: EXPERT 2xKick
Time: 221280, added: EXPERT 2xKick
