Differences found in track 'PART DRUMS':
Time: 268920, added: EXPERT 2xKick
Time: 269160, added: EXPERT 2xKick
Time: 269400, added: EXPERT 2xKick
Time: 269640, added: EXPERT 2xKick
Time: 270840, added: EXPERT 2xKick
Time: 271080, added: EXPERT 2xKick
Time: 271320, added: TOM GEMS PAD 4
Time: 271320, added: TOM GEMS PAD 2
Time: 271320, added: TOM GEMS PAD 3
Time: 271320, added: EXPERT 2xKick
Time: 271380, removed: TOM GEMS PAD 4
Time: 271380, removed: TOM GEMS PAD 2
Time: 271380, removed: TOM GEMS PAD 3
Time: 271380, removed: EXPERT Kick
Time: 271440, added: EXPERT Kick
Time: 271500, removed: EXPERT Kick
Time: 271560, added: EXPERT 2xKick
Time: 272760, added: EXPERT 2xKick
Time: 273000, added: EXPERT 2xKick
Time: 273240, added: EXPERT 2xKick
Time: 273480, added: EXPERT 2xKick
Time: 274680, added: EXPERT 2xKick
Time: 274920, added: EXPERT 2xKick
Time: 275160, added: EXPERT 2xKick
Time: 275400, added: EXPERT 2xKick
Time: 284280, added: EXPERT 2xKick
Time: 284520, added: EXPERT 2xKick
Time: 284760, added: EXPERT 2xKick
Time: 285000, added: EXPERT 2xKick
Time: 286200, added: EXPERT 2xKick
Time: 286440, added: EXPERT 2xKick
Time: 286680, added: EXPERT 2xKick
Time: 286920, added: EXPERT 2xKick
Time: 288120, added: EXPERT 2xKick
Time: 288360, added: EXPERT 2xKick
Time: 288600, added: EXPERT 2xKick
Time: 288840, added: EXPERT 2xKick
Time: 290040, added: EXPERT 2xKick
Time: 290280, added: EXPERT 2xKick
Time: 290520, added: EXPERT 2xKick
Time: 290760, added: EXPERT 2xKick
Time: 299640, added: EXPERT 2xKick
Time: 299880, added: EXPERT 2xKick
Time: 300120, added: EXPERT 2xKick
Time: 300360, added: EXPERT 2xKick
Time: 301560, added: EXPERT 2xKick
Time: 301800, added: EXPERT 2xKick
Time: 302040, added: EXPERT 2xKick
Time: 302280, added: EXPERT 2xKick
Time: 303480, added: EXPERT 2xKick
Time: 303720, added: EXPERT 2xKick
Time: 303960, added: EXPERT 2xKick
Time: 304200, added: EXPERT 2xKick
Time: 305400, added: EXPERT 2xKick
Time: 305640, added: EXPERT 2xKick
Time: 305880, added: EXPERT 2xKick
Time: 306120, added: EXPERT 2xKick
Time: 315000, added: EXPERT 2xKick
Time: 315240, added: EXPERT 2xKick
Time: 315480, added: EXPERT 2xKick
Time: 315720, added: EXPERT 2xKick
Time: 316920, added: EXPERT 2xKick
Time: 317160, added: EXPERT 2xKick
Time: 317400, added: EXPERT 2xKick
Time: 317640, added: EXPERT 2xKick
Time: 318840, added: EXPERT 2xKick
Time: 319080, added: EXPERT 2xKick
Time: 319320, added: EXPERT 2xKick
Time: 319560, added: EXPERT 2xKick
Time: 320760, added: EXPERT 2xKick
Time: 321000, added: EXPERT 2xKick
Time: 321240, added: EXPERT 2xKick
Time: 321480, added: EXPERT 2xKick
Time: 330360, added: EXPERT 2xKick
Time: 330600, added: EXPERT 2xKick
Time: 330840, added: EXPERT 2xKick
Time: 331080, added: EXPERT 2xKick
Time: 332280, added: EXPERT 2xKick
Time: 332520, added: EXPERT 2xKick
Time: 332760, added: EXPERT 2xKick
Time: 333000, added: EXPERT 2xKick
Time: 334200, added: EXPERT 2xKick
Time: 334440, added: EXPERT 2xKick
Time: 334680, added: EXPERT 2xKick
Time: 334920, added: EXPERT 2xKick
Time: 336120, added: EXPERT 2xKick
Time: 336360, added: EXPERT 2xKick
Time: 336600, added: EXPERT 2xKick
Time: 358460, added: EXPERT 2xKick
Differences found in track 'PART GUITAR':
Time: 134280, removed: Force HOPO On
Time: 134400, removed: Force HOPO On
Time: 134640, removed: Force HOPO On
Time: 134760, added: Force HOPO On
