Differences found in track 'PART DRUMS':
Time: 6840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 10680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 13080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 13320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 14520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 18360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 26040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 27960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 28200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 28680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 29880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 36600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 36840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 37800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 38760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 39960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 40920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 41160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 41400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 41640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 41880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 43080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 43320, added: EXPERT 2xKick, EXPERT 2xKick
