Differences found in track 'PART DRUMS':
Time: 102720, removed: DRUM ROLL
Time: 102800, added: DRUM ROLL
Time: 103120, added: DRUM ROLL
Time: 103280, added: DRUM ROLL
Time: 103600, removed: DRUM ROLL, added: DRUM ROLL
Differences found in track 'PART GUITAR':
Time: 6640, removed: LANE MARKER
Time: 6705, added: HARD Blue
Time: 6705, added: EXPERT Orange
Time: 6705, added: Force HOPO On
Time: 6705, added: LANE MARKER
Time: 6705, added: EXPERT Green
Time: 6720, removed: HARD Blue
Time: 6720, removed: EXPERT Orange
Time: 6720, removed: Force HOPO On
Time: 6720, removed: EXPERT Green
Time: 7600, removed: LANE MARKER
Time: 7665, added: HARD Blue
Time: 7665, added: EXPERT Orange
Time: 7665, added: Force HOPO On
Time: 7665, added: LANE MARKER
Time: 7665, added: EXPERT Green
Time: 7680, removed: HARD Blue
Time: 7680, removed: EXPERT Orange
Time: 7680, removed: Force HOPO On
Time: 7680, removed: EXPERT Green
Time: 10480, removed: LANE MARKER
Time: 10545, added: HARD Blue
Time: 10545, added: EXPERT Orange
Time: 10545, added: Force HOPO On
Time: 10545, added: LANE MARKER
Time: 10545, added: EXPERT Green
Time: 10560, removed: HARD Blue
Time: 10560, removed: EXPERT Orange
Time: 10560, removed: Force HOPO On
Time: 10560, removed: EXPERT Green
Time: 11440, removed: LANE MARKER
Time: 11505, added: HARD Blue
Time: 11505, added: EXPERT Orange
Time: 11505, added: Force HOPO On
Time: 11505, added: LANE MARKER
Time: 11505, added: EXPERT Green
Time: 11520, removed: HARD Blue
Time: 11520, removed: EXPERT Orange
Time: 11520, removed: Force HOPO On
Time: 11520, removed: EXPERT Green
Time: 14320, removed: LANE MARKER
Time: 14385, added: HARD Blue
Time: 14385, added: EXPERT Orange
Time: 14385, added: Force HOPO On
Time: 14385, added: LANE MARKER
Time: 14385, added: EXPERT Green
Time: 14400, removed: HARD Blue
Time: 14400, removed: EXPERT Orange
Time: 14400, removed: Force HOPO On
Time: 14400, removed: EXPERT Green
Time: 15280, removed: LANE MARKER
Time: 15345, added: HARD Blue
Time: 15345, added: EXPERT Orange
Time: 15345, added: Force HOPO On
Time: 15345, added: LANE MARKER
Time: 15345, added: EXPERT Green
Time: 15360, removed: HARD Blue
Time: 15360, removed: EXPERT Orange
Time: 15360, removed: Force HOPO On
Time: 15360, removed: EXPERT Green
Time: 18160, removed: LANE MARKER
Time: 18225, added: HARD Blue
Time: 18225, added: EXPERT Orange
Time: 18225, added: Force HOPO On
Time: 18225, added: LANE MARKER
Time: 18225, added: EXPERT Green
Time: 18240, removed: HARD Blue
Time: 18240, removed: EXPERT Orange
Time: 18240, removed: Force HOPO On
Time: 18240, removed: EXPERT Green
Time: 19120, removed: LANE MARKER
Time: 19185, added: OVERDRIVE
Time: 19185, added: HARD Blue
Time: 19185, added: EXPERT Orange
Time: 19185, added: Force HOPO On
Time: 19185, added: LANE MARKER
Time: 19185, added: EXPERT Green
Time: 19200, removed: OVERDRIVE
Time: 19200, removed: HARD Blue
Time: 19200, removed: EXPERT Orange
Time: 19200, removed: Force HOPO On
Time: 19200, removed: EXPERT Green
Time: 22000, removed: LANE MARKER
Time: 22065, added: HARD Blue
Time: 22065, added: EXPERT Orange
Time: 22065, added: Force HOPO On
Time: 22065, added: LANE MARKER
Time: 22065, added: EXPERT Green
Time: 22080, removed: HARD Blue
Time: 22080, removed: EXPERT Orange
Time: 22080, removed: Force HOPO On
Time: 22080, removed: EXPERT Green
Time: 22960, removed: LANE MARKER
Time: 23025, added: HARD Blue
Time: 23025, added: EXPERT Orange
Time: 23025, added: Force HOPO On
Time: 23025, added: LANE MARKER
Time: 23025, added: EXPERT Green
Time: 23040, removed: HARD Blue
Time: 23040, removed: EXPERT Orange
Time: 23040, removed: Force HOPO On
Time: 23040, removed: EXPERT Green
Time: 25840, removed: LANE MARKER
Time: 25905, added: HARD Blue
Time: 25905, added: EXPERT Orange
Time: 25905, added: Force HOPO On
Time: 25905, added: LANE MARKER
Time: 25905, added: EXPERT Green
Time: 25920, removed: HARD Blue
Time: 25920, removed: EXPERT Orange
Time: 25920, removed: Force HOPO On
Time: 25920, removed: EXPERT Green
Time: 26800, removed: LANE MARKER
Time: 26865, added: HARD Blue
Time: 26865, added: EXPERT Orange
Time: 26865, added: Force HOPO On
Time: 26865, added: LANE MARKER
Time: 26865, added: EXPERT Green
Time: 26880, removed: HARD Blue
Time: 26880, removed: EXPERT Orange
Time: 26880, removed: Force HOPO On
Time: 26880, removed: EXPERT Green
Time: 33520, removed: LANE MARKER
Time: 33585, added: HARD Blue
Time: 33585, added: EXPERT Orange
Time: 33585, added: Force HOPO On
Time: 33585, added: LANE MARKER
Time: 33585, added: EXPERT Green
Time: 33600, removed: HARD Blue
Time: 33600, removed: EXPERT Orange
Time: 33600, removed: Force HOPO On
Time: 33600, removed: EXPERT Green
Time: 34480, removed: LANE MARKER
Time: 34545, added: HARD Blue
Time: 34545, added: EXPERT Orange
Time: 34545, added: Force HOPO On
Time: 34545, added: LANE MARKER
