Differences found in track 'PART DRUMS':
Time: 34400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 35360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 43040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 59360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 67040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 74720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 82400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 128480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 137120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 144800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 152480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 191360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 237920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 249840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 249960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 250920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 251280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 253800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 254760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 255120, added: EXPERT 2xKick, EXPERT 2xKick
