New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 76440, added: EXPERT 2xKick
Time: 76680, added: EXPERT 2xKick
Time: 76920, added: EXPERT 2xKick
Time: 77160, added: EXPERT 2xKick
Time: 77400, added: EXPERT 2xKick
Time: 77640, added: EXPERT 2xKick
Time: 77880, added: EXPERT 2xKick
Time: 78120, added: EXPERT 2xKick
Time: 78360, added: EXPERT 2xKick
Time: 78600, added: EXPERT 2xKick
Time: 78840, added: EXPERT 2xKick
Time: 79080, added: EXPERT 2xKick
Time: 79320, added: EXPERT 2xKick
Time: 79560, added: EXPERT 2xKick
Time: 79800, added: EXPERT 2xKick
Time: 80040, added: EXPERT 2xKick
Time: 80280, added: EXPERT 2xKick
Time: 80520, added: EXPERT 2xKick
Time: 80760, added: EXPERT 2xKick
Time: 81000, added: EXPERT 2xKick
Time: 81240, added: EXPERT 2xKick
Time: 81480, added: EXPERT 2xKick
Time: 81720, added: EXPERT 2xKick
Time: 81960, added: EXPERT 2xKick
Time: 82200, added: EXPERT 2xKick
Time: 82440, added: EXPERT 2xKick
Time: 82680, added: EXPERT 2xKick
Time: 82920, added: EXPERT 2xKick
Time: 83160, added: EXPERT 2xKick
Time: 83400, added: EXPERT 2xKick
Time: 83640, added: EXPERT 2xKick
Time: 83880, added: EXPERT 2xKick
Time: 84120, added: EXPERT 2xKick
Time: 84360, added: EXPERT 2xKick
Time: 84600, added: EXPERT 2xKick
Time: 84840, added: EXPERT 2xKick
Time: 85080, added: EXPERT 2xKick
Time: 85320, added: EXPERT 2xKick
Time: 85560, added: EXPERT 2xKick
Time: 85800, added: EXPERT 2xKick
Time: 86040, added: EXPERT 2xKick
Time: 86280, added: EXPERT 2xKick
Time: 86520, added: EXPERT 2xKick
Time: 86760, added: EXPERT 2xKick
Time: 87000, added: EXPERT 2xKick
Time: 87240, added: EXPERT 2xKick
Time: 87480, added: EXPERT 2xKick
Time: 87720, added: EXPERT 2xKick
Time: 87960, added: EXPERT 2xKick
Time: 88200, added: EXPERT 2xKick
Time: 88440, added: EXPERT 2xKick
Time: 88680, added: EXPERT 2xKick
Time: 88920, added: EXPERT 2xKick
Time: 89160, added: EXPERT 2xKick
Time: 89400, added: EXPERT 2xKick
Time: 89640, added: EXPERT 2xKick
Time: 89880, added: EXPERT 2xKick
Time: 90120, added: EXPERT 2xKick
Time: 90360, added: EXPERT 2xKick
Time: 90600, added: EXPERT 2xKick
Time: 90840, added: EXPERT 2xKick
Time: 91080, added: EXPERT 2xKick
Time: 91320, added: EXPERT 2xKick
Time: 91560, added: EXPERT 2xKick
Time: 91800, added: EXPERT 2xKick
Time: 92040, added: EXPERT 2xKick
Time: 92280, added: EXPERT 2xKick
Time: 92520, added: EXPERT 2xKick
Time: 92760, added: EXPERT 2xKick
Time: 93000, added: EXPERT 2xKick
Time: 93240, added: EXPERT 2xKick
Time: 93480, added: EXPERT 2xKick
Time: 93720, added: EXPERT 2xKick
Time: 93960, added: EXPERT 2xKick
Time: 94200, added: EXPERT 2xKick
Time: 94440, added: EXPERT 2xKick
Time: 94680, added: EXPERT 2xKick
Time: 94920, added: EXPERT 2xKick
Time: 95160, added: EXPERT 2xKick
Time: 95400, added: EXPERT 2xKick
Time: 95640, added: EXPERT 2xKick
Time: 95880, added: EXPERT 2xKick
Time: 96120, added: EXPERT 2xKick
Time: 96360, added: EXPERT 2xKick
Time: 96600, added: EXPERT 2xKick
Time: 96840, added: EXPERT 2xKick
Time: 97080, added: EXPERT 2xKick
Time: 97320, added: EXPERT 2xKick
Time: 97560, added: EXPERT 2xKick
Time: 97800, added: EXPERT 2xKick
Time: 98040, added: EXPERT 2xKick
Time: 98280, added: EXPERT 2xKick
Time: 98520, added: EXPERT 2xKick
Time: 98760, added: EXPERT 2xKick
Time: 99000, added: EXPERT 2xKick
Time: 99240, added: EXPERT 2xKick
Time: 99480, added: EXPERT 2xKick
Time: 99720, added: EXPERT 2xKick
Time: 99960, added: EXPERT 2xKick
Time: 100200, added: EXPERT 2xKick
Time: 100440, added: EXPERT 2xKick
Time: 100680, added: EXPERT 2xKick
Time: 100920, added: EXPERT 2xKick
Time: 101160, added: EXPERT 2xKick
Time: 101400, added: EXPERT 2xKick
Time: 101640, added: EXPERT 2xKick
Time: 101880, added: EXPERT 2xKick
Time: 102120, added: EXPERT 2xKick
Time: 102360, added: EXPERT 2xKick
Time: 102600, added: EXPERT 2xKick
Time: 102840, added: EXPERT 2xKick
Time: 103080, added: EXPERT 2xKick
Time: 103320, added: EXPERT 2xKick
Time: 103560, added: EXPERT 2xKick
Time: 103800, added: EXPERT 2xKick
Time: 104040, added: EXPERT 2xKick
Time: 104280, added: EXPERT 2xKick
Time: 104520, added: EXPERT 2xKick
Time: 104760, added: EXPERT 2xKick
Time: 105000, added: EXPERT 2xKick
Time: 105240, added: EXPERT 2xKick
Time: 105480, added: EXPERT 2xKick
Time: 105720, added: EXPERT 2xKick
Time: 105960, added: EXPERT 2xKick
Time: 106200, added: EXPERT 2xKick
Time: 106440, added: EXPERT 2xKick
Time: 106680, added: EXPERT 2xKick
Time: 106920, added: EXPERT 2xKick
Time: 122520, added: EXPERT 2xKick
Time: 122760, added: EXPERT 2xKick
Time: 123000, added: EXPERT 2xKick
Time: 123240, added: EXPERT 2xKick
Time: 123480, added: EXPERT 2xKick
Time: 123720, added: EXPERT 2xKick
Time: 123960, added: EXPERT 2xKick
Time: 124200, added: EXPERT 2xKick
Time: 124440, added: EXPERT 2xKick
Time: 124680, added: EXPERT 2xKick
Time: 124920, added: EXPERT 2xKick
Time: 125160, added: EXPERT 2xKick
Time: 125400, added: EXPERT 2xKick
Time: 125640, added: EXPERT 2xKick
Time: 125880, added: EXPERT 2xKick
Time: 126120, added: EXPERT 2xKick
Time: 126360, added: EXPERT 2xKick
Time: 126600, added: EXPERT 2xKick
Time: 126840, added: EXPERT 2xKick
Time: 127080, added: EXPERT 2xKick
Time: 127320, added: EXPERT 2xKick
Time: 127560, added: EXPERT 2xKick
Time: 127800, added: EXPERT 2xKick
Time: 128040, added: EXPERT 2xKick
Time: 128280, added: EXPERT 2xKick
Time: 128520, added: EXPERT 2xKick
Time: 128760, added: EXPERT 2xKick
Time: 129000, added: EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 129960, added: EXPERT 2xKick
Time: 130200, added: EXPERT 2xKick
Time: 130440, added: EXPERT 2xKick
Time: 130680, added: EXPERT 2xKick
Time: 130920, added: EXPERT 2xKick
Time: 131160, added: EXPERT 2xKick
Time: 131400, added: EXPERT 2xKick
Time: 131640, added: EXPERT 2xKick
Time: 131880, added: EXPERT 2xKick
Time: 132120, added: EXPERT 2xKick
Time: 132360, added: EXPERT 2xKick
Time: 132600, added: EXPERT 2xKick
Time: 132840, added: EXPERT 2xKick
Time: 133080, added: EXPERT 2xKick
Time: 133320, added: EXPERT 2xKick
Time: 133560, added: EXPERT 2xKick
Time: 133800, added: EXPERT 2xKick
Time: 134040, added: EXPERT 2xKick
Time: 134280, added: EXPERT 2xKick
Time: 134520, added: EXPERT 2xKick
Time: 134760, added: EXPERT 2xKick
Time: 135000, added: EXPERT 2xKick
Time: 135240, added: EXPERT 2xKick
Time: 135480, added: EXPERT 2xKick
Time: 135720, added: EXPERT 2xKick
Time: 135960, added: EXPERT 2xKick
Time: 136200, added: EXPERT 2xKick
Time: 136440, added: EXPERT 2xKick
Time: 136680, added: EXPERT 2xKick
Time: 136920, added: EXPERT 2xKick
Time: 137160, added: EXPERT 2xKick
Time: 137400, added: EXPERT 2xKick
Time: 137640, added: EXPERT 2xKick
Time: 137880, added: EXPERT 2xKick
Time: 138120, added: EXPERT 2xKick
Time: 138360, added: EXPERT 2xKick
Time: 138600, added: EXPERT 2xKick
Time: 138840, added: EXPERT 2xKick
Time: 139080, added: EXPERT 2xKick
Time: 139320, added: EXPERT 2xKick
Time: 139560, added: EXPERT 2xKick
Time: 139800, added: EXPERT 2xKick
Time: 140040, added: EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick
Time: 140520, added: EXPERT 2xKick
Time: 140760, added: EXPERT 2xKick
Time: 141000, added: EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick
Time: 141480, added: EXPERT 2xKick
Time: 141720, added: EXPERT 2xKick
Time: 141960, added: EXPERT 2xKick
Time: 142200, added: EXPERT 2xKick
Time: 142440, added: EXPERT 2xKick
Time: 142680, added: EXPERT 2xKick
Time: 142920, added: EXPERT 2xKick
Time: 143160, added: EXPERT 2xKick
Time: 143400, added: EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick
Time: 143880, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 144360, added: EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick
Time: 144840, added: EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick
Time: 145320, added: EXPERT 2xKick
Time: 145560, added: EXPERT 2xKick
Time: 145800, added: EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick
Time: 146280, added: EXPERT 2xKick
Time: 146520, added: EXPERT 2xKick
Time: 146760, added: EXPERT 2xKick
Time: 147000, added: EXPERT 2xKick
Time: 147240, added: EXPERT 2xKick
