New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 72120, added: EXPERT 2xKick
Time: 72360, added: EXPERT 2xKick
Time: 72600, added: EXPERT 2xKick
Time: 72840, added: EXPERT 2xKick
Time: 75120, added: EXPERT 2xKick
Time: 75260, added: EXPERT Kick
Time: 75260, added: EXPERT 2xKick
Time: 75280, removed: MEDIUM Yellow
Time: 75280, removed: EXPERT Kick
Time: 75280, removed: HARD Red
Time: 75280, removed: HARD Yellow
Time: 75280, removed: EXPERT Red
Time: 75280, removed: EXPERT Yellow
Time: 75280, removed: EASY Yellow
Time: 75280, removed: EASY Red
Time: 75280, removed: MEDIUM Red
Time: 75360, added: MEDIUM Yellow
Time: 75360, added: HARD Red
Time: 75360, added: HARD Yellow
Time: 75360, added: EXPERT Red
Time: 75360, added: EXPERT Yellow
Time: 75360, added: EASY Yellow
Time: 75360, added: EASY Red
Time: 75360, added: MEDIUM Red
Time: 75420, removed: MEDIUM Yellow
Time: 75420, removed: HARD Red
Time: 75420, removed: HARD Yellow
Time: 75420, removed: EXPERT Red
Time: 75420, removed: EXPERT Yellow
Time: 75420, removed: EASY Yellow
Time: 75420, removed: EASY Red
Time: 75420, removed: MEDIUM Red
Time: 80760, added: EXPERT 2xKick
Time: 82680, added: EXPERT 2xKick
Time: 84600, added: EXPERT 2xKick
Time: 86520, added: EXPERT 2xKick
Time: 88433, added: EXPERT 2xKick
Time: 90360, added: EXPERT 2xKick
Time: 92280, added: EXPERT 2xKick
Time: 94200, added: EXPERT 2xKick
Time: 96120, added: EXPERT 2xKick
Time: 98040, added: EXPERT 2xKick
Time: 99960, added: EXPERT 2xKick
Time: 101880, added: EXPERT 2xKick
Time: 103800, added: EXPERT 2xKick
Time: 105720, added: EXPERT 2xKick
Time: 107400, added: EXPERT 2xKick
Time: 107520, added: EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick
Time: 120360, added: EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick
Time: 123200, added: EXPERT 2xKick
Time: 123340, added: MEDIUM Yellow
Time: 123340, added: HARD Red
Time: 123340, added: HARD Yellow
Time: 123340, added: EXPERT Red
Time: 123340, added: EXPERT Yellow
Time: 123340, added: EASY Yellow
Time: 123340, added: EASY Red
Time: 123340, added: MEDIUM Red
Time: 123340, added: EXPERT 2xKick
Time: 123360, removed: MEDIUM Yellow
Time: 123360, removed: HARD Red
Time: 123360, removed: HARD Yellow
Time: 123360, removed: EXPERT Red
Time: 123360, removed: EXPERT Yellow
Time: 123360, removed: EASY Yellow
Time: 123360, removed: EASY Red
Time: 123360, removed: MEDIUM Red
Time: 127040, added: EXPERT 2xKick
