New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART BASS':
Time: 11040, removed: Unknown Note (105), Unknown Note (106)
Time: 19198, removed: Unknown Note (106)
Time: 23038, removed: Unknown Note (105), Unknown Note (106)
Time: 26880, removed: Unknown Note (105)
Time: 30718, removed: Unknown Note (105)
Time: 34558, removed: Unknown Note (105), Unknown Note (106)
Time: 38400, removed: Unknown Note (106)
Time: 42238, removed: Unknown Note (106)
Time: 46078, removed: Unknown Note (105), Unknown Note (106)
Time: 49920, removed: Unknown Note (105)
Time: 53758, removed: Unknown Note (105)
Time: 57598, removed: Unknown Note (105), Unknown Note (106)
Time: 61440, removed: Unknown Note (106)
Time: 71038, removed: HARD Red
Time: 71038, removed: EXPERT Red
Time: 71038, removed: EASY Green
Time: 71038, removed: MEDIUM Red
Time: 71038, removed: Unknown Note (106)
Time: 71040, added: HARD Red
Time: 71040, added: EXPERT Red
Time: 71040, added: MEDIUM Red
Time: 71040, added: EASY Green
Time: 74880, removed: Unknown Note (106)
Time: 78718, removed: HARD Red
Time: 78718, removed: EXPERT Red
Time: 78718, removed: EASY Green
Time: 78718, removed: Unknown Note (105)
Time: 78718, removed: MEDIUM Red
Time: 78720, added: HARD Red
Time: 78720, added: EXPERT Red
Time: 78720, added: MEDIUM Red
Time: 78720, added: EASY Green
Time: 82560, removed: Unknown Note (105)
Time: 86398, removed: Unknown Note (106)
Time: 90240, removed: Unknown Note (106)
Time: 94078, removed: HARD Red
Time: 94078, removed: EXPERT Red
Time: 94078, removed: EASY Green
Time: 94078, removed: Unknown Note (105)
Time: 94078, removed: MEDIUM Red
Time: 94080, added: HARD Red
Time: 94080, added: EXPERT Red
Time: 94080, added: MEDIUM Red
Time: 94080, added: EASY Green
Time: 97920, removed: Unknown Note (105)
Time: 103678, removed: Unknown Note (105)
Time: 107520, removed: Unknown Note (105)
Time: 115198, removed: Unknown Note (106)
Time: 119040, removed: Unknown Note (106)
Time: 122878, removed: Unknown Note (106)
Time: 126720, removed: Unknown Note (106)
Time: 132478, removed: HARD Red
Time: 132478, removed: EXPERT Red
Time: 132478, removed: EASY Green
Time: 132478, removed: Unknown Note (105)
Time: 132478, removed: MEDIUM Red
Time: 132480, added: HARD Red
Time: 132480, added: EXPERT Red
Time: 132480, added: MEDIUM Red
Time: 132480, added: EASY Green
Time: 136320, removed: Unknown Note (105)
Time: 140158, removed: Unknown Note (105)
Time: 144000, removed: Unknown Note (105)
Time: 147838, removed: HARD Red
Time: 147838, removed: EXPERT Red
Time: 147838, removed: EASY Green
Time: 147838, removed: MEDIUM Red
Time: 147838, removed: Unknown Note (106)
Time: 147840, added: HARD Red
Time: 147840, added: EXPERT Red
Time: 147840, added: MEDIUM Red
Time: 147840, added: EASY Green
Time: 151680, removed: Unknown Note (106)
Time: 155518, removed: HARD Red
Time: 155518, removed: EXPERT Red
Time: 155518, removed: EASY Green
Time: 155518, removed: MEDIUM Red
Time: 155518, removed: Unknown Note (106)
Time: 155520, added: HARD Red
Time: 155520, added: EXPERT Red
Time: 155520, added: MEDIUM Red
Time: 155520, added: EASY Green
Time: 159360, removed: Unknown Note (106)
Time: 167038, removed: Unknown Note (106)
Time: 170878, removed: Unknown Note (105), Unknown Note (106)
Time: 174720, removed: Unknown Note (105)
Time: 178558, removed: MEDIUM Blue
Time: 178558, removed: HARD Blue
Time: 178558, removed: EXPERT Blue
Time: 178558, removed: Unknown Note (105)
Time: 178558, removed: EASY Yellow
Time: 178558, removed: Unknown Note (106)
Time: 178560, added: EXPERT Blue
Time: 178560, added: MEDIUM Blue
Time: 178560, added: EASY Yellow
Time: 178560, added: HARD Blue
Time: 182400, removed: Unknown Note (105)
Time: 186238, removed: HARD Red
Time: 186238, removed: EXPERT Red
Time: 186238, removed: EASY Green
Time: 186238, removed: Unknown Note (105)
Time: 186238, removed: MEDIUM Red
Time: 186240, added: HARD Red
Time: 186240, added: EXPERT Red
Time: 186240, added: MEDIUM Red
Time: 186240, added: EASY Green
Time: 190078, removed: MEDIUM Yellow
Time: 190078, removed: EXPERT Green
Time: 190078, removed: OVERDRIVE
Time: 190078, removed: EASY Red
Time: 190078, removed: Unknown Note (105)
Time: 190078, removed: Unknown Note (106)
Time: 190078, removed: HARD Green
Time: 190080, added: MEDIUM Yellow
Time: 190080, added: EXPERT Green
Time: 190080, added: EASY Red
Time: 190080, added: OVERDRIVE
Time: 190080, added: HARD Green
Time: 194160, removed: Unknown Note (106)
Time: 201838, removed: HARD Red
Time: 201838, removed: EXPERT Red
Time: 201838, removed: EASY Green
Time: 201838, removed: MEDIUM Red
Time: 201838, removed: Unknown Note (106)
Time: 201840, added: HARD Red
Time: 201840, added: EXPERT Red
Time: 201840, added: MEDIUM Red
Time: 201840, added: EASY Green
Time: 205440, removed: Unknown Note (106)
Time: 209518, removed: MEDIUM Blue
Time: 209518, removed: HARD Blue
Time: 209518, removed: EXPERT Blue
Time: 209518, removed: EASY Yellow
Time: 209518, removed: Unknown Note (106)
Time: 209520, added: EXPERT Blue
Time: 209520, added: MEDIUM Blue
Time: 209520, added: EASY Yellow
Time: 209520, added: HARD Blue
Time: 213360, removed: Unknown Note (106)
Time: 216958, removed: Unknown Note (105)
Time: 220800, removed: Unknown Note (105)
Time: 224638, removed: HARD Red
Time: 224638, removed: EXPERT Red
Time: 224638, removed: EASY Green
Time: 224638, removed: MEDIUM Red
Time: 224638, removed: Unknown Note (106)
Time: 224640, added: HARD Red
Time: 224640, added: EXPERT Red
Time: 224640, added: MEDIUM Red
Time: 224640, added: EASY Green
Time: 228480, removed: Unknown Note (106)
Time: 232318, removed: HARD Red
Time: 232318, removed: EXPERT Red
Time: 232318, removed: EASY Green
Time: 232318, removed: Unknown Note (105)
Time: 232318, removed: MEDIUM Red
Time: 232320, added: HARD Red
Time: 232320, added: EXPERT Red
Time: 232320, added: MEDIUM Red
Time: 232320, added: EASY Green
Time: 236160, removed: Unknown Note (105)
Time: 239998, removed: HARD Red
Time: 239998, removed: EXPERT Red
Time: 239998, removed: EASY Green
Time: 239998, removed: MEDIUM Red
Time: 239998, removed: Unknown Note (106)
Time: 240000, added: HARD Red
Time: 240000, added: EXPERT Red
Time: 240000, added: MEDIUM Red
Time: 240000, added: EASY Green
Time: 243840, removed: Unknown Note (106)
Time: 247678, removed: HARD Red
Time: 247678, removed: EXPERT Red
Time: 247678, removed: EASY Green
Time: 247678, removed: Unknown Note (105)
Time: 247678, removed: MEDIUM Red
Time: 247680, added: HARD Red
Time: 247680, added: EXPERT Red
Time: 247680, added: MEDIUM Red
Time: 247680, added: EASY Green
Time: 251520, removed: Unknown Note (105)
Time: 255358, removed: Unknown Note (106)
Time: 259200, removed: Unknown Note (106)
Time: 274558, removed: Unknown Note (105), Unknown Note (106)
Differences found in track 'PART DRUMS':
Time: 11040, removed: Unknown Note (105), Unknown Note (106)
Time: 13438, removed: MEDIUM Yellow
Time: 13438, removed: HARD Yellow
Time: 13438, removed: EXPERT Yellow
Time: 13438, removed: Unknown Note (106)
Time: 13440, added: MEDIUM Yellow
Time: 13440, added: HARD Yellow
Time: 13440, added: EXPERT Yellow
Time: 15360, removed: Unknown Note (106)
Time: 17278, removed: MEDIUM Yellow
Time: 17278, removed: HARD Yellow
Time: 17278, removed: Unknown Note (105)
Time: 17278, removed: EXPERT Yellow
Time: 17280, added: MEDIUM Yellow
Time: 17280, added: HARD Yellow
Time: 17280, added: EXPERT Yellow
Time: 19200, removed: Unknown Note (105)
Time: 21118, removed: MEDIUM Yellow
Time: 21118, removed: HARD Yellow
Time: 21118, removed: EXPERT Yellow
Time: 21118, removed: Unknown Note (106)
Time: 21120, added: MEDIUM Yellow
Time: 21120, added: HARD Yellow
Time: 21120, added: EXPERT Yellow
Time: 23040, removed: Unknown Note (106)
Time: 24958, removed: Unknown Note (105)
Time: 26880, removed: Unknown Note (105)
Time: 28918, removed: Unknown Note (105)
Time: 32640, removed: Unknown Note (105)
Time: 36718, removed: EXPERT Kick
Time: 36718, removed: EXPERT Blue
Time: 36718, removed: Unknown Note (106)
Time: 36718, removed: HARD Kick
Time: 36720, added: EXPERT Kick
Time: 36720, added: EXPERT Blue
Time: 36720, added: HARD Kick
Time: 40320, removed: Unknown Note (106)
Time: 44278, removed: Unknown Note (105)
Time: 46080, removed: Unknown Note (105)
Time: 48118, removed: Unknown Note (106)
Time: 49920, removed: Unknown Note (106)
Time: 52078, removed: EXPERT Kick
Time: 52078, removed: Unknown Note (105)
Time: 52078, removed: EXPERT Yellow
Time: 52078, removed: HARD Kick
Time: 52080, added: EXPERT Kick
Time: 52080, added: EXPERT Yellow
Time: 52080, added: HARD Kick
Time: 53760, removed: Unknown Note (105)
Time: 55918, removed: EXPERT Kick
Time: 55918, removed: EXPERT Yellow
Time: 55918, removed: Unknown Note (106)
Time: 55918, removed: HARD Kick
Time: 55920, added: EXPERT Kick
Time: 55920, added: EXPERT Yellow
Time: 55920, added: HARD Kick
Time: 57600, removed: Unknown Note (106)
Time: 59758, removed: EXPERT Kick
Time: 59758, removed: Unknown Note (105)
Time: 59758, removed: HARD Kick
Time: 59760, added: EXPERT Kick
Time: 59760, added: HARD Kick
Time: 61440, removed: Unknown Note (105)
Time: 61558, removed: Unknown Note (106)
Time: 63360, removed: Unknown Note (106)
Time: 67438, removed: EXPERT Kick
Time: 67438, removed: EXPERT Blue
Time: 67438, removed: Unknown Note (106)
Time: 67438, removed: HARD Kick
