New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_BASS_22'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART DRUMS':
Time: 114360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 125160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 126360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 127800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 129000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 131640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 134040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 135480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 138360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 139320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 141480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 141720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 143160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 143400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 143880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 144360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 144840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 145320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 145560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 145800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 156120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 161160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 167640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 168840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 178880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 180800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 182720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 192360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 197880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 203880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 207720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 211560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 215400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 216560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 226320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 226680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 226920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 227160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 227400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 227640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 227880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 228120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 228360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 228600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 228840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 229080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 229320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 229560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 229800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 230040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 230280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 230520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 230760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 231000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 231240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 231480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 231720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 231960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 232200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 232440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 232680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 232920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 233160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 233400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 243480, added: EXPERT 2xKick, EXPERT 2xKick
