Differences found in track 'PART DRUMS':
Time: 109320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 109560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 109800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 110040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 110280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 110520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 110760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 164040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 164280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 164520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 164760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 165960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 166680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 166920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 171000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 171240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 171480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 171720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 171960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 172200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 172440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 172680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 172920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 173160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 173400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 173640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 173880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 174120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 174360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 174600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 174840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 175080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 175320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 175800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 176280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 176520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 201720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 201960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 202200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 202440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 202680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 202920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 203160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 203400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 203640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 203880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 204120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 204360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 204600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 204840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 205080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 205320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 205560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 205800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 206040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 206280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 206520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 206760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 207000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 207240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 209160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 221880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 222600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 224760, added: EXPERT 2xKick, EXPERT 2xKick
