New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART DRUMS':
Time: 3960, added: EXPERT 2xKick
Time: 4080, added: EXPERT 2xKick
Time: 4200, added: EXPERT 2xKick
Time: 4320, added: EXPERT 2xKick
Time: 4440, added: EXPERT 2xKick
Time: 4560, added: EXPERT 2xKick
Time: 4680, added: EXPERT 2xKick
Time: 4800, added: EXPERT 2xKick
Time: 4920, added: EXPERT 2xKick
Time: 5040, added: EXPERT 2xKick
Time: 5160, added: EXPERT 2xKick
Time: 5280, added: EXPERT 2xKick
Time: 5400, added: EXPERT 2xKick
Time: 5520, added: EXPERT 2xKick
Time: 5640, added: EXPERT 2xKick
Time: 5760, added: EXPERT 2xKick
Time: 5880, added: EXPERT 2xKick
Time: 6000, added: EXPERT 2xKick
Time: 6120, added: EXPERT 2xKick
Time: 6240, added: EXPERT 2xKick
Time: 6360, added: EXPERT 2xKick
Time: 6480, added: EXPERT 2xKick
Time: 6600, added: EXPERT 2xKick
Time: 6720, added: EXPERT 2xKick
Time: 6840, added: EXPERT 2xKick
Time: 6960, added: EXPERT 2xKick
Time: 7080, added: EXPERT 2xKick
Time: 7200, added: EXPERT 2xKick
Time: 7320, added: EXPERT 2xKick
Time: 7440, added: EXPERT 2xKick
Time: 7560, added: EXPERT 2xKick
Time: 7680, added: EXPERT 2xKick
Time: 7800, added: EXPERT 2xKick
Time: 7920, added: EXPERT 2xKick
Time: 8040, added: EXPERT 2xKick
Time: 8160, added: EXPERT 2xKick
Time: 8280, added: EXPERT 2xKick
Time: 8400, added: EXPERT 2xKick
Time: 8520, added: EXPERT 2xKick
Time: 8640, added: EXPERT 2xKick
Time: 8760, added: EXPERT 2xKick
Time: 8880, added: EXPERT 2xKick
Time: 9000, added: EXPERT 2xKick
Time: 9120, added: EXPERT 2xKick
Time: 9240, added: EXPERT 2xKick
Time: 9360, added: EXPERT 2xKick
