New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_BASS_22'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 11520, removed: Unknown Note (105), Unknown Note (106)
Time: 13080, added: EXPERT 2xKick
Time: 13200, added: EXPERT 2xKick
Time: 13320, added: EXPERT 2xKick
Time: 13440, removed: Unknown Note (106), added: EXPERT 2xKick
Time: 15000, added: EXPERT 2xKick
Time: 15120, added: EXPERT 2xKick
Time: 15240, added: EXPERT 2xKick
Time: 15360, removed: Unknown Note (106), added: EXPERT 2xKick
Time: 16920, added: EXPERT 2xKick
Time: 17040, added: EXPERT 2xKick
Time: 17160, added: EXPERT 2xKick
Time: 17280, removed: Unknown Note (105), added: EXPERT 2xKick
Time: 18840, added: EXPERT 2xKick
Time: 18960, added: EXPERT 2xKick
Time: 19080, added: EXPERT 2xKick
Time: 19200, removed: Unknown Note (105), added: EXPERT 2xKick
Time: 19320, added: EXPERT 2xKick
Time: 19560, added: EXPERT 2xKick
Time: 19800, added: EXPERT 2xKick
Time: 20040, added: EXPERT 2xKick
Time: 20280, added: EXPERT 2xKick
Time: 20520, added: EXPERT 2xKick
Time: 20760, added: EXPERT 2xKick
Time: 21000, added: EXPERT 2xKick
Time: 21240, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21720, added: EXPERT 2xKick
Time: 21960, added: EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick
Time: 22440, added: EXPERT 2xKick
Time: 23040, removed: Unknown Note (106)
Time: 24600, added: EXPERT 2xKick
Time: 24720, added: EXPERT 2xKick
Time: 24840, added: EXPERT 2xKick
Time: 24960, removed: Unknown Note (106), added: EXPERT 2xKick
Time: 26520, added: EXPERT 2xKick
Time: 26640, added: EXPERT 2xKick
Time: 26760, added: EXPERT 2xKick
Time: 26880, removed: Unknown Note (105), added: EXPERT 2xKick
Time: 28440, added: EXPERT 2xKick
Time: 28560, added: EXPERT 2xKick
Time: 28680, added: EXPERT 2xKick
Time: 28800, removed: Unknown Note (105), added: EXPERT 2xKick
Time: 30720, removed: Unknown Note (106)
Time: 30840, added: EXPERT 2xKick
Time: 30960, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31200, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 31440, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31680, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 31920, added: EXPERT 2xKick
Time: 32040, added: EXPERT 2xKick
Time: 32160, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 32400, added: EXPERT 2xKick
Time: 32520, added: EXPERT 2xKick
Time: 32640, removed: Unknown Note (105), Unknown Note (106), added: EXPERT 2xKick
Time: 32760, added: EXPERT 2xKick
Time: 32880, added: EXPERT 2xKick
Time: 33000, added: EXPERT 2xKick
Time: 33120, added: EXPERT 2xKick
Time: 33240, added: EXPERT 2xKick
Time: 33360, added: EXPERT 2xKick
Time: 33480, added: EXPERT 2xKick
Time: 33600, added: EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick
Time: 33840, added: EXPERT 2xKick
Time: 33960, added: EXPERT 2xKick
Time: 34080, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 34320, added: EXPERT 2xKick
Time: 34440, added: EXPERT 2xKick
Time: 34560, removed: Unknown Note (105), added: EXPERT 2xKick
Time: 39300, removed: DRUM FILL (use all 5)
Time: 39300, removed: EASY Red
Time: 39300, removed: DRUM FILL
Time: 39300, removed: DRUM FILL
Time: 39300, removed: EASY Yellow
Time: 39300, removed: Unknown Note (106)
Time: 39300, removed: MEDIUM Red
Time: 39300, removed: DRUM FILL
Time: 39300, removed: MEDIUM Yellow
Time: 39300, removed: HARD Red
Time: 39300, removed: HARD Yellow
Time: 39300, removed: EXPERT Red
Time: 39300, removed: DRUM FILL
Time: 39300, removed: EXPERT Yellow
Time: 39360, added: DRUM FILL (use all 5)
Time: 39360, added: EASY Red
Time: 39360, added: DRUM FILL
Time: 39360, added: DRUM FILL
Time: 39360, added: EASY Yellow
Time: 39360, added: MEDIUM Red
Time: 39360, added: DRUM FILL
Time: 39360, added: MEDIUM Yellow
Time: 39360, added: HARD Red
Time: 39360, added: HARD Yellow
Time: 39360, added: EXPERT Red
Time: 39360, added: DRUM FILL
Time: 39360, added: EXPERT Yellow
Time: 39420, removed: EASY Red
Time: 39420, removed: EASY Yellow
Time: 39420, removed: MEDIUM Red
Time: 39420, removed: HARD Kick
Time: 39420, removed: HARD Red
Time: 39420, removed: MEDIUM Yellow
Time: 39420, removed: EXPERT Kick
Time: 39420, removed: HARD Yellow
Time: 39420, removed: EXPERT Red
Time: 39420, removed: EXPERT Yellow
Time: 39480, added: HARD Kick
Time: 39480, added: EXPERT Kick
Time: 39540, removed: HARD Yellow
Time: 39540, removed: EXPERT Yellow
Time: 39540, removed: EASY Yellow
Time: 39540, removed: HARD Kick
Time: 39540, removed: MEDIUM Yellow
Time: 39540, removed: EXPERT Kick
Time: 39600, added: HARD Yellow
Time: 39600, added: EASY Yellow
Time: 39600, added: EXPERT Yellow
Time: 39600, added: MEDIUM Yellow
Time: 39660, removed: HARD Yellow
Time: 39660, removed: EXPERT Yellow
Time: 39660, removed: EASY Yellow
Time: 39660, removed: MEDIUM Yellow
Time: 39660, removed: EXPERT Kick
Time: 39720, added: EXPERT Kick
Time: 39780, removed: HARD Yellow
Time: 39780, removed: EXPERT Yellow
Time: 39780, removed: EASY Yellow
Time: 39780, removed: MEDIUM Yellow
Time: 39780, removed: EXPERT Kick
Time: 39840, added: HARD Yellow
Time: 39840, added: EASY Yellow
Time: 39840, added: EXPERT Yellow
Time: 39840, added: MEDIUM Yellow
Time: 39900, removed: HARD Yellow
Time: 39900, removed: EXPERT Yellow
Time: 39900, removed: EASY Yellow
Time: 39900, removed: HARD Kick
Time: 39900, removed: MEDIUM Yellow
Time: 39900, removed: EXPERT Kick
Time: 39960, added: HARD Kick
Time: 39960, added: EXPERT Kick
Time: 40020, removed: EASY Red
Time: 40020, removed: EASY Yellow
Time: 40020, removed: HARD Kick
Time: 40020, removed: MEDIUM Red
Time: 40020, removed: MEDIUM Yellow
Time: 40020, removed: EXPERT Kick
Time: 40020, removed: HARD Red
Time: 40020, removed: HARD Yellow
Time: 40020, removed: EXPERT Red
Time: 40020, removed: EXPERT Yellow
Time: 40080, added: EASY Red
Time: 40080, added: EASY Yellow
Time: 40080, added: MEDIUM Red
Time: 40080, added: HARD Red
Time: 40080, added: MEDIUM Yellow
Time: 40080, added: HARD Yellow
Time: 40080, added: EXPERT Red
Time: 40080, added: EXPERT Yellow
Time: 40140, removed: EASY Red
Time: 40140, removed: EASY Yellow
Time: 40140, removed: MEDIUM Red
Time: 40140, removed: HARD Red
Time: 40140, removed: MEDIUM Yellow
Time: 40140, removed: HARD Yellow
Time: 40140, removed: EXPERT Red
Time: 40140, removed: EXPERT Yellow
Time: 40560, removed: Unknown Note (106)
Time: 41760, removed: Unknown Note (105)
Time: 42960, removed: Unknown Note (105)
Time: 45600, removed: Unknown Note (106)
Time: 48000, removed: Unknown Note (106)
Time: 50400, removed: Unknown Note (105)
Time: 52800, removed: Unknown Note (105)
Time: 54240, removed: Unknown Note (106)
Time: 57840, removed: Unknown Note (106)
Time: 58800, removed: Unknown Note (105)
Time: 61200, removed: Unknown Note (105)
Time: 63480, removed: Unknown Note (105)
Time: 66960, removed: Unknown Note (105)
Time: 67920, removed: Unknown Note (106)
Time: 70320, removed: Unknown Note (106)
Time: 72480, removed: Unknown Note (106)
Time: 74880, removed: Unknown Note (106)
Time: 77040, removed: Unknown Note (105)
Time: 77640, added: EXPERT 2xKick
Time: 77760, added: EXPERT 2xKick
Time: 78840, added: EXPERT 2xKick
Time: 78960, added: EXPERT 2xKick
Time: 79440, removed: Unknown Note (105)
Time: 80040, added: EXPERT 2xKick
Time: 80160, added: EXPERT 2xKick
Time: 81720, removed: Unknown Note (106)
Time: 83400, added: EXPERT 2xKick
Time: 83520, added: EXPERT 2xKick
Time: 84600, added: EXPERT 2xKick
Time: 84720, added: EXPERT 2xKick
Time: 85200, removed: Unknown Note (106)
Time: 86160, removed: Unknown Note (105)
Time: 86760, added: EXPERT 2xKick
Time: 86880, added: EXPERT 2xKick
Time: 87960, added: EXPERT 2xKick
Time: 88080, added: EXPERT 2xKick
Time: 89160, added: EXPERT 2xKick
Time: 89277, added: EASY Red
Time: 89277, added: HARD Green
Time: 89277, added: EXPERT Blue
Time: 89277, added: MEDIUM Red
Time: 89277, added: EXPERT 2xKick
Time: 89277, added: HARD Red
Time: 89277, added: EXPERT Red
Time: 89277, added: MEDIUM Green
Time: 89280, removed: EXPERT Red
Time: 89280, removed: MEDIUM Green
Time: 89280, removed: EXPERT Blue
Time: 89280, removed: EASY Red
Time: 89280, removed: MEDIUM Red
Time: 89280, removed: HARD Green
Time: 89280, removed: HARD Red
Time: 89760, removed: Unknown Note (105)
Time: 94920, added: EXPERT 2xKick
Time: 95040, added: EXPERT 2xKick
Time: 101040, added: EXPERT 2xKick
Time: 101160, added: EXPERT 2xKick
Time: 101280, added: EXPERT 2xKick
Time: 105040, added: DRUM FILL (use all 5)
Time: 105040, added: EASY Red
Time: 105040, added: HARD Green
Time: 105040, added: DRUM FILL
Time: 105040, added: MEDIUM Red
Time: 105040, added: EXPERT 2xKick
Time: 105040, added: EXPERT Green
Time: 105040, added: HARD Red
Time: 105040, added: DRUM FILL
Time: 105040, added: EASY Green
Time: 105040, added: EXPERT Red
Time: 105040, added: DRUM FILL
Time: 105040, added: MEDIUM Green
Time: 105040, added: DRUM FILL
Time: 105120, removed: DRUM FILL (use all 5)
Time: 105120, removed: EASY Red
Time: 105120, removed: HARD Green
Time: 105120, removed: DRUM FILL
Time: 105120, removed: MEDIUM Red
Time: 105120, removed: EXPERT Green
Time: 105120, removed: DRUM FILL
Time: 105120, removed: HARD Red
Time: 105120, removed: DRUM FILL
Time: 105120, removed: EASY Green
