New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART DRUMS':
Time: 212040, added: EXPERT 2xKick
Time: 212160, added: EXPERT 2xKick
Time: 212280, added: EXPERT 2xKick
Time: 212400, added: EXPERT 2xKick
Time: 213000, added: EXPERT 2xKick
Time: 213120, added: EXPERT 2xKick
Time: 213240, added: EXPERT 2xKick
Time: 213360, added: EXPERT 2xKick
Time: 213960, added: EXPERT 2xKick
Time: 214080, added: EXPERT 2xKick
Time: 214200, added: EXPERT 2xKick
Time: 214320, added: EXPERT 2xKick
Time: 214920, added: EXPERT 2xKick
Time: 215040, added: EXPERT 2xKick
Time: 215160, added: EXPERT 2xKick
Time: 215280, added: EXPERT 2xKick
Time: 215880, added: EXPERT 2xKick
Time: 216000, added: EXPERT 2xKick
Time: 216120, added: EXPERT 2xKick
Time: 216240, added: EXPERT 2xKick
Time: 216840, added: EXPERT 2xKick
Time: 216960, added: EXPERT 2xKick
Time: 217080, added: EXPERT 2xKick
Time: 217200, added: EXPERT 2xKick
Time: 217800, added: EXPERT 2xKick
Time: 217920, added: EXPERT 2xKick
Time: 218040, added: EXPERT 2xKick
Time: 218160, added: EXPERT 2xKick
Time: 218760, added: EXPERT 2xKick
Time: 218880, added: EXPERT 2xKick
Time: 219000, added: EXPERT 2xKick
Time: 219120, added: EXPERT 2xKick
Time: 219720, added: EXPERT 2xKick
Time: 219840, added: EXPERT 2xKick
Time: 219960, added: EXPERT 2xKick
Time: 220080, added: EXPERT 2xKick
Time: 220680, added: EXPERT 2xKick
Time: 220800, added: EXPERT 2xKick
Time: 220920, added: EXPERT 2xKick
Time: 221040, added: EXPERT 2xKick
Time: 221640, added: EXPERT 2xKick
Time: 221760, added: EXPERT 2xKick
Time: 221880, added: EXPERT 2xKick
Time: 222000, added: EXPERT 2xKick
Time: 222600, added: EXPERT 2xKick
Time: 222720, added: EXPERT 2xKick
Time: 222840, added: EXPERT 2xKick
Time: 222960, added: EXPERT 2xKick
Time: 223560, added: EXPERT 2xKick
Time: 223680, added: EXPERT 2xKick
Time: 223800, added: EXPERT 2xKick
Time: 223920, added: EXPERT 2xKick
Time: 224520, added: EXPERT 2xKick
Time: 224640, added: EXPERT 2xKick
Time: 227040, added: EXPERT 2xKick
Time: 227160, added: EXPERT 2xKick
Time: 227280, added: EXPERT 2xKick
Time: 227400, added: EXPERT 2xKick
Time: 227520, added: EXPERT 2xKick
Time: 227640, added: EXPERT 2xKick
Time: 227760, added: EXPERT 2xKick
Time: 227880, added: EXPERT 2xKick
Time: 228000, added: EXPERT 2xKick
Time: 228120, added: EXPERT 2xKick
Time: 228240, added: EXPERT 2xKick
Time: 228360, added: EXPERT 2xKick
Time: 228480, added: EXPERT 2xKick
Time: 228600, added: EXPERT 2xKick
Time: 228720, added: EXPERT 2xKick
Time: 228840, added: EXPERT 2xKick
Time: 228960, added: EXPERT 2xKick
Time: 229080, added: EXPERT 2xKick
Time: 229200, added: EXPERT 2xKick
Time: 229320, added: EXPERT 2xKick
Time: 229440, added: EXPERT 2xKick
Time: 229560, added: EXPERT 2xKick
Time: 229680, added: EXPERT 2xKick
Time: 229800, added: EXPERT 2xKick
Time: 229920, added: EXPERT 2xKick
Time: 230040, added: EXPERT 2xKick
Time: 230160, added: EXPERT 2xKick
Time: 230280, added: EXPERT 2xKick
Time: 230400, added: EXPERT 2xKick
Time: 230520, added: EXPERT 2xKick
Time: 230640, added: EXPERT 2xKick
Time: 230760, added: EXPERT 2xKick
Time: 230880, added: EXPERT 2xKick
Time: 231000, added: EXPERT 2xKick
Time: 231120, added: EXPERT 2xKick
Time: 231240, added: EXPERT 2xKick
Time: 231360, added: EXPERT 2xKick
Time: 231480, added: EXPERT 2xKick
Time: 231600, added: EXPERT 2xKick
Time: 231720, added: EXPERT 2xKick
Time: 231840, added: EXPERT 2xKick
Time: 231960, added: EXPERT 2xKick
Time: 232080, added: EXPERT 2xKick
Time: 232200, added: EXPERT 2xKick
Time: 232320, added: EXPERT 2xKick
Time: 232440, added: EXPERT 2xKick
Time: 232560, added: EXPERT 2xKick
Time: 232680, added: EXPERT 2xKick
Time: 232800, added: EXPERT 2xKick
Time: 232920, added: EXPERT 2xKick
Time: 233040, added: EXPERT 2xKick
Time: 233160, added: EXPERT 2xKick
Time: 233280, added: EXPERT 2xKick
Time: 233400, added: EXPERT 2xKick
Time: 233520, added: EXPERT 2xKick
Time: 233640, added: EXPERT 2xKick
Time: 233760, added: EXPERT 2xKick
Time: 233880, added: EXPERT 2xKick
Time: 234000, added: EXPERT 2xKick
Time: 234120, added: EXPERT 2xKick
Time: 234240, added: EXPERT 2xKick
Time: 234360, added: EXPERT 2xKick
Time: 234480, added: EXPERT 2xKick
Time: 234600, added: EXPERT 2xKick
Time: 234720, added: EXPERT 2xKick
Time: 234840, added: EXPERT 2xKick
Time: 234960, added: EXPERT 2xKick
Time: 235080, added: EXPERT 2xKick
Time: 235200, added: EXPERT 2xKick
Time: 235320, added: EXPERT 2xKick
Time: 235440, added: EXPERT 2xKick
Time: 235560, added: EXPERT 2xKick
Time: 235680, added: EXPERT 2xKick
Time: 235800, added: EXPERT 2xKick
Time: 235920, added: EXPERT 2xKick
Time: 236040, added: EXPERT 2xKick
Time: 236160, added: EXPERT 2xKick
Time: 236280, added: EXPERT 2xKick
Time: 236400, added: EXPERT 2xKick
Time: 236520, added: EXPERT 2xKick
Time: 236640, added: EXPERT 2xKick
Time: 236760, added: EXPERT 2xKick
Time: 236880, added: EXPERT 2xKick
Time: 237000, added: EXPERT 2xKick
Time: 237120, added: EXPERT 2xKick
Time: 237240, added: EXPERT 2xKick
Time: 237360, added: EXPERT 2xKick
Time: 237480, added: EXPERT 2xKick
Time: 237600, added: EXPERT 2xKick
Time: 237720, added: EXPERT 2xKick
Time: 237840, added: EXPERT 2xKick
Time: 237960, added: EXPERT 2xKick
Time: 238080, added: EXPERT 2xKick
Time: 238200, added: EXPERT 2xKick
Time: 238320, added: EXPERT 2xKick
Time: 238440, added: EXPERT 2xKick
Time: 238560, added: EXPERT 2xKick
Time: 238680, added: EXPERT 2xKick
Time: 238800, added: EXPERT 2xKick
Time: 238920, added: EXPERT 2xKick
Time: 239040, added: EXPERT 2xKick
Time: 239160, added: EXPERT 2xKick
Time: 239280, added: EXPERT 2xKick
Time: 239400, added: EXPERT 2xKick
Time: 239520, added: EXPERT 2xKick
Time: 239640, added: EXPERT 2xKick
Time: 239760, added: EXPERT 2xKick
Time: 239880, added: EXPERT 2xKick
Time: 240000, added: EXPERT 2xKick
Time: 240120, added: EXPERT 2xKick
Time: 240240, added: EXPERT 2xKick
Time: 240360, added: EXPERT 2xKick
Time: 240480, added: EXPERT 2xKick
Time: 240600, added: EXPERT 2xKick
Time: 240720, added: EXPERT 2xKick
Time: 240840, added: EXPERT 2xKick
Time: 240960, added: EXPERT 2xKick
Time: 241080, added: EXPERT 2xKick
Time: 241200, added: EXPERT 2xKick
Time: 241320, added: EXPERT 2xKick
Time: 241440, added: EXPERT 2xKick
Time: 241560, added: EXPERT 2xKick
Time: 241680, added: EXPERT 2xKick
Time: 241800, added: EXPERT 2xKick
Time: 241920, added: EXPERT 2xKick
Time: 242040, added: EXPERT 2xKick
Time: 242160, added: EXPERT 2xKick
Time: 242280, added: EXPERT 2xKick
Time: 242400, added: EXPERT 2xKick
Time: 242520, added: EXPERT 2xKick
Time: 242640, added: EXPERT 2xKick
Time: 242760, added: EXPERT 2xKick
Time: 242880, added: EXPERT 2xKick
Time: 243000, added: EXPERT 2xKick
