Differences found in track 'PART DRUMS':
Time: 120360, added: EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick
Time: 121080, added: EXPERT 2xKick
Time: 121320, added: EXPERT 2xKick
Time: 121560, added: EXPERT 2xKick
Time: 121800, added: EXPERT 2xKick
Time: 124200, added: EXPERT 2xKick
Time: 124440, added: EXPERT 2xKick
Time: 124680, added: EXPERT 2xKick
Time: 124920, added: EXPERT 2xKick
Time: 125160, added: EXPERT 2xKick
Time: 134040, added: EXPERT 2xKick
Time: 134280, added: EXPERT 2xKick
Time: 134520, added: EXPERT 2xKick
Time: 134760, added: EXPERT 2xKick
Time: 135000, added: EXPERT 2xKick
Time: 135120, added: EXPERT 2xKick
Time: 135360, added: EXPERT 2xKick
Time: 135480, added: EXPERT 2xKick
Time: 135720, added: EXPERT 2xKick
Time: 135960, added: EXPERT 2xKick
Time: 136200, added: EXPERT 2xKick
Time: 136440, added: EXPERT 2xKick
Time: 136680, added: EXPERT 2xKick
Time: 136920, added: EXPERT 2xKick
Time: 137040, added: EXPERT 2xKick
Time: 137280, added: EXPERT 2xKick
Time: 137400, added: EXPERT 2xKick
Time: 137640, added: EXPERT 2xKick
Time: 137880, added: EXPERT 2xKick
Time: 138120, added: EXPERT 2xKick
Time: 138360, added: EXPERT 2xKick
Time: 138600, added: EXPERT 2xKick
Time: 138840, added: EXPERT 2xKick
Time: 138960, added: EXPERT 2xKick
Time: 139200, added: EXPERT 2xKick
Time: 139320, added: EXPERT 2xKick
Time: 139560, added: EXPERT 2xKick
Time: 139800, added: EXPERT 2xKick
Time: 140040, added: EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick
Time: 140520, added: EXPERT 2xKick
Time: 140760, added: EXPERT 2xKick
Time: 140880, added: EXPERT 2xKick
Time: 141120, added: EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick
Time: 141480, added: EXPERT 2xKick
Time: 141720, added: EXPERT 2xKick
Time: 141960, added: EXPERT 2xKick
Time: 142200, added: EXPERT 2xKick
Time: 142440, added: EXPERT 2xKick
Time: 142680, added: EXPERT 2xKick
Time: 142800, added: EXPERT 2xKick
Time: 143040, added: EXPERT 2xKick
Time: 143160, added: EXPERT 2xKick
Time: 143400, added: EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick
Time: 143880, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 144360, added: EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick
Time: 144720, added: EXPERT 2xKick
Time: 144960, added: EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick
Time: 145320, added: EXPERT 2xKick
Time: 145560, added: EXPERT 2xKick
Time: 145800, added: EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick
Time: 146280, added: EXPERT 2xKick
Time: 146520, added: EXPERT 2xKick
Time: 151080, added: EXPERT 2xKick
Time: 151320, added: EXPERT 2xKick
Time: 151560, added: EXPERT 2xKick
Time: 151800, added: EXPERT 2xKick
Time: 152040, added: EXPERT 2xKick
Time: 152280, added: EXPERT 2xKick
Time: 152520, added: EXPERT 2xKick
Time: 155220, removed: EXPERT Kick
Time: 155220, removed: HARD Kick
Time: 155280, added: EXPERT Kick
Time: 155280, added: HARD Kick
Time: 155280, added: EXPERT 2xKick
Time: 155400, removed: EXPERT Kick
Time: 155420, added: EXPERT Kick
Time: 155420, added: EXPERT 2xKick
Time: 187800, added: EXPERT 2xKick
Time: 188040, added: EXPERT 2xKick
Time: 188280, added: EXPERT 2xKick
Time: 188520, added: EXPERT 2xKick
Time: 188760, added: EXPERT 2xKick
Time: 189000, added: EXPERT 2xKick
Time: 189240, added: EXPERT 2xKick
Time: 189480, added: EXPERT 2xKick
Time: 189720, added: EXPERT 2xKick
Time: 189960, added: EXPERT 2xKick
Time: 190200, added: EXPERT 2xKick
Time: 190440, added: EXPERT 2xKick
Time: 190680, added: EXPERT 2xKick
Time: 190920, added: EXPERT 2xKick
Time: 191160, added: EXPERT 2xKick
Time: 191400, added: EXPERT 2xKick
Time: 191640, added: EXPERT 2xKick
