New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 160680, added: EXPERT 2xKick
Time: 160920, added: EXPERT 2xKick
Time: 161160, added: EXPERT 2xKick
Time: 161400, added: EXPERT 2xKick
Time: 161640, added: EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick
Time: 162120, added: EXPERT 2xKick
Time: 162360, added: EXPERT 2xKick
Time: 162600, added: EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick
Time: 163080, added: EXPERT 2xKick
Time: 163320, added: EXPERT 2xKick
Time: 163560, added: EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick
Time: 164040, added: EXPERT 2xKick
Time: 164280, added: EXPERT 2xKick
Time: 164520, added: EXPERT 2xKick
Time: 164760, added: EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick
Time: 165240, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 165960, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick
Time: 166680, added: EXPERT 2xKick
Time: 166920, added: EXPERT 2xKick
Time: 167160, added: EXPERT 2xKick
Time: 167400, added: EXPERT 2xKick
Time: 167640, added: EXPERT 2xKick
Time: 167880, added: EXPERT 2xKick
Time: 168120, added: EXPERT 2xKick
Time: 168360, added: EXPERT 2xKick
Time: 168600, added: EXPERT 2xKick
Time: 168840, added: EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169560, added: EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick
Time: 170040, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 170520, added: EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick
Time: 171000, added: EXPERT 2xKick
Time: 171240, added: EXPERT 2xKick
Time: 171480, added: EXPERT 2xKick
Time: 171720, added: EXPERT 2xKick
Time: 249960, added: EXPERT 2xKick
Time: 250200, added: EXPERT 2xKick
Time: 250440, added: EXPERT 2xKick
Time: 250680, added: EXPERT 2xKick
Time: 250920, added: EXPERT 2xKick
Time: 251160, added: EXPERT 2xKick
Time: 251400, added: EXPERT 2xKick
Time: 251640, added: EXPERT 2xKick
Time: 251880, added: EXPERT 2xKick
Time: 252120, added: EXPERT 2xKick
Time: 252360, added: EXPERT 2xKick
Time: 252600, added: EXPERT 2xKick
Time: 252840, added: EXPERT 2xKick
Time: 253080, added: EXPERT 2xKick
Time: 253320, added: EXPERT 2xKick
Time: 253560, added: EXPERT 2xKick
Time: 253800, added: EXPERT 2xKick
Time: 254040, added: EXPERT 2xKick
Time: 254280, added: EXPERT 2xKick
Time: 254520, added: EXPERT 2xKick
Time: 254760, added: EXPERT 2xKick
Time: 255000, added: EXPERT 2xKick
Time: 255240, added: EXPERT 2xKick
Time: 255480, added: EXPERT 2xKick
Time: 255720, added: EXPERT 2xKick
Time: 255960, added: EXPERT 2xKick
Time: 256200, added: EXPERT 2xKick
Time: 256440, added: EXPERT 2xKick
Time: 256680, added: EXPERT 2xKick
Time: 256920, added: EXPERT 2xKick
Time: 257160, added: EXPERT 2xKick
Time: 257400, added: EXPERT 2xKick
Time: 257640, added: EXPERT 2xKick
Time: 257880, added: EXPERT 2xKick
Time: 258120, added: EXPERT 2xKick
Time: 258360, added: EXPERT 2xKick
Time: 258600, added: EXPERT 2xKick
Time: 258840, added: EXPERT 2xKick
Time: 259080, added: EXPERT 2xKick
Time: 259320, added: EXPERT 2xKick
Time: 259560, added: EXPERT 2xKick
Time: 259800, added: EXPERT 2xKick
Time: 260040, added: EXPERT 2xKick
Time: 260280, added: EXPERT 2xKick
Time: 260520, added: EXPERT 2xKick
Time: 260760, added: EXPERT 2xKick
Time: 261000, added: EXPERT 2xKick
Time: 261240, added: EXPERT 2xKick
Time: 261480, added: EXPERT 2xKick
Time: 261720, added: EXPERT 2xKick
Time: 261960, added: EXPERT 2xKick
Time: 262200, added: EXPERT 2xKick
Time: 262440, added: EXPERT 2xKick
Time: 262680, added: EXPERT 2xKick
Time: 262920, added: EXPERT 2xKick
Time: 263160, added: EXPERT 2xKick
Time: 263400, added: EXPERT 2xKick
Time: 263640, added: EXPERT 2xKick
Time: 263880, added: EXPERT 2xKick
Time: 264120, added: EXPERT 2xKick
Time: 264360, added: EXPERT 2xKick
Time: 264600, added: EXPERT 2xKick
Time: 264840, added: EXPERT 2xKick
Time: 265080, added: EXPERT 2xKick
Time: 265320, added: EXPERT 2xKick
Time: 265560, added: EXPERT 2xKick
Time: 265800, added: EXPERT 2xKick
Time: 266040, added: EXPERT 2xKick
Time: 266280, added: EXPERT 2xKick
Time: 266520, added: EXPERT 2xKick
Time: 266760, added: EXPERT 2xKick
Time: 267000, added: EXPERT 2xKick
Time: 267240, added: EXPERT 2xKick
Time: 267480, added: EXPERT 2xKick
Time: 267720, added: EXPERT 2xKick
Time: 267960, added: EXPERT 2xKick
Time: 268200, added: EXPERT 2xKick
Time: 268440, added: EXPERT 2xKick
Time: 268680, added: EXPERT 2xKick
Time: 268920, added: EXPERT 2xKick
Time: 269160, added: EXPERT 2xKick
Time: 269400, added: EXPERT 2xKick
Time: 269640, added: EXPERT 2xKick
Time: 269880, added: EXPERT 2xKick
Time: 270120, added: EXPERT 2xKick
Time: 270360, added: EXPERT 2xKick
Time: 270600, added: EXPERT 2xKick
Time: 270840, added: EXPERT 2xKick
Time: 271080, added: EXPERT 2xKick
Time: 271320, added: EXPERT 2xKick
Time: 271560, added: EXPERT 2xKick
Time: 271800, added: EXPERT 2xKick
Time: 272040, added: EXPERT 2xKick
Time: 272280, added: EXPERT 2xKick
Time: 272520, added: EXPERT 2xKick
Time: 272760, added: EXPERT 2xKick
Time: 273000, added: EXPERT 2xKick
Time: 273240, added: EXPERT 2xKick
Time: 273480, added: EXPERT 2xKick
Time: 273720, added: EXPERT 2xKick
Time: 273960, added: EXPERT 2xKick
Time: 274200, added: EXPERT 2xKick
Time: 274440, added: EXPERT 2xKick
Time: 274680, added: EXPERT 2xKick
Time: 274920, added: EXPERT 2xKick
Time: 275160, added: EXPERT 2xKick
Time: 275400, added: EXPERT 2xKick
Time: 275640, added: EXPERT 2xKick
Time: 275880, added: EXPERT 2xKick
Time: 276120, added: EXPERT 2xKick
Time: 276360, added: EXPERT 2xKick
Time: 276600, added: EXPERT 2xKick
Time: 276840, added: EXPERT 2xKick
Time: 277080, added: EXPERT 2xKick
Time: 277320, added: EXPERT 2xKick
Time: 277560, added: EXPERT 2xKick
Time: 277800, added: EXPERT 2xKick
Time: 278040, added: EXPERT 2xKick
Time: 278280, added: EXPERT 2xKick
Time: 278520, added: EXPERT 2xKick
Time: 278760, added: EXPERT 2xKick
Time: 279000, added: EXPERT 2xKick
Time: 279240, added: EXPERT 2xKick
Time: 279480, added: EXPERT 2xKick
Time: 279720, added: EXPERT 2xKick
Time: 279960, added: EXPERT 2xKick
Time: 280200, added: EXPERT 2xKick
Time: 280440, added: EXPERT 2xKick
Time: 280680, added: EXPERT 2xKick
Time: 280920, added: EXPERT 2xKick
Time: 281160, added: EXPERT 2xKick
Time: 281400, added: EXPERT 2xKick
Time: 281640, added: EXPERT 2xKick
Time: 281880, added: EXPERT 2xKick
Time: 282120, added: EXPERT 2xKick
Time: 282360, added: EXPERT 2xKick
Time: 282600, added: EXPERT 2xKick
Time: 282840, added: EXPERT 2xKick
Time: 283080, added: EXPERT 2xKick
Time: 283320, added: EXPERT 2xKick
Time: 283560, added: EXPERT 2xKick
Time: 283800, added: EXPERT 2xKick
Time: 284040, added: EXPERT 2xKick
Time: 284280, added: EXPERT 2xKick
Time: 284520, added: EXPERT 2xKick
Time: 284760, added: EXPERT 2xKick
Time: 285000, added: EXPERT 2xKick
Time: 285240, added: EXPERT 2xKick
Time: 285480, added: EXPERT 2xKick
Time: 285720, added: EXPERT 2xKick
Time: 285960, added: EXPERT 2xKick
Time: 286200, added: EXPERT 2xKick
Time: 286440, added: EXPERT 2xKick
Time: 286680, added: EXPERT 2xKick
Time: 286920, added: EXPERT 2xKick
Time: 287160, added: EXPERT 2xKick
Time: 287400, added: EXPERT 2xKick
Time: 287640, added: EXPERT 2xKick
Time: 287880, added: EXPERT 2xKick
Time: 288120, added: EXPERT 2xKick
Time: 288360, added: EXPERT 2xKick
Time: 288600, added: EXPERT 2xKick
Time: 288840, added: EXPERT 2xKick
Time: 289080, added: EXPERT 2xKick
Time: 289320, added: EXPERT 2xKick
