New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 3960, added: EXPERT 2xKick
Time: 4200, added: EXPERT 2xKick
Time: 4440, added: EXPERT 2xKick
Time: 4680, added: EXPERT 2xKick
Time: 4920, added: EXPERT 2xKick
Time: 5160, added: EXPERT 2xKick
Time: 5400, added: EXPERT 2xKick
Time: 5640, added: EXPERT 2xKick
Time: 5880, added: EXPERT 2xKick
Time: 6120, added: EXPERT 2xKick
Time: 6360, added: EXPERT 2xKick
Time: 6600, added: EXPERT 2xKick
Time: 6840, added: EXPERT 2xKick
Time: 7080, added: EXPERT 2xKick
Time: 7320, added: EXPERT 2xKick
Time: 7560, added: EXPERT 2xKick
Time: 7800, added: EXPERT 2xKick
Time: 8040, added: EXPERT 2xKick
Time: 8280, added: EXPERT 2xKick
Time: 8520, added: EXPERT 2xKick
Time: 8760, added: EXPERT 2xKick
Time: 9000, added: EXPERT 2xKick
Time: 9240, added: EXPERT 2xKick
Time: 9480, added: EXPERT 2xKick
Time: 9720, added: EXPERT 2xKick
Time: 9960, added: EXPERT 2xKick
Time: 10200, added: EXPERT 2xKick
Time: 10440, added: EXPERT 2xKick
Time: 10680, added: EXPERT 2xKick
Time: 10920, added: EXPERT 2xKick
Time: 11160, added: EXPERT 2xKick
Time: 11400, added: EXPERT 2xKick
Time: 11640, added: EXPERT 2xKick
Time: 11880, added: EXPERT 2xKick
Time: 12120, added: EXPERT 2xKick
Time: 12360, added: EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick
Time: 13080, added: EXPERT 2xKick
Time: 13320, added: EXPERT 2xKick
Time: 13560, added: EXPERT 2xKick
Time: 13800, added: EXPERT 2xKick
Time: 14040, added: EXPERT 2xKick
Time: 14280, added: EXPERT 2xKick
Time: 14520, added: EXPERT 2xKick
Time: 14760, added: EXPERT 2xKick
Time: 15000, added: EXPERT 2xKick
Time: 15240, added: EXPERT 2xKick
Time: 15480, added: EXPERT 2xKick
Time: 15720, added: EXPERT 2xKick
Time: 15960, added: EXPERT 2xKick
Time: 16200, added: EXPERT 2xKick
Time: 16440, added: EXPERT 2xKick
Time: 16680, added: EXPERT 2xKick
Time: 16920, added: EXPERT 2xKick
Time: 17160, added: EXPERT 2xKick
Time: 17400, added: EXPERT 2xKick
Time: 17640, added: EXPERT 2xKick
Time: 17880, added: EXPERT 2xKick
Time: 18120, added: EXPERT 2xKick
Time: 18360, added: EXPERT 2xKick
Time: 18600, added: EXPERT 2xKick
Time: 18840, added: EXPERT 2xKick
Time: 19080, added: EXPERT 2xKick
Time: 50680, added: EXPERT Kick
Time: 50680, added: EXPERT 2xKick
Time: 50760, removed: EXPERT Kick
Time: 50820, added: EXPERT Kick
Time: 50820, added: EXPERT Red
Time: 50820, added: HARD Blue
Time: 50820, added: EXPERT Blue
Time: 50820, added: EASY Red
Time: 50820, added: MEDIUM Red
Time: 50820, added: HARD Red
Time: 50880, removed: EXPERT Red
Time: 50880, removed: HARD Blue
Time: 50880, removed: EXPERT Blue
Time: 50880, removed: EASY Red
Time: 50880, removed: MEDIUM Red
Time: 50880, removed: HARD Red
Time: 50940, added: EXPERT Red
Time: 50940, added: HARD Blue
Time: 50940, added: EXPERT Blue
Time: 50940, added: EASY Red
Time: 50940, added: MEDIUM Red
Time: 50940, added: HARD Red
Time: 58720, added: EXPERT 2xKick
Time: 59040, added: EXPERT 2xKick
Time: 59360, added: EXPERT 2xKick
Time: 62560, added: EXPERT 2xKick
Time: 62880, added: EXPERT 2xKick
Time: 63200, added: EXPERT 2xKick
Time: 66400, added: EXPERT 2xKick
Time: 66720, added: EXPERT 2xKick
Time: 67040, added: EXPERT 2xKick
Time: 69920, added: EXPERT 2xKick
Time: 70240, added: EXPERT 2xKick
Time: 70560, added: EXPERT 2xKick
Time: 70880, added: EXPERT 2xKick
Time: 74080, added: EXPERT 2xKick
Time: 74400, added: EXPERT 2xKick
Time: 74720, added: EXPERT 2xKick
Time: 77920, added: EXPERT 2xKick
Time: 78240, added: EXPERT 2xKick
Time: 78560, added: EXPERT 2xKick
Time: 81760, added: EXPERT 2xKick
Time: 82080, added: EXPERT 2xKick
Time: 82400, added: EXPERT 2xKick
Time: 85280, added: EXPERT 2xKick
Time: 85600, added: EXPERT 2xKick
Time: 85920, added: EXPERT 2xKick
Time: 86240, added: EXPERT 2xKick
Time: 104160, added: EXPERT 2xKick
Time: 104480, added: EXPERT 2xKick
Time: 105120, added: EXPERT 2xKick
Time: 105440, added: EXPERT 2xKick
Time: 106080, added: EXPERT 2xKick
Time: 106400, added: EXPERT 2xKick
Time: 108000, added: EXPERT 2xKick
Time: 108320, added: EXPERT 2xKick
Time: 108960, added: EXPERT 2xKick
Time: 109280, added: EXPERT 2xKick
Time: 109920, added: EXPERT 2xKick
Time: 110240, added: EXPERT 2xKick
Time: 111840, added: EXPERT 2xKick
Time: 112160, added: EXPERT 2xKick
Time: 112800, added: EXPERT 2xKick
Time: 113120, added: EXPERT 2xKick
Time: 113760, added: EXPERT 2xKick
Time: 114080, added: EXPERT 2xKick
Time: 115680, added: EXPERT 2xKick
Time: 116000, added: EXPERT 2xKick
Time: 116640, added: EXPERT 2xKick
Time: 116960, added: EXPERT 2xKick
Time: 117600, added: EXPERT 2xKick
Time: 117920, added: EXPERT 2xKick
Time: 119520, added: EXPERT 2xKick
Time: 119840, added: EXPERT 2xKick
Time: 120480, added: EXPERT 2xKick
Time: 120800, added: EXPERT 2xKick
Time: 121440, added: EXPERT 2xKick
Time: 121760, added: EXPERT 2xKick
