New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 41640, added: EXPERT 2xKick
Time: 41760, added: EXPERT 2xKick
Time: 47280, added: EXPERT 2xKick
Time: 47420, added: EXPERT 2xKick
Time: 47760, added: EXPERT 2xKick
Time: 47900, added: EXPERT 2xKick
Time: 48240, added: EXPERT 2xKick
Time: 48380, added: EXPERT 2xKick
Time: 48720, added: EXPERT 2xKick
Time: 48860, added: EXPERT 2xKick
Time: 48860, added: EXPERT Kick
Time: 48880, removed: EASY Blue
Time: 48880, removed: EXPERT Blue
Time: 48880, removed: MEDIUM Blue
Time: 48880, removed: MEDIUM Red
Time: 48880, removed: HARD Blue
Time: 48880, removed: HARD Red
Time: 48880, removed: EXPERT Kick
Time: 48880, removed: EASY Red
Time: 48880, removed: EXPERT Red
Time: 48960, added: EASY Blue
Time: 48960, added: EXPERT Blue
Time: 48960, added: MEDIUM Blue
Time: 48960, added: MEDIUM Red
Time: 48960, added: HARD Blue
Time: 48960, added: HARD Red
Time: 48960, added: EASY Red
Time: 48960, added: EXPERT Red
Time: 49020, removed: EASY Blue
Time: 49020, removed: EXPERT Blue
Time: 49020, removed: MEDIUM Blue
Time: 49020, removed: OVERDRIVE
Time: 49020, removed: MEDIUM Red
Time: 49020, removed: HARD Blue
Time: 49020, removed: HARD Red
Time: 49020, removed: EASY Red
Time: 49020, removed: EXPERT Red
Time: 49080, added: OVERDRIVE
Time: 72360, added: EXPERT 2xKick
Time: 72480, added: EXPERT 2xKick
Time: 78840, added: EXPERT 2xKick
Time: 79080, added: EXPERT 2xKick
Time: 79320, added: EXPERT 2xKick
Time: 79560, added: EXPERT 2xKick
Time: 79800, added: EXPERT 2xKick
Time: 80040, added: EXPERT 2xKick
Time: 80280, added: EXPERT 2xKick
Time: 80520, added: EXPERT 2xKick
Time: 82680, added: EXPERT 2xKick
Time: 82920, added: EXPERT 2xKick
Time: 83160, added: EXPERT 2xKick
Time: 86520, added: EXPERT 2xKick
Time: 86760, added: EXPERT 2xKick
Time: 87000, added: EXPERT 2xKick
Time: 90360, added: EXPERT 2xKick
Time: 90600, added: EXPERT 2xKick
Time: 90840, added: EXPERT 2xKick
Time: 94200, added: EXPERT 2xKick
Time: 94440, added: EXPERT 2xKick
Time: 94680, added: EXPERT 2xKick
Time: 94920, added: EXPERT 2xKick
