Differences found in track 'PART DRUMS':
Time: 216720, added: EXPERT 2xKick
Time: 216800, added: EXPERT 2xKick
Time: 216960, added: EXPERT 2xKick
Time: 217040, added: EXPERT 2xKick
Time: 217200, added: EXPERT 2xKick
Time: 217280, added: EXPERT 2xKick
Time: 217440, added: EXPERT 2xKick
Time: 217520, added: EXPERT 2xKick
Time: 217680, added: EXPERT 2xKick
Time: 217760, added: EXPERT 2xKick
Time: 217920, added: EXPERT 2xKick
Time: 218000, added: EXPERT 2xKick
Time: 218160, added: EXPERT 2xKick
Time: 218240, added: EXPERT 2xKick
Time: 266640, added: EXPERT 2xKick
Time: 266720, added: EXPERT 2xKick
Time: 266880, added: EXPERT 2xKick
Time: 266960, added: EXPERT 2xKick
Time: 267120, added: EXPERT 2xKick
Time: 267200, added: EXPERT 2xKick
Time: 270480, added: EXPERT 2xKick
Time: 270560, added: EXPERT 2xKick
Time: 270720, added: EXPERT 2xKick
Time: 270800, added: EXPERT 2xKick
Time: 270960, added: EXPERT 2xKick
Time: 271040, added: EXPERT 2xKick
Time: 274320, added: EXPERT 2xKick
Time: 274400, added: EXPERT 2xKick
Time: 274560, added: EXPERT 2xKick
Time: 274640, added: EXPERT 2xKick
Time: 274800, added: EXPERT 2xKick
Time: 274880, added: EXPERT 2xKick
Time: 278160, added: EXPERT 2xKick
Time: 278240, added: EXPERT 2xKick
Time: 278400, added: EXPERT 2xKick
Time: 278480, added: EXPERT 2xKick
Time: 278640, added: EXPERT 2xKick
Time: 278720, added: EXPERT 2xKick
Time: 278880, added: EXPERT 2xKick
Time: 278960, added: EXPERT 2xKick
Time: 279120, added: EXPERT 2xKick
Time: 279200, added: EXPERT 2xKick
Time: 279360, added: EXPERT 2xKick
Time: 279440, added: EXPERT 2xKick
Time: 279600, added: EXPERT 2xKick
Time: 279680, added: EXPERT 2xKick
Time: 358800, added: EXPERT 2xKick
Time: 358880, added: EXPERT 2xKick
Time: 359040, added: EXPERT 2xKick
Time: 359120, added: EXPERT 2xKick
Time: 359280, added: EXPERT 2xKick
Time: 359360, added: EXPERT 2xKick
Time: 359520, added: EXPERT 2xKick
Time: 359600, added: EXPERT 2xKick
Time: 359760, added: EXPERT 2xKick
Time: 359840, added: EXPERT 2xKick
Time: 360000, added: EXPERT 2xKick
Time: 360080, added: EXPERT 2xKick
Time: 360240, added: EXPERT 2xKick
Time: 360320, added: EXPERT 2xKick
Time: 383040, added: EXPERT 2xKick
Time: 383120, added: EXPERT 2xKick
Time: 383280, added: EXPERT 2xKick
Time: 383360, added: EXPERT 2xKick
Time: 383520, added: EXPERT 2xKick
Time: 383600, added: EXPERT 2xKick
