New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 3960, added: EXPERT 2xKick
Time: 4200, added: EXPERT 2xKick
Time: 4440, added: EXPERT 2xKick
Time: 4680, added: EXPERT 2xKick
Time: 4920, added: EXPERT 2xKick
Time: 5160, added: EXPERT 2xKick
Time: 5400, added: EXPERT 2xKick
Time: 5640, added: EXPERT 2xKick
Time: 7440, added: EXPERT 2xKick
Time: 7800, added: EXPERT 2xKick
Time: 8040, added: EXPERT 2xKick
Time: 8280, added: EXPERT 2xKick
Time: 8520, added: EXPERT 2xKick
Time: 8760, added: EXPERT 2xKick
Time: 9000, added: EXPERT 2xKick
Time: 9240, added: EXPERT 2xKick
Time: 9480, added: EXPERT 2xKick
Time: 11280, added: EXPERT 2xKick
Time: 11640, added: EXPERT 2xKick
Time: 11880, added: EXPERT 2xKick
Time: 12120, added: EXPERT 2xKick
Time: 12360, added: EXPERT 2xKick
Time: 12600, added: EXPERT 2xKick
Time: 12840, added: EXPERT 2xKick
Time: 13080, added: EXPERT 2xKick
Time: 13320, added: EXPERT 2xKick
Time: 15120, added: EXPERT 2xKick
Time: 15480, added: EXPERT 2xKick
Time: 15720, added: EXPERT 2xKick
Time: 15960, added: EXPERT 2xKick
Time: 16200, added: EXPERT 2xKick
Time: 16440, added: EXPERT 2xKick
Time: 16680, added: EXPERT 2xKick
Time: 22440, added: EXPERT 2xKick
Time: 22560, added: EXPERT 2xKick
Time: 22920, added: EXPERT 2xKick
Time: 23160, added: EXPERT 2xKick
Time: 23400, added: EXPERT 2xKick
Time: 23640, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31200, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31680, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 31920, added: EXPERT 2xKick
Time: 45960, added: EXPERT 2xKick
Time: 46080, added: EXPERT 2xKick
Time: 46200, added: EXPERT 2xKick
Time: 75120, added: EXPERT 2xKick
Time: 75240, added: EXPERT 2xKick
Time: 76560, added: EXPERT 2xKick
Time: 76680, added: EXPERT 2xKick
Time: 78000, added: EXPERT 2xKick
Time: 78120, added: EXPERT 2xKick
Time: 79440, added: EXPERT 2xKick
Time: 79560, added: EXPERT 2xKick
Time: 80880, added: EXPERT 2xKick
Time: 81000, added: EXPERT 2xKick
Time: 82320, added: EXPERT 2xKick
Time: 82440, added: EXPERT 2xKick
Time: 83760, added: EXPERT 2xKick
Time: 83880, added: EXPERT 2xKick
Time: 90360, added: EXPERT 2xKick
Time: 90600, added: EXPERT 2xKick
Time: 91080, added: EXPERT 2xKick
Time: 92520, added: EXPERT 2xKick
Time: 92640, added: EXPERT 2xKick
Time: 93480, added: EXPERT 2xKick
Time: 93600, added: EXPERT 2xKick
Time: 106020, added: HARD Green
Time: 106020, added: MEDIUM Red
Time: 106020, added: EXPERT 2xKick
Time: 106020, added: EXPERT Green
Time: 106020, added: HARD Red
Time: 106020, added: EASY Green
Time: 106020, added: EXPERT Red
Time: 106020, added: MEDIUM Green
Time: 106080, removed: EASY Green
Time: 106080, removed: EXPERT Green
Time: 106080, removed: EXPERT Red
Time: 106080, removed: MEDIUM Green
Time: 106080, removed: HARD Green
Time: 106080, removed: MEDIUM Red
Time: 106080, removed: HARD Red
Time: 106140, added: EASY Green
Time: 106140, added: EXPERT Green
Time: 106140, added: EXPERT Red
Time: 106140, added: MEDIUM Green
Time: 106140, added: HARD Green
Time: 106140, added: MEDIUM Red
Time: 106140, added: HARD Red
Time: 106440, added: EXPERT 2xKick
Time: 106560, added: EXPERT 2xKick
Time: 106680, added: EXPERT 2xKick
Time: 106800, added: EXPERT 2xKick
Time: 134640, added: EXPERT 2xKick
Time: 134760, added: EXPERT 2xKick
Time: 137520, added: EXPERT 2xKick
Time: 137640, added: EXPERT 2xKick
Time: 140040, added: EXPERT 2xKick
Time: 140160, added: EXPERT 2xKick
Time: 141840, added: EXPERT 2xKick
Time: 141960, added: EXPERT 2xKick
Time: 143400, added: EXPERT 2xKick
Time: 143640, added: EXPERT 2xKick
Time: 143880, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 144360, added: EXPERT 2xKick
Time: 144600, added: EXPERT 2xKick
Time: 144840, added: EXPERT 2xKick
Time: 145080, added: EXPERT 2xKick
Time: 145320, added: EXPERT 2xKick
Time: 145560, added: EXPERT 2xKick
Time: 145800, added: EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick
Time: 146280, added: EXPERT 2xKick
Time: 146520, added: EXPERT 2xKick
Time: 146760, added: EXPERT 2xKick
Time: 147000, added: EXPERT 2xKick
Time: 147240, added: EXPERT 2xKick
Time: 147480, added: EXPERT 2xKick
Time: 147720, added: EXPERT 2xKick
Time: 147960, added: EXPERT 2xKick
Time: 148200, added: EXPERT 2xKick
Time: 148440, added: EXPERT 2xKick
Time: 148680, added: EXPERT 2xKick
Time: 148920, added: EXPERT 2xKick
Time: 149160, added: EXPERT 2xKick
Time: 149400, added: EXPERT 2xKick
Time: 149640, added: EXPERT 2xKick
Time: 149880, added: EXPERT 2xKick
Time: 150120, added: EXPERT 2xKick
Time: 150360, added: EXPERT 2xKick
Time: 150600, added: EXPERT 2xKick
Time: 150840, added: EXPERT 2xKick
Time: 151080, added: EXPERT 2xKick
Time: 151320, added: EXPERT 2xKick
Time: 151560, added: EXPERT 2xKick
Time: 151800, added: EXPERT 2xKick
Time: 152040, added: EXPERT 2xKick
Time: 152280, added: EXPERT 2xKick
Time: 152520, added: EXPERT 2xKick
