New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 65760, added: EXPERT 2xKick
Time: 66080, added: EXPERT 2xKick
Time: 66400, added: EXPERT 2xKick
Time: 66720, added: EXPERT 2xKick
Time: 67040, added: EXPERT 2xKick
Time: 67360, added: EXPERT 2xKick
Time: 67680, added: EXPERT 2xKick
Time: 68000, added: EXPERT 2xKick
Time: 68320, added: EXPERT 2xKick
Time: 68640, added: EXPERT 2xKick
Time: 68960, added: EXPERT 2xKick
Time: 69280, added: EXPERT 2xKick
Time: 69600, added: EXPERT 2xKick
Time: 69920, added: EXPERT 2xKick
Time: 70240, added: EXPERT 2xKick
Time: 70560, added: EXPERT 2xKick
Time: 70880, added: EXPERT 2xKick
Time: 71200, added: EXPERT 2xKick
Time: 71520, added: EXPERT 2xKick
Time: 71840, added: EXPERT 2xKick
Time: 72160, added: EXPERT 2xKick
Time: 72480, added: EXPERT 2xKick
Time: 72800, added: EXPERT 2xKick
Time: 73120, added: EXPERT 2xKick
Time: 73440, added: EXPERT 2xKick
Time: 73760, added: EXPERT 2xKick
Time: 74080, added: EXPERT 2xKick
Time: 74400, added: EXPERT 2xKick
Time: 74720, added: EXPERT 2xKick
Time: 75040, added: EXPERT 2xKick
Time: 75360, added: EXPERT 2xKick
Time: 75680, added: EXPERT 2xKick
Time: 76000, added: EXPERT 2xKick
Time: 76320, added: EXPERT 2xKick
Time: 76640, added: EXPERT 2xKick
Time: 76960, added: EXPERT 2xKick
Time: 77280, added: EXPERT 2xKick
Time: 77600, added: EXPERT 2xKick
Time: 77920, added: EXPERT 2xKick
Time: 78240, added: EXPERT 2xKick
Time: 78560, added: EXPERT 2xKick
Time: 78880, added: EXPERT 2xKick
Time: 79200, added: EXPERT 2xKick
Time: 79520, added: EXPERT 2xKick
Time: 79840, added: EXPERT 2xKick
Time: 80160, added: EXPERT 2xKick
Time: 80480, added: EXPERT 2xKick
Time: 80800, added: EXPERT 2xKick
Time: 81120, added: EXPERT 2xKick
Time: 81440, added: EXPERT 2xKick
Time: 81760, added: EXPERT 2xKick
Time: 82080, added: EXPERT 2xKick
Time: 82400, added: EXPERT 2xKick
Time: 82720, added: EXPERT 2xKick
Time: 83040, added: EXPERT 2xKick
Time: 83360, added: EXPERT 2xKick
Time: 83680, added: EXPERT 2xKick
Time: 84000, added: EXPERT 2xKick
Time: 84320, added: EXPERT 2xKick
Time: 84640, added: EXPERT 2xKick
Time: 84960, added: EXPERT 2xKick
Time: 85280, added: EXPERT 2xKick
Time: 85600, added: EXPERT 2xKick
Time: 85920, added: EXPERT 2xKick
Time: 86240, added: EXPERT 2xKick
Time: 86560, added: EXPERT 2xKick
Time: 86880, added: EXPERT 2xKick
Time: 87200, added: EXPERT 2xKick
