New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Track 'PART DRUMS' matches rb3 vanilla updates
Text differences found in track 'PART DRUMS':
Time: 231359, Text event changed from '[no event]' to '[idle_realtime]'
Time: 231360, Text event changed from '[idle_realtime]' to '[no event]'
Differences found in track 'PART GUITAR':
Time: 236639, added: EASY Red
Time: 236639, added: h2h note
Time: 236639, added: MEDIUM Red
Time: 236639, added: h2h note
Time: 236639, added: HARD Green
Time: 236639, added: EXPERT Yellow
Time: 236639, added: EXPERT Green
Time: 236639, added: MEDIUM Green
Time: 236639, added: HARD Yellow
Time: 236639, added: EASY Green
Time: 236640, removed: EASY Red
Time: 236640, removed: h2h note
Time: 236640, removed: MEDIUM Red
Time: 236640, removed: h2h note
Time: 236640, removed: HARD Green
Time: 236640, removed: EXPERT Yellow
Time: 236640, removed: EXPERT Green
Time: 236640, removed: MEDIUM Green
Time: 236640, removed: HARD Yellow
Time: 236640, removed: EASY Green
