Differences found in track 'PART DRUMS':
Time: 91680, added: EXPERT 2xKick
Time: 92320, added: EXPERT 2xKick
Time: 92480, added: EXPERT 2xKick
Time: 92640, added: EXPERT 2xKick
Time: 93280, added: EXPERT 2xKick
Time: 93440, added: EXPERT 2xKick
Time: 93600, added: EXPERT 2xKick
Time: 94240, added: EXPERT 2xKick
Time: 94400, added: EXPERT 2xKick
Time: 94560, added: EXPERT 2xKick
Time: 95200, added: EXPERT 2xKick
Time: 95360, added: EXPERT 2xKick
Time: 95520, added: EXPERT 2xKick
Time: 96160, added: EXPERT 2xKick
Time: 96320, added: EXPERT 2xKick
Time: 96480, added: EXPERT 2xKick
Time: 97120, added: EXPERT 2xKick
Time: 97280, added: EXPERT 2xKick
Time: 97440, added: EXPERT 2xKick
Time: 98080, added: EXPERT 2xKick
Time: 98240, added: EXPERT 2xKick
Time: 98400, added: EXPERT 2xKick
Time: 99000, added: EXPERT 2xKick
Time: 99100, added: EXPERT 2xKick
Time: 99200, added: EXPERT 2xKick
Time: 99360, added: EXPERT 2xKick
Time: 100000, added: EXPERT 2xKick
Time: 100160, added: EXPERT 2xKick
Time: 100320, added: EXPERT 2xKick
Time: 100960, added: EXPERT 2xKick
Time: 101120, added: EXPERT 2xKick
Time: 101280, added: EXPERT 2xKick
Time: 101920, added: EXPERT 2xKick
Time: 102080, added: EXPERT 2xKick
Time: 102240, added: EXPERT 2xKick
