Differences found in track 'PART DRUMS':
Time: 61120, added: DRUM ROLL
Time: 61280, added: DRUM ROLL
Time: 61360, added: DRUM ROLL
Time: 61520, added: DRUM ROLL
Time: 64238, removed: DRUM ROLL
Time: 64238, removed: EXPERT Blue
Time: 64238, removed: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: EXPERT Blue
Time: 64240, added: DRUM ROLL
Time: 111480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 111960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 112920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 113880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 114840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 158040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 158280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 158520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 158760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 159960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 160920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 161160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 161400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 161640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 162120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 162360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 162600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 164040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 180600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 180840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 181080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 181320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 181560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 181800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 182040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 182280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 182520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 182760, added: EXPERT 2xKick, EXPERT 2xKick
