New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART DRUMS':
Time: 265376, added: TOM GEMS PAD 3
Time: 265481, removed: TOM GEMS PAD 3
Time: 280406, removed: EXPERT Yellow
Time: 280406, removed: EXPERT Kick
Time: 280406, removed: HARD Kick
Time: 280406, removed: TOM GEMS PAD 2
Time: 280426, added: EXPERT Yellow
Time: 280426, added: HARD Kick
Time: 280426, added: EXPERT Kick
Time: 280536, removed: TOM GEMS PAD 2
Time: 280620, removed: EXPERT Yellow
Time: 280620, removed: TOM GEMS PAD 2
Time: 280640, added: EXPERT Yellow
Time: 280640, added: EXPERT Kick
Time: 280720, removed: EXPERT Red
Time: 280720, removed: TOM GEMS PAD 2
Time: 280720, removed: MEDIUM Blue
Time: 280720, removed: HARD Red
Time: 280720, removed: EXPERT Kick
Time: 280776, added: MEDIUM Blue
Time: 280776, added: EXPERT Red
Time: 280776, added: HARD Red
Time: 280776, added: EXPERT Kick
Time: 280826, removed: EXPERT Red
Time: 280826, removed: EXPERT Yellow
Time: 280826, removed: TOM GEMS PAD 2
Time: 280826, removed: MEDIUM Blue
Time: 280826, removed: HARD Red
Time: 280880, added: EXPERT Yellow
Time: 280880, added: TOM GEMS PAD 2
Time: 280880, added: EXPERT Kick
Time: 280960, removed: EXPERT Green
Time: 280960, removed: HARD Red
Time: 280960, removed: EXPERT Kick
Time: 280960, removed: EASY Green
Time: 280960, removed: HARD Green
Time: 280960, removed: MEDIUM Red
Time: 280960, removed: MEDIUM Green
Time: 280960, removed: EXPERT Red
Time: 281016, added: EXPERT Green
Time: 281016, added: HARD Red
Time: 281016, added: EXPERT Kick
Time: 281016, added: EASY Green
Time: 281016, added: HARD Green
Time: 281016, added: MEDIUM Red
Time: 281016, added: MEDIUM Green
Time: 281016, added: EXPERT Red
Time: 281096, removed: EXPERT Green
Time: 281096, removed: HARD Red
Time: 281096, removed: HARD Green
Time: 281096, removed: EASY Green
Time: 281096, removed: EXPERT Red
Time: 281096, removed: MEDIUM Red
Time: 281096, removed: MEDIUM Green
Time: 281096, removed: EXPERT Kick
Time: 281160, added: EXPERT Kick
Time: 281216, removed: HARD Blue
Time: 281216, removed: EXPERT Kick
Time: 281216, removed: EXPERT Blue
Time: 281280, added: HARD Blue
Time: 281280, added: EXPERT Blue
Time: 281336, removed: HARD Blue
Time: 281336, removed: HARD Kick
Time: 281336, removed: EXPERT Kick
Time: 281336, removed: EXPERT Blue
Time: 281400, added: HARD Kick
Time: 281400, added: EXPERT Kick
Time: 281456, removed: HARD Blue
Time: 281456, removed: EASY Blue
Time: 281456, removed: EXPERT Blue
Time: 281456, removed: MEDIUM Blue
Time: 281456, removed: HARD Kick
Time: 281456, removed: EXPERT Kick
Time: 281520, added: MEDIUM Blue
Time: 281520, added: HARD Blue
Time: 281520, added: EASY Blue
Time: 281520, added: EXPERT Blue
Time: 281576, removed: EASY Blue
Time: 281576, removed: EXPERT Blue
Time: 281576, removed: MEDIUM Blue
Time: 281576, removed: HARD Blue
Time: 281576, removed: EXPERT Kick
Time: 281640, added: EXPERT Kick
Time: 281696, removed: EXPERT Blue
Time: 281696, removed: MEDIUM Blue
Time: 281696, removed: HARD Blue
Time: 281696, removed: HARD Red
Time: 281696, removed: EASY Red
Time: 281696, removed: EXPERT Kick
Time: 281696, removed: EXPERT Red
Time: 281696, removed: MEDIUM Red
Time: 281760, added: EXPERT Red
Time: 281760, added: MEDIUM Red
Time: 281760, added: EXPERT Blue
Time: 281760, added: MEDIUM Blue
Time: 281760, added: HARD Blue
Time: 281760, added: HARD Red
Time: 281760, added: EASY Red
Time: 281816, removed: EXPERT Blue
Time: 281816, removed: MEDIUM Blue
Time: 281816, removed: HARD Blue
Time: 281816, removed: HARD Red
Time: 281816, removed: EASY Red
Time: 281816, removed: EXPERT Kick
Time: 281816, removed: EXPERT Red
Time: 281816, removed: MEDIUM Red
Time: 281880, added: EXPERT Kick
Time: 281936, removed: HARD Blue
