Differences found in track 'PART DRUMS':
Time: 48838, added: EXPERT 2xKick
Time: 48960, added: EXPERT 2xKick
Time: 64198, added: EXPERT 2xKick
Time: 64320, added: EXPERT 2xKick
Time: 112198, added: EXPERT 2xKick
Time: 112320, added: EXPERT 2xKick
Time: 127558, added: EXPERT 2xKick
Time: 127680, added: EXPERT 2xKick
Time: 144960, added: EXPERT 2xKick
Time: 145078, added: EXPERT 2xKick
Time: 145680, added: EXPERT 2xKick
Time: 145798, added: EXPERT 2xKick
Time: 146400, added: EXPERT 2xKick
Time: 146518, added: EXPERT 2xKick
Time: 146878, added: EXPERT 2xKick
Time: 146998, added: EXPERT 2xKick
Time: 160320, added: EXPERT 2xKick
Time: 160438, added: EXPERT 2xKick
Time: 161040, added: EXPERT 2xKick
Time: 161158, added: EXPERT 2xKick
Time: 161760, added: EXPERT 2xKick
Time: 161878, added: EXPERT 2xKick
Time: 162240, added: EXPERT 2xKick
Time: 162358, added: EXPERT 2xKick
Time: 175680, added: EXPERT 2xKick
Time: 175798, added: EXPERT 2xKick
Time: 176400, added: EXPERT 2xKick
Time: 176518, added: EXPERT 2xKick
Time: 177120, added: EXPERT 2xKick
Time: 177238, added: EXPERT 2xKick
Time: 177600, added: EXPERT 2xKick
Time: 177718, added: EXPERT 2xKick
Time: 191040, added: EXPERT 2xKick
Time: 191158, added: EXPERT 2xKick
Time: 191760, added: EXPERT 2xKick
Time: 191878, added: EXPERT 2xKick
Time: 192480, added: EXPERT 2xKick
Time: 192598, added: EXPERT 2xKick
Time: 192960, added: EXPERT 2xKick
Time: 193078, added: EXPERT 2xKick
Time: 198358, added: EXPERT 2xKick
Time: 198480, added: EXPERT 2xKick
Time: 199318, added: EXPERT 2xKick
Time: 199440, added: EXPERT 2xKick
Time: 200278, added: EXPERT 2xKick
Time: 200400, added: EXPERT 2xKick
Time: 201238, added: EXPERT 2xKick
Time: 201360, added: EXPERT 2xKick
Time: 202198, added: EXPERT 2xKick
Time: 202320, added: EXPERT 2xKick
Time: 203158, added: EXPERT 2xKick
Time: 203280, added: EXPERT 2xKick
Time: 204118, added: EXPERT 2xKick
Time: 204240, added: EXPERT 2xKick
Time: 205078, added: EXPERT 2xKick
Time: 205200, added: EXPERT 2xKick
Time: 206038, added: EXPERT 2xKick
Time: 206160, added: EXPERT 2xKick
Time: 206998, added: EXPERT 2xKick
Time: 207120, added: EXPERT 2xKick
Time: 207958, added: EXPERT 2xKick
Time: 208080, added: EXPERT 2xKick
Time: 208918, added: EXPERT 2xKick
Time: 209040, added: EXPERT 2xKick
Time: 209878, added: EXPERT 2xKick
Time: 210000, added: EXPERT 2xKick
Time: 210838, added: EXPERT 2xKick
Time: 210960, added: EXPERT 2xKick
Time: 211798, added: EXPERT 2xKick
Time: 211920, added: EXPERT 2xKick
Time: 212518, added: EXPERT 2xKick
Time: 212640, added: EXPERT 2xKick
Time: 213440, added: EXPERT 2xKick
Time: 213558, added: EXPERT 2xKick
Time: 213920, added: EXPERT 2xKick
Time: 214038, added: EXPERT 2xKick
Time: 214400, added: EXPERT 2xKick
Time: 214518, added: EXPERT 2xKick
Time: 214880, added: EXPERT 2xKick
Time: 214998, added: EXPERT 2xKick
Time: 215360, added: EXPERT 2xKick
Time: 215478, added: EXPERT 2xKick
Time: 215840, added: EXPERT 2xKick
Time: 215958, added: EXPERT 2xKick
Time: 216320, added: EXPERT 2xKick
Time: 216438, added: EXPERT 2xKick
Time: 216800, added: EXPERT 2xKick
Time: 216918, added: EXPERT 2xKick
Time: 217280, added: EXPERT 2xKick
Time: 217398, added: EXPERT 2xKick
Time: 217760, added: EXPERT 2xKick
Time: 217878, added: EXPERT 2xKick
Time: 218240, added: EXPERT 2xKick
Time: 218358, added: EXPERT 2xKick
Time: 218720, added: EXPERT 2xKick
Time: 218838, added: EXPERT 2xKick
Time: 219200, added: EXPERT 2xKick
Time: 219318, added: EXPERT 2xKick
Time: 219680, added: EXPERT 2xKick
Time: 219798, added: EXPERT 2xKick
Time: 220160, added: EXPERT 2xKick
Time: 220278, added: EXPERT 2xKick
Time: 220640, added: EXPERT 2xKick
Time: 220758, added: EXPERT 2xKick
Time: 221120, added: EXPERT 2xKick
Time: 221238, added: EXPERT 2xKick
Time: 221600, added: EXPERT 2xKick
Time: 221718, added: EXPERT 2xKick
Time: 222080, added: EXPERT 2xKick
Time: 222198, added: EXPERT 2xKick
Time: 222560, added: EXPERT 2xKick
Time: 222678, added: EXPERT 2xKick
Time: 223040, added: EXPERT 2xKick
Time: 223158, added: EXPERT 2xKick
Time: 223520, added: EXPERT 2xKick
Time: 223638, added: EXPERT 2xKick
Time: 224000, added: EXPERT 2xKick
Time: 224118, added: EXPERT 2xKick
Time: 224480, added: EXPERT 2xKick
Time: 224598, added: EXPERT 2xKick
Time: 224960, added: EXPERT 2xKick
Time: 225078, added: EXPERT 2xKick
Time: 225440, added: EXPERT 2xKick
Time: 225558, added: EXPERT 2xKick
Time: 225920, added: EXPERT 2xKick
Time: 226038, added: EXPERT 2xKick
Time: 243718, added: EXPERT 2xKick
Time: 243840, added: EXPERT 2xKick
Time: 254758, added: EXPERT 2xKick
Time: 254880, added: EXPERT 2xKick
Time: 270118, added: EXPERT 2xKick
Time: 270240, added: EXPERT 2xKick
Time: 273600, added: DRUM ROLL
Time: 287878, added: DRUM ROLL
Text differences found in track 'PART DRUMS':
Time: 38400, Text event changed from ' [play]' to '[play]'
