New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 9720, added: EXPERT 2xKick
Time: 9960, added: EXPERT 2xKick
Time: 10201, added: EXPERT 2xKick
Time: 10441, added: EXPERT 2xKick
Time: 10680, added: EXPERT 2xKick
Time: 10919, added: EXPERT 2xKick
Time: 11159, added: EXPERT 2xKick
Time: 11399, added: EXPERT 2xKick
Time: 17400, added: EXPERT 2xKick
Time: 17640, added: EXPERT 2xKick
Time: 17880, added: EXPERT 2xKick
Time: 18121, added: EXPERT 2xKick
Time: 18359, added: EXPERT Red
Time: 18359, added: EXPERT 2xKick
Time: 18359, added: HARD Red
Time: 18360, removed: EXPERT Red
Time: 18360, removed: HARD Red
Time: 18599, added: EXPERT 2xKick
Time: 18839, added: EXPERT 2xKick
Time: 19079, added: EXPERT 2xKick
Time: 21241, added: EXPERT 2xKick
Time: 21480, added: EXPERT 2xKick
Time: 21720, added: EXPERT 2xKick
Time: 21961, added: EXPERT 2xKick
Time: 22200, added: EXPERT 2xKick
Time: 22439, added: EXPERT 2xKick
Time: 22679, added: EXPERT 2xKick
Time: 22919, added: EXPERT 2xKick
Time: 25079, added: EXPERT 2xKick
Time: 25320, added: EXPERT 2xKick
Time: 25559, added: EXPERT 2xKick
Time: 25800, added: EXPERT 2xKick
Time: 26040, added: EXPERT 2xKick
Time: 26279, added: EXPERT 2xKick
Time: 26519, added: EXPERT 2xKick
Time: 26758, added: EXPERT 2xKick
Time: 28920, added: EXPERT 2xKick
Time: 29159, added: EXPERT Red
Time: 29159, added: EXPERT 2xKick
Time: 29159, added: HARD Red
Time: 29160, removed: EXPERT Red
Time: 29160, removed: HARD Red
Time: 29400, added: EXPERT 2xKick
Time: 29640, added: EXPERT 2xKick
Time: 29880, added: EXPERT 2xKick
Time: 30118, added: EXPERT 2xKick
Time: 30359, added: EXPERT 2xKick
Time: 30598, added: EXPERT 2xKick
Time: 30840, added: EXPERT 2xKick
Time: 31080, added: EXPERT 2xKick
Time: 31320, added: EXPERT 2xKick
Time: 31560, added: EXPERT 2xKick
Time: 31800, added: EXPERT 2xKick
Time: 32039, added: EXPERT 2xKick
Time: 32280, added: EXPERT 2xKick
Time: 32519, added: EXPERT 2xKick
Time: 32760, added: EXPERT 2xKick
Time: 33000, added: EXPERT 2xKick
Time: 33241, added: EXPERT 2xKick
Time: 33480, added: EXPERT 2xKick
Time: 33720, added: EXPERT 2xKick
Time: 33960, added: EXPERT 2xKick
Time: 34200, added: EXPERT 2xKick
Time: 34439, added: EXPERT 2xKick
Time: 34439, added: TOM GEMS PAD 2
Time: 34440, removed: TOM GEMS PAD 2
Time: 38520, added: EXPERT 2xKick
Time: 38760, added: EXPERT 2xKick
Time: 39001, added: EXPERT 2xKick
Time: 39240, added: EXPERT 2xKick
Time: 39480, added: EXPERT 2xKick
Time: 39719, added: EXPERT 2xKick
Time: 39959, added: EXPERT 2xKick
Time: 40199, added: EXPERT 2xKick
Time: 40439, added: EXPERT 2xKick
Time: 40679, added: EXPERT Red
Time: 40679, added: EXPERT 2xKick
Time: 40679, added: HARD Red
Time: 40680, removed: EXPERT Red
Time: 40680, removed: HARD Red
Time: 40919, added: EXPERT 2xKick
Time: 41160, added: EXPERT 2xKick
Time: 41400, added: EXPERT 2xKick
Time: 41638, added: EXPERT 2xKick
Time: 41880, added: EXPERT 2xKick
Time: 46200, added: EXPERT 2xKick
Time: 46440, added: EXPERT 2xKick
Time: 46680, added: EXPERT 2xKick
Time: 46920, added: EXPERT 2xKick
Time: 47160, added: EXPERT 2xKick
Time: 47398, added: EXPERT 2xKick
Time: 47639, added: EXPERT 2xKick
Time: 47879, added: EXPERT 2xKick
Time: 48119, added: EXPERT 2xKick
Time: 48360, added: EXPERT 2xKick
Time: 48600, added: EXPERT 2xKick
Time: 48839, added: EXPERT 2xKick
Time: 49080, added: EXPERT 2xKick
Time: 49320, added: EXPERT 2xKick
Time: 49560, added: EXPERT 2xKick
Time: 49800, added: EXPERT 2xKick
Time: 72240, added: EXPERT 2xKick
Time: 72380, added: EXPERT 2xKick
Time: 72380, added: EXPERT Kick
Time: 72400, removed: EXPERT Red
Time: 72400, removed: MEDIUM Green
Time: 72400, removed: EXPERT Green
Time: 72400, removed: HARD Green
Time: 72400, removed: EASY Red
Time: 72400, removed: MEDIUM Red
Time: 72400, removed: HARD Red
Time: 72400, removed: EXPERT Kick
Time: 72480, added: EXPERT Red
Time: 72480, added: MEDIUM Green
Time: 72480, added: EASY Red
Time: 72480, added: HARD Green
Time: 72480, added: MEDIUM Red
Time: 72480, added: HARD Red
Time: 72480, added: EXPERT Green
Time: 72540, removed: EXPERT Red
Time: 72540, removed: MEDIUM Green
Time: 72540, removed: EASY Red
Time: 72540, removed: HARD Green
Time: 72540, removed: MEDIUM Red
Time: 72540, removed: HARD Red
Time: 72540, removed: EXPERT Green
Time: 99959, added: EXPERT 2xKick
Time: 100199, added: EXPERT Red
Time: 100199, added: EXPERT 2xKick
Time: 100199, added: HARD Red
Time: 100200, removed: EXPERT Red
Time: 100200, removed: HARD Red
Time: 100440, added: EXPERT 2xKick
Time: 100680, added: EXPERT 2xKick
Time: 100920, added: EXPERT 2xKick
Time: 101159, added: EXPERT 2xKick
Time: 101399, added: EXPERT 2xKick
Time: 101638, added: EXPERT 2xKick
Time: 107640, added: EXPERT 2xKick
Time: 107880, added: EXPERT 2xKick
Time: 108120, added: EXPERT 2xKick
Time: 108361, added: EXPERT 2xKick
Time: 108600, added: EXPERT 2xKick
Time: 108840, added: EXPERT 2xKick
Time: 109081, added: EXPERT 2xKick
Time: 109319, added: EXPERT 2xKick
Time: 111479, added: EXPERT 2xKick
Time: 111720, added: EXPERT 2xKick
Time: 111959, added: EXPERT 2xKick
Time: 112200, added: EXPERT 2xKick
Time: 112440, added: EXPERT 2xKick
Time: 112679, added: EXPERT 2xKick
Time: 112918, added: EXPERT 2xKick
Time: 113158, added: EXPERT 2xKick
Time: 115320, added: EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick
Time: 116999, added: EXPERT 2xKick
Time: 123000, added: EXPERT 2xKick
Time: 123239, added: EXPERT Red
Time: 123239, added: EXPERT 2xKick
Time: 123239, added: HARD Red
Time: 123240, removed: EXPERT Red
Time: 123240, removed: HARD Red
Time: 123480, added: EXPERT 2xKick
Time: 123721, added: EXPERT 2xKick
Time: 123960, added: EXPERT 2xKick
Time: 124199, added: EXPERT 2xKick
Time: 124439, added: EXPERT 2xKick
Time: 124679, added: EXPERT 2xKick
Time: 128760, added: EXPERT 2xKick
Time: 129000, added: EXPERT 2xKick
Time: 129240, added: EXPERT 2xKick
Time: 129480, added: EXPERT 2xKick
Time: 129720, added: EXPERT 2xKick
Time: 129959, added: EXPERT 2xKick
Time: 130199, added: EXPERT 2xKick
Time: 130439, added: EXPERT 2xKick
Time: 132599, added: EXPERT 2xKick
Time: 132839, added: EXPERT 2xKick
Time: 133079, added: EXPERT 2xKick
Time: 133320, added: EXPERT 2xKick
Time: 133560, added: EXPERT 2xKick
Time: 133799, added: EXPERT 2xKick
Time: 134039, added: EXPERT 2xKick
Time: 134279, added: EXPERT 2xKick
Time: 136441, added: EXPERT 2xKick
Time: 136680, added: EXPERT 2xKick
Time: 136921, added: EXPERT 2xKick
Time: 137161, added: EXPERT 2xKick
Time: 137401, added: EXPERT 2xKick
Time: 137640, added: EXPERT 2xKick
Time: 137879, added: EXPERT 2xKick
Time: 138120, added: EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick
Time: 140521, added: EXPERT 2xKick
Time: 140761, added: EXPERT 2xKick
Time: 141000, added: EXPERT 2xKick
Time: 141240, added: EXPERT 2xKick
Time: 141479, added: EXPERT 2xKick
Time: 141720, added: EXPERT 2xKick
Time: 141959, added: EXPERT 2xKick
Time: 144119, added: EXPERT 2xKick
Time: 144359, added: EXPERT 2xKick
Time: 144599, added: EXPERT 2xKick
Time: 144839, added: EXPERT 2xKick
Time: 145081, added: EXPERT 2xKick
Time: 145318, added: EXPERT 2xKick
Time: 145558, added: EXPERT 2xKick
Time: 145798, added: EXPERT 2xKick
Time: 147961, added: EXPERT 2xKick
Time: 148201, added: EXPERT 2xKick
Time: 148441, added: EXPERT 2xKick
Time: 148680, added: EXPERT 2xKick
Time: 148921, added: EXPERT 2xKick
Time: 149160, added: EXPERT 2xKick
Time: 153719, added: EXPERT 2xKick
Time: 153960, added: EXPERT 2xKick
Time: 154200, added: EXPERT 2xKick
Time: 154439, added: EXPERT 2xKick
Time: 154680, added: EXPERT 2xKick
Time: 154919, added: EXPERT 2xKick
Time: 155159, added: EXPERT 2xKick
Time: 155900, added: EXPERT 2xKick
Time: 155981, added: EXPERT Red
Time: 155981, added: EASY Red
Time: 155981, added: MEDIUM Red
Time: 155981, added: EXPERT 2xKick
Time: 155981, added: HARD Red
Time: 156000, removed: EXPERT Red
Time: 156000, removed: EXPERT Yellow
Time: 156000, removed: EASY Red
Time: 156000, removed: MEDIUM Red
Time: 156000, removed: HARD Red
Time: 156080, added: EXPERT Blue
Time: 156080, added: EXPERT Yellow
Time: 156140, removed: EXPERT Blue
Time: 156140, removed: EXPERT Yellow
Time: 156220, added: EXPERT Blue
Time: 156220, added: HARD Yellow
Time: 156220, added: EXPERT Yellow
Time: 156240, removed: HARD Yellow
Time: 156240, removed: EXPERT Yellow
Time: 156240, removed: EXPERT Kick
Time: 156320, added: EXPERT 2xKick
Time: 156320, added: EXPERT Kick
Time: 156380, removed: EXPERT Kick
Time: 156460, added: EXPERT Red
Time: 156460, added: EASY Red
Time: 156460, added: MEDIUM Red
Time: 156460, added: EXPERT 2xKick
Time: 156460, added: HARD Red
Time: 156480, removed: EXPERT Red
Time: 156480, removed: EXPERT Yellow
Time: 156480, removed: EASY Red
Time: 156480, removed: MEDIUM Red
Time: 156480, removed: HARD Red
Time: 156560, added: EXPERT Blue
Time: 156560, added: EXPERT Yellow
Time: 156620, removed: EXPERT Blue
Time: 156620, removed: EXPERT Yellow
Time: 156700, added: EXPERT Blue
Time: 156700, added: HARD Yellow
Time: 156700, added: EXPERT Yellow
Time: 156720, removed: HARD Yellow
Time: 156720, removed: EXPERT Yellow
Time: 156720, removed: EXPERT Kick
Time: 156800, added: EXPERT 2xKick
Time: 156800, added: EXPERT Kick
Time: 156860, removed: EXPERT Kick
Time: 156940, added: DRUM FILL
Time: 156940, added: HARD Yellow
Time: 156940, added: EXPERT Red
Time: 156940, added: EXPERT Yellow
Time: 156940, added: HARD Red
Time: 156940, added: DRUM FILL
Time: 156940, added: DRUM FILL (use all 5)
Time: 156940, added: EASY Red
Time: 156940, added: DRUM FILL
Time: 156940, added: MEDIUM Red
Time: 156940, added: EXPERT 2xKick
Time: 156940, added: DRUM FILL
Time: 156960, removed: DRUM FILL
Time: 156960, removed: HARD Yellow
Time: 156960, removed: EXPERT Red
Time: 156960, removed: EXPERT Yellow
Time: 156960, removed: HARD Red
Time: 156960, removed: DRUM FILL
Time: 156960, removed: DRUM FILL (use all 5)
Time: 156960, removed: EASY Red
Time: 156960, removed: DRUM FILL
Time: 156960, removed: MEDIUM Red
Time: 156960, removed: DRUM FILL
Time: 161401, added: EXPERT 2xKick
Time: 161640, added: EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick
Time: 162121, added: EXPERT 2xKick
Time: 162360, added: EXPERT 2xKick
Time: 162599, added: EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick
Time: 163079, added: EXPERT 2xKick
Time: 165239, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 165961, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166439, added: EXPERT 2xKick
Time: 166679, added: EXPERT 2xKick
Time: 166918, added: EXPERT 2xKick
Time: 169081, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169561, added: EXPERT 2xKick
Time: 169801, added: EXPERT 2xKick
Time: 170040, added: EXPERT 2xKick
Time: 170279, added: EXPERT 2xKick
Time: 170519, added: EXPERT 2xKick
Time: 170759, added: EXPERT 2xKick
Time: 172920, added: EXPERT 2xKick
Time: 173160, added: EXPERT 2xKick
Time: 173401, added: EXPERT 2xKick
Time: 173640, added: EXPERT 2xKick
Time: 173880, added: EXPERT 2xKick
Time: 174118, added: EXPERT 2xKick
Time: 174359, added: EXPERT 2xKick
Time: 174599, added: EXPERT 2xKick
Time: 174840, added: EXPERT 2xKick
Time: 175080, added: EXPERT 2xKick
Time: 175320, added: EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick
Time: 175800, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
Time: 176280, added: EXPERT 2xKick
Time: 176520, added: EXPERT 2xKick
Time: 182520, added: EXPERT 2xKick
Time: 182761, added: EXPERT 2xKick
Time: 183001, added: EXPERT 2xKick
Time: 183241, added: EXPERT 2xKick
Time: 183481, added: EXPERT 2xKick
Time: 183719, added: EXPERT 2xKick
Time: 183959, added: EXPERT 2xKick
Time: 184199, added: EXPERT 2xKick
Time: 190200, added: EXPERT 2xKick
Time: 190439, added: EXPERT 2xKick
Time: 190681, added: EXPERT 2xKick
Time: 190921, added: EXPERT 2xKick
Time: 191160, added: EXPERT 2xKick
Time: 191399, added: EXPERT 2xKick
Time: 191639, added: EXPERT 2xKick
Time: 191879, added: EXPERT 2xKick
Time: 194040, added: EXPERT 2xKick
Time: 194281, added: EXPERT 2xKick
Time: 194520, added: EXPERT 2xKick
Time: 194760, added: EXPERT 2xKick
Time: 195001, added: EXPERT 2xKick
