New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART KEYS'
New track in update: 'PART KEYS_ANIM_LH'
New track in update: 'PART KEYS_ANIM_RH'
New track in update: 'PART REAL_KEYS_E'
New track in update: 'PART REAL_KEYS_H'
New track in update: 'PART REAL_KEYS_M'
New track in update: 'PART REAL_KEYS_X'
Differences found in track 'PART BASS':
Time: 7680, removed: Unknown Note (105), Unknown Note (106)
Time: 9600, removed: Unknown Note (106)
Time: 11520, removed: Unknown Note (106)
Time: 13440, removed: Unknown Note (105)
Time: 15360, removed: Unknown Note (105)
Time: 17280, removed: Unknown Note (105)
Time: 19200, removed: Unknown Note (105), Unknown Note (106)
Time: 21120, removed: Unknown Note (106)
Time: 24956, removed: HARD Red
Time: 24956, removed: MEDIUM Yellow
Time: 24956, removed: EXPERT Green
Time: 24956, removed: EXPERT Red
Time: 24956, removed: EXPERT Yellow
Time: 24956, removed: HARD Blue
Time: 24956, removed: EASY Red
Time: 24956, removed: MEDIUM Red
Time: 24956, removed: Unknown Note (106)
Time: 24960, added: HARD Red
Time: 24960, added: MEDIUM Yellow
Time: 24960, added: EXPERT Green
Time: 24960, added: EXPERT Red
Time: 24960, added: EXPERT Yellow
Time: 24960, added: HARD Blue
Time: 24960, added: EASY Red
Time: 24960, added: MEDIUM Red
Time: 26876, removed: HARD Red
Time: 26876, removed: MEDIUM Yellow
Time: 26876, removed: EXPERT Green
Time: 26876, removed: EXPERT Red
Time: 26876, removed: EXPERT Yellow
Time: 26876, removed: HARD Blue
Time: 26876, removed: EASY Red
Time: 26876, removed: Unknown Note (105)
Time: 26876, removed: MEDIUM Red
Time: 26876, removed: Unknown Note (106)
Time: 26880, added: HARD Red
Time: 26880, added: MEDIUM Yellow
Time: 26880, added: EXPERT Green
Time: 26880, added: EXPERT Red
Time: 26880, added: EXPERT Yellow
Time: 26880, added: HARD Blue
Time: 26880, added: EASY Red
Time: 26880, added: MEDIUM Red
Time: 28800, removed: Unknown Note (105)
Time: 32636, removed: HARD Red
Time: 32636, removed: MEDIUM Yellow
Time: 32636, removed: EXPERT Green
Time: 32636, removed: EXPERT Red
Time: 32636, removed: EXPERT Yellow
Time: 32636, removed: HARD Blue
Time: 32636, removed: EASY Red
Time: 32636, removed: Unknown Note (105)
Time: 32636, removed: MEDIUM Red
Time: 32640, added: HARD Red
Time: 32640, added: MEDIUM Yellow
Time: 32640, added: EXPERT Green
