New track in update: 'HARM1'
New track in update: 'HARM2'
Differences found in track 'PART DRUMS':
Time: 161640, added: EXPERT 2xKick
Time: 161880, added: EXPERT 2xKick
Time: 162120, added: EXPERT 2xKick
Time: 162360, added: EXPERT 2xKick
Time: 162600, added: EXPERT 2xKick
Time: 162840, added: EXPERT 2xKick
Time: 163080, added: EXPERT 2xKick
Time: 163320, added: EXPERT 2xKick
Time: 163560, added: EXPERT 2xKick
Time: 163800, added: EXPERT 2xKick
Time: 164040, added: EXPERT 2xKick
Time: 164280, added: EXPERT 2xKick
Time: 164520, added: EXPERT 2xKick
Time: 164760, added: EXPERT 2xKick
Time: 165000, added: EXPERT 2xKick
Time: 165240, added: EXPERT 2xKick
Time: 165480, added: EXPERT 2xKick
Time: 165720, added: EXPERT 2xKick
Time: 165960, added: EXPERT 2xKick
Time: 166200, added: EXPERT 2xKick
Time: 166440, added: EXPERT 2xKick
Time: 166680, added: EXPERT 2xKick
Time: 166920, added: EXPERT 2xKick
Time: 167160, added: EXPERT 2xKick
Time: 167400, added: EXPERT 2xKick
Time: 167640, added: EXPERT 2xKick
Time: 167880, added: EXPERT 2xKick
Time: 168120, added: EXPERT 2xKick
Time: 168360, added: EXPERT 2xKick
Time: 168600, added: EXPERT 2xKick
Time: 168840, added: EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick
Time: 169560, added: EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick
Time: 170040, added: EXPERT 2xKick
Time: 170280, added: EXPERT 2xKick
Time: 170520, added: EXPERT 2xKick
Time: 170760, added: EXPERT 2xKick
Time: 171000, added: EXPERT 2xKick
Time: 171240, added: EXPERT 2xKick
Time: 171480, added: EXPERT 2xKick
Time: 171720, added: EXPERT 2xKick
Time: 171960, added: EXPERT 2xKick
Time: 172200, added: EXPERT 2xKick
Time: 172440, added: EXPERT 2xKick
Time: 172680, added: EXPERT 2xKick
Time: 172920, added: EXPERT 2xKick
Time: 173160, added: EXPERT 2xKick
Time: 173400, added: EXPERT 2xKick
Time: 173640, added: EXPERT 2xKick
Time: 173880, added: EXPERT 2xKick
Time: 174120, added: EXPERT 2xKick
Time: 174360, added: EXPERT 2xKick
Time: 174600, added: EXPERT 2xKick
Time: 174840, added: EXPERT 2xKick
Time: 175080, added: EXPERT 2xKick
Time: 175320, added: EXPERT 2xKick
Time: 175560, added: EXPERT 2xKick
Time: 175800, added: EXPERT 2xKick
Time: 176040, added: EXPERT 2xKick
