Differences found in track 'PART DRUMS':
Time: 84600, added: EXPERT 2xKick
Time: 85920, added: EXPERT 2xKick
Time: 86520, added: EXPERT 2xKick
Time: 87840, added: EXPERT 2xKick
Time: 88440, added: EXPERT 2xKick
Time: 89760, added: EXPERT 2xKick
Time: 90360, added: EXPERT 2xKick
Time: 92280, added: EXPERT 2xKick
Time: 93600, added: EXPERT 2xKick
Time: 94200, added: EXPERT 2xKick
Time: 95520, added: EXPERT 2xKick
Time: 96120, added: EXPERT 2xKick
Time: 97440, added: EXPERT 2xKick
Time: 98040, added: EXPERT 2xKick
Time: 134520, added: EXPERT 2xKick
Time: 135840, added: EXPERT 2xKick
Time: 136440, added: EXPERT 2xKick
Time: 137760, added: EXPERT 2xKick
Time: 138360, added: EXPERT 2xKick
Time: 139680, added: EXPERT 2xKick
Time: 140280, added: EXPERT 2xKick
Time: 142200, added: EXPERT 2xKick
Time: 143520, added: EXPERT 2xKick
Time: 144120, added: EXPERT 2xKick
Time: 145440, added: EXPERT 2xKick
Time: 146040, added: EXPERT 2xKick
Time: 147360, added: EXPERT 2xKick
Time: 147960, added: EXPERT 2xKick
Time: 205560, added: EXPERT 2xKick
Time: 206880, added: EXPERT 2xKick
Time: 207480, added: EXPERT 2xKick
Time: 208800, added: EXPERT 2xKick
Time: 209400, added: EXPERT 2xKick
Time: 210720, added: EXPERT 2xKick
Time: 211320, added: EXPERT 2xKick
Time: 213240, added: EXPERT 2xKick
Time: 214560, added: EXPERT 2xKick
Time: 215160, added: EXPERT 2xKick
Time: 216480, added: EXPERT 2xKick
Time: 217080, added: EXPERT 2xKick
Time: 218400, added: EXPERT 2xKick
Time: 219000, added: EXPERT 2xKick
Time: 220920, added: EXPERT 2xKick
Time: 222840, added: EXPERT 2xKick
Time: 224760, added: EXPERT 2xKick
Time: 226680, added: EXPERT 2xKick
Time: 228600, added: EXPERT 2xKick
Time: 230520, added: EXPERT 2xKick
Time: 232440, added: EXPERT 2xKick
Time: 234360, added: EXPERT 2xKick
