New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART VOCALS':
Time: 72720, removed: Phrase Marker
Time: 72938, added: Unknown Note (106)
Time: 72938, added: Phrase Marker
Time: 72938, added: OVERDRIVE
Time: 72960, removed: OVERDRIVE
Time: 72960, removed: Unknown Note (106)
Time: 76680, removed: OVERDRIVE, Unknown Note (106)
Time: 76787, added: OVERDRIVE
Time: 76787, added: Phrase Marker
Time: 76787, added: Unknown Note (106)
Time: 76800, removed: Phrase Marker
Time: 80280, removed: Phrase Marker
Time: 80619, added: Phrase Marker
Time: 80619, added: Unknown Note (106)
Time: 80640, removed: Unknown Note (106)
Time: 84000, removed: Unknown Note (106)
Time: 84703, added: Unknown Note (106)
Time: 84703, added: Phrase Marker
Time: 84703, added: OVERDRIVE
Time: 84720, removed: Phrase Marker
Time: 84720, removed: OVERDRIVE
Time: 87960, removed: Phrase Marker, OVERDRIVE
Time: 88300, added: Phrase Marker
Time: 88300, added: OVERDRIVE
Time: 88300, added: Unknown Note (106)
Time: 88320, removed: Unknown Note (106)
Time: 91680, removed: Unknown Note (106)
Time: 91909, added: Phrase Marker
Time: 91909, added: Unknown Note (106)
Time: 91920, removed: Phrase Marker
Time: 91920, removed: Unknown Note (106)
Time: 95520, removed: Phrase Marker, Unknown Note (106)
Time: 95747, added: Phrase Marker
Time: 95747, added: Unknown Note (106)
Time: 95760, removed: Phrase Marker
Time: 95760, removed: Unknown Note (106)
Time: 98640, removed: Phrase Marker, Unknown Note (106)
Time: 98742, added: Phrase Marker
Time: 98742, added: Unknown Note (106)
Time: 98760, removed: Phrase Marker
Time: 102360, removed: Phrase Marker
Time: 102466, added: Unknown Note (106)
Time: 102466, added: Phrase Marker
Time: 102466, added: OVERDRIVE
Time: 102480, removed: OVERDRIVE
Time: 102480, removed: Unknown Note (106)
Time: 106200, removed: OVERDRIVE, Unknown Note (106)
Time: 106309, added: OVERDRIVE
Time: 106309, added: Phrase Marker
Time: 106309, added: Unknown Note (106)
Time: 106320, removed: Phrase Marker
Time: 110040, removed: Phrase Marker
Time: 110141, added: Phrase Marker
Time: 110141, added: Unknown Note (106)
Time: 110160, removed: Unknown Note (106)
Time: 113760, removed: Unknown Note (106)
Time: 113984, added: Unknown Note (106)
Time: 113984, added: Phrase Marker
Time: 113984, added: OVERDRIVE
Time: 114000, removed: Phrase Marker
Time: 114000, removed: OVERDRIVE
Time: 117600, removed: Phrase Marker, OVERDRIVE
