New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART DRUMS':
Time: 122280, added: EXPERT 2xKick
Time: 122380, added: EXPERT 2xKick
Time: 123600, added: EXPERT 2xKick
Time: 123740, added: EXPERT 2xKick
Time: 123740, added: EXPERT Kick
Time: 123760, removed: EASY Red
Time: 123760, removed: HARD Green
Time: 123760, removed: MEDIUM Red
Time: 123760, removed: EXPERT Green
Time: 123760, removed: HARD Red
Time: 123760, removed: EXPERT Kick
Time: 123760, removed: EASY Green
Time: 123760, removed: EXPERT Red
Time: 123760, removed: MEDIUM Green
Time: 123840, added: EASY Red
Time: 123840, added: HARD Green
Time: 123840, added: MEDIUM Red
Time: 123840, added: EXPERT Green
Time: 123840, added: HARD Red
Time: 123840, added: EASY Green
Time: 123840, added: EXPERT Red
Time: 123840, added: MEDIUM Green
Time: 123900, removed: EASY Red
Time: 123900, removed: HARD Green
Time: 123900, removed: MEDIUM Red
Time: 123900, removed: EXPERT Green
Time: 123900, removed: HARD Red
Time: 123900, removed: EASY Green
Time: 123900, removed: EXPERT Red
Time: 123900, removed: MEDIUM Green
Time: 125520, added: EXPERT 2xKick
Time: 125660, added: EXPERT 2xKick
Time: 125660, added: EXPERT Kick
Time: 125680, removed: EASY Red
Time: 125680, removed: HARD Green
Time: 125680, removed: MEDIUM Red
Time: 125680, removed: EXPERT Green
Time: 125680, removed: HARD Red
Time: 125680, removed: EXPERT Kick
Time: 125680, removed: EASY Green
Time: 125680, removed: EXPERT Red
Time: 125680, removed: MEDIUM Green
Time: 125760, added: EASY Red
Time: 125760, added: HARD Green
Time: 125760, added: MEDIUM Red
Time: 125760, added: EXPERT Green
Time: 125760, added: HARD Red
Time: 125760, added: EASY Green
Time: 125760, added: EXPERT Red
Time: 125760, added: MEDIUM Green
Time: 125820, removed: EASY Red
Time: 125820, removed: HARD Green
Time: 125820, removed: MEDIUM Red
Time: 125820, removed: EXPERT Green
Time: 125820, removed: HARD Red
Time: 125820, removed: EASY Green
Time: 125820, removed: EXPERT Red
Time: 125820, removed: MEDIUM Green
Time: 126000, added: EXPERT 2xKick
Time: 126140, added: EXPERT 2xKick
Time: 126140, added: EXPERT Kick
Time: 126160, removed: EASY Red
Time: 126160, removed: HARD Green
Time: 126160, removed: MEDIUM Red
Time: 126160, removed: EXPERT Green
Time: 126160, removed: HARD Red
Time: 126160, removed: EXPERT Kick
Time: 126160, removed: EASY Green
Time: 126160, removed: EXPERT Red
Time: 126160, removed: MEDIUM Green
Time: 126240, added: EASY Red
Time: 126240, added: HARD Green
Time: 126240, added: MEDIUM Red
Time: 126240, added: EXPERT Green
Time: 126240, added: HARD Red
Time: 126240, added: EASY Green
Time: 126240, added: EXPERT Red
Time: 126240, added: MEDIUM Green
Time: 126300, removed: EASY Red
Time: 126300, removed: HARD Green
Time: 126300, removed: MEDIUM Red
Time: 126300, removed: EXPERT Green
Time: 126300, removed: HARD Red
Time: 126300, removed: EASY Green
Time: 126300, removed: EXPERT Red
Time: 126300, removed: MEDIUM Green
Time: 127440, added: EXPERT 2xKick
Time: 127580, added: EXPERT 2xKick
Time: 127580, added: EXPERT Kick
Time: 127600, removed: EASY Red
Time: 127600, removed: HARD Green
Time: 127600, removed: MEDIUM Red
Time: 127600, removed: EXPERT Green
Time: 127600, removed: HARD Red
Time: 127600, removed: EXPERT Kick
Time: 127600, removed: EASY Green
Time: 127600, removed: EXPERT Red
Time: 127600, removed: MEDIUM Green
Time: 127680, added: EASY Red
Time: 127680, added: HARD Green
Time: 127680, added: MEDIUM Red
Time: 127680, added: EXPERT Green
Time: 127680, added: HARD Red
Time: 127680, added: EASY Green
Time: 127680, added: EXPERT Red
Time: 127680, added: MEDIUM Green
Time: 127740, removed: EASY Red
Time: 127740, removed: HARD Green
Time: 127740, removed: MEDIUM Red
Time: 127740, removed: EXPERT Green
Time: 127740, removed: HARD Red
Time: 127740, removed: EASY Green
Time: 127740, removed: EXPERT Red
Time: 127740, removed: MEDIUM Green
Time: 129360, added: EXPERT 2xKick
Time: 129500, added: EXPERT 2xKick
Time: 129500, added: EXPERT Kick
Time: 129520, removed: EASY Red
Time: 129520, removed: HARD Green
Time: 129520, removed: MEDIUM Red
Time: 129520, removed: EXPERT Green
Time: 129520, removed: HARD Red
Time: 129520, removed: EXPERT Kick
Time: 129520, removed: EASY Green
Time: 129520, removed: EXPERT Red
Time: 129520, removed: MEDIUM Green
Time: 129600, added: EASY Red
Time: 129600, added: HARD Green
Time: 129600, added: MEDIUM Red
Time: 129600, added: EXPERT Green
Time: 129600, added: HARD Red
Time: 129600, added: EASY Green
Time: 129600, added: EXPERT Red
Time: 129600, added: MEDIUM Green
Time: 129660, removed: EASY Red
Time: 129660, removed: HARD Green
Time: 129660, removed: MEDIUM Red
Time: 129660, removed: EXPERT Green
Time: 129660, removed: HARD Red
Time: 129660, removed: EASY Green
Time: 129660, removed: EXPERT Red
