New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
Differences found in track 'PART GUITAR':
Time: 74280, removed: EXPERT Yellow
Time: 74760, added: LANE MARKER
Time: 74836, removed: MEDIUM Red
Time: 74836, removed: EASY Red
Time: 74836, removed: LANE MARKER
Time: 74836, removed: EXPERT Green
Time: 74836, removed: HARD Red
Time: 74836, removed: EXPERT Red
Time: 74836, removed: LANE MARKER
Time: 74880, added: MEDIUM Red
Time: 74880, added: EASY Red
Time: 74880, added: EASY Red
Time: 74880, added: MEDIUM Red
Time: 74880, added: HARD Red
Time: 74880, added: EXPERT Red
Time: 74880, added: HARD Red
Time: 74880, added: EXPERT Red
Time: 74880, added: LANE MARKER
Time: 74940, removed: EXPERT Red
Time: 74940, removed: EASY Red
Time: 74940, removed: HARD Red
Time: 74940, removed: EXPERT Red
Time: 74940, removed: MEDIUM Red
Time: 75000, added: EXPERT Red
Time: 75000, added: EXPERT Red
Time: 75060, removed: HARD Red
Time: 75060, removed: MEDIUM Red
Time: 75060, removed: EXPERT Red
Time: 75060, removed: EXPERT Red
Time: 75120, added: HARD Red
Time: 75120, added: MEDIUM Red
Time: 75120, added: HARD Red
Time: 75120, added: EXPERT Red
Time: 75120, added: MEDIUM Red
Time: 75120, added: EXPERT Red
Time: 75180, removed: HARD Red
Time: 75180, removed: MEDIUM Red
Time: 75180, removed: EXPERT Red
Time: 75180, removed: EXPERT Red
Time: 75240, added: EXPERT Red
Time: 75240, added: EXPERT Red
Time: 75300, removed: EXPERT Red
Time: 75300, removed: HARD Red
Time: 75300, removed: EXPERT Red
Time: 75360, added: HARD Red
Time: 75360, added: HARD Red
Time: 75360, added: EXPERT Red
Time: 75360, added: EXPERT Red
Time: 75420, removed: HARD Red
Time: 75420, removed: EXPERT Red
Time: 75420, removed: EXPERT Red
Time: 75480, added: EXPERT Red
Time: 75480, added: EXPERT Red
Time: 75540, removed: MEDIUM Red
Time: 75540, removed: EASY Red
Time: 75540, removed: HARD Red
Time: 75540, removed: EXPERT Red
Time: 75540, removed: EXPERT Red
Time: 75600, added: MEDIUM Red
Time: 75600, added: EASY Red
Time: 75600, added: EASY Red
Time: 75600, added: MEDIUM Red
Time: 75600, added: HARD Red
Time: 75600, added: HARD Red
Time: 75600, added: EXPERT Red
Time: 75600, added: EXPERT Red
Time: 75660, removed: EXPERT Red
Time: 75660, removed: EASY Red
Time: 75660, removed: HARD Red
Time: 75660, removed: EXPERT Red
Time: 75660, removed: MEDIUM Red
Time: 75720, added: EXPERT Red
Time: 75720, added: EXPERT Red
Time: 75780, removed: HARD Red
Time: 75780, removed: MEDIUM Red
Time: 75780, removed: EXPERT Red
Time: 75780, removed: EXPERT Red
Time: 75840, added: HARD Red
Time: 75840, added: MEDIUM Red
Time: 75840, added: HARD Red
Time: 75840, added: EXPERT Red
Time: 75840, added: MEDIUM Red
Time: 75840, added: EXPERT Red
Time: 75900, removed: HARD Red
Time: 75900, removed: MEDIUM Red
Time: 75900, removed: EXPERT Red
Time: 75900, removed: EXPERT Red
Time: 75960, added: EXPERT Red
Time: 75960, added: EXPERT Red
Time: 76020, removed: EXPERT Red
Time: 76020, removed: HARD Red
Time: 76020, removed: EXPERT Red
Time: 76080, added: HARD Red
Time: 76080, added: HARD Red
Time: 76080, added: EXPERT Red
Time: 76080, added: EXPERT Red
Time: 76140, removed: HARD Red
Time: 76140, removed: EXPERT Red
Time: 76140, removed: EXPERT Red
Time: 76200, added: EXPERT Red
Time: 76200, added: EXPERT Red
Time: 76260, removed: MEDIUM Red
Time: 76260, removed: EASY Red
Time: 76260, removed: HARD Red
Time: 76260, removed: EXPERT Red
Time: 76260, removed: EXPERT Red
Time: 76320, added: MEDIUM Red
Time: 76320, added: EASY Red
Time: 76320, added: EASY Red
Time: 76320, added: MEDIUM Red
Time: 76320, added: HARD Red
Time: 76320, added: HARD Red
Time: 76320, added: EXPERT Red
Time: 76320, added: EXPERT Red
Time: 76380, removed: EXPERT Red
Time: 76380, removed: EASY Red
Time: 76380, removed: HARD Red
Time: 76380, removed: EXPERT Red
Time: 76380, removed: MEDIUM Red
Time: 76440, added: EXPERT Red
Time: 76440, added: EXPERT Red
Time: 76500, removed: HARD Red
Time: 76500, removed: MEDIUM Red
Time: 76500, removed: EXPERT Red
Time: 76500, removed: EXPERT Red
Time: 76560, added: HARD Red
Time: 76560, added: MEDIUM Red
Time: 76560, added: HARD Red
Time: 76560, added: EXPERT Red
Time: 76560, added: MEDIUM Red
Time: 76560, added: EXPERT Red
Time: 76620, removed: HARD Red
Time: 76620, removed: MEDIUM Red
Time: 76620, removed: EXPERT Red
Time: 76620, removed: EXPERT Red
Time: 76680, added: EXPERT Red
Time: 76680, added: EXPERT Red
Time: 76740, removed: EXPERT Red
Time: 76740, removed: HARD Red
Time: 76740, removed: EXPERT Red
Time: 76800, added: HARD Red
Time: 76800, added: HARD Red
Time: 76800, added: EXPERT Red
Time: 76800, added: EXPERT Red
Time: 76860, removed: HARD Red
Time: 76860, removed: EXPERT Red
Time: 76860, removed: EXPERT Red
Time: 76920, added: EXPERT Red
Time: 76920, added: EXPERT Red
Time: 76980, removed: MEDIUM Red
Time: 76980, removed: EASY Red
Time: 76980, removed: HARD Red
Time: 76980, removed: EXPERT Red
Time: 76980, removed: EXPERT Red
Time: 77040, added: MEDIUM Red
Time: 77040, added: EASY Red
Time: 77040, added: EASY Red
Time: 77040, added: MEDIUM Red
Time: 77040, added: HARD Red
Time: 77040, added: HARD Red
Time: 77040, added: EXPERT Red
Time: 77040, added: EXPERT Red
Time: 77100, removed: EXPERT Red
Time: 77100, removed: EASY Red
Time: 77100, removed: HARD Red
Time: 77100, removed: EXPERT Red
Time: 77100, removed: MEDIUM Red
Time: 77160, added: EXPERT Red
Time: 77160, added: LANE MARKER
Time: 77160, added: EXPERT Red
Time: 77220, removed: EXPERT Green
Time: 77220, removed: LANE MARKER
Time: 77220, removed: EXPERT Red
Time: 77220, removed: HARD Orange
Time: 77220, removed: MEDIUM Blue
Time: 77220, removed: EXPERT Red
Time: 77280, added: HARD Orange
Time: 77280, added: MEDIUM Blue
Time: 77280, added: EXPERT Green
Time: 77280, added: EXPERT Green
Time: 77280, added: HARD Orange
Time: 77280, added: EXPERT Orange
Time: 77280, added: MEDIUM Blue
Time: 77340, removed: HARD Orange
Time: 77340, removed: EXPERT Orange
Time: 77340, removed: MEDIUM Blue
Time: 77340, removed: EXPERT Green
Time: 79980, added: LANE MARKER
Time: 80058, removed: EXPERT Yellow
Time: 80058, removed: LANE MARKER
Time: 80058, removed: EXPERT Green
Time: 80058, removed: LANE MARKER
Time: 80100, added: LANE MARKER
Time: 80100, added: HARD Green
Time: 80100, added: EXPERT Green
Time: 80100, added: EXPERT Green
Time: 80100, added: MEDIUM Green
Time: 80160, removed: HARD Green
Time: 80160, removed: EXPERT Green
Time: 80160, removed: MEDIUM Green
Time: 80160, removed: EXPERT Green
Time: 80160, removed: HARD Green
Time: 80160, removed: MEDIUM Green
Time: 80220, added: EXPERT Green
Time: 80220, added: HARD Green
Time: 80220, added: EXPERT Green
Time: 80220, added: MEDIUM Green
Time: 80280, removed: EXPERT Green
Time: 80280, removed: EXPERT Green
Time: 80340, added: HARD Green
Time: 80340, added: EXPERT Green
Time: 80340, added: EXPERT Green
Time: 80400, removed: HARD Green
Time: 80400, removed: EXPERT Green
Time: 80400, removed: EXPERT Green
Time: 80400, removed: HARD Green
Time: 80460, added: HARD Green
Time: 80460, added: EXPERT Green
Time: 80460, added: EXPERT Green
Time: 80520, removed: EXPERT Green
Time: 80520, removed: EXPERT Green
Time: 80580, added: MEDIUM Red
Time: 80580, added: EASY Red
Time: 80580, added: LANE MARKER
Time: 80580, added: LANE MARKER
Time: 80580, added: EXPERT Green
Time: 80580, added: HARD Red
Time: 80580, added: EXPERT Red
Time: 80580, added: OVERDRIVE
Time: 80596, removed: MEDIUM Red
Time: 80596, removed: EASY Red
Time: 80596, removed: LANE MARKER
Time: 80596, removed: LANE MARKER
Time: 80596, removed: EXPERT Green
Time: 80596, removed: HARD Red
Time: 80596, removed: EXPERT Red
Time: 80596, removed: OVERDRIVE
Time: 82740, removed: EXPERT Red
