Differences found in track 'PART DRUMS':
Time: 21240, removed: DRUM ROLL
Time: 21360, added: DRUM ROLL
Time: 25080, removed: DRUM ROLL
Time: 25200, added: DRUM ROLL
Time: 30690, added: DRUM ROLL
Time: 30690, added: EXPERT Kick
Time: 30690, added: MEDIUM Yellow
Time: 30690, added: HARD Yellow
Time: 30690, added: EXPERT Yellow
Time: 30690, added: MEDIUM Kick
Time: 30690, added: HARD Kick
Time: 30690, added: EASY Yellow
Time: 30690, added: EXPERT Yellow
Time: 30720, removed: HARD Kick
Time: 30720, removed: MEDIUM Kick
Time: 30720, removed: DRUM ROLL
Time: 30720, removed: EXPERT Kick
Time: 30720, removed: MEDIUM Yellow
Time: 30720, removed: HARD Yellow
Time: 30720, removed: EXPERT Yellow
Time: 30720, removed: MEDIUM Yellow
Time: 30720, removed: HARD Yellow
Time: 30720, removed: MEDIUM Kick
Time: 30720, removed: HARD Kick
Time: 30720, removed: EASY Yellow
Time: 30720, removed: EXPERT Kick
Time: 30720, removed: EASY Yellow
Time: 30720, removed: EXPERT Yellow
Time: 30780, added: HARD Kick
Time: 30780, added: EASY Yellow
Time: 30780, added: MEDIUM Kick
Time: 30780, added: EXPERT Yellow
Time: 30780, added: EXPERT Kick
Time: 30780, added: MEDIUM Yellow
Time: 30780, added: HARD Yellow
Time: 32370, added: DRUM ROLL
Time: 32370, added: EXPERT Kick
Time: 32370, added: MEDIUM Yellow
Time: 32370, added: HARD Yellow
Time: 32370, added: EXPERT Yellow
Time: 32370, added: HARD Kick
Time: 32370, added: EASY Yellow
Time: 32370, added: EXPERT Yellow
Time: 32400, removed: HARD Kick
Time: 32400, removed: DRUM ROLL
Time: 32400, removed: EXPERT Kick
Time: 32400, removed: MEDIUM Yellow
Time: 32400, removed: HARD Yellow
Time: 32400, removed: EXPERT Yellow
Time: 32400, removed: MEDIUM Yellow
Time: 32400, removed: HARD Yellow
Time: 32400, removed: HARD Kick
Time: 32400, removed: EASY Yellow
Time: 32400, removed: EXPERT Kick
Time: 32400, removed: EASY Yellow
Time: 32400, removed: EXPERT Yellow
Time: 32460, added: HARD Kick
Time: 32460, added: EASY Yellow
Time: 32460, added: EXPERT Yellow
Time: 32460, added: EXPERT Kick
Time: 32460, added: MEDIUM Yellow
Time: 32460, added: HARD Yellow
Time: 38280, removed: DRUM ROLL
Time: 38370, added: MEDIUM Green
Time: 38370, added: HARD Green
Time: 38370, added: DRUM ROLL
Time: 38370, added: EXPERT Kick
Time: 38370, added: EASY Green
Time: 38370, added: EXPERT Yellow
Time: 38370, added: MEDIUM Kick
Time: 38370, added: EXPERT Green
Time: 38370, added: HARD Kick
Time: 38400, removed: MEDIUM Green
Time: 38400, removed: HARD Kick
Time: 38400, removed: HARD Green
Time: 38400, removed: MEDIUM Kick
Time: 38400, removed: HARD Green
Time: 38400, removed: EXPERT Green
Time: 38400, removed: EXPERT Kick
Time: 38400, removed: EASY Green
Time: 38400, removed: EXPERT Yellow
Time: 38400, removed: EASY Green
Time: 38400, removed: MEDIUM Green
Time: 38400, removed: MEDIUM Kick
Time: 38400, removed: EXPERT Green
Time: 38400, removed: HARD Kick
Time: 38400, removed: EXPERT Kick
Time: 38460, added: EASY Green
Time: 38460, added: HARD Kick
Time: 38460, added: MEDIUM Green
Time: 38460, added: MEDIUM Kick
Time: 38460, added: HARD Green
Time: 38460, added: EXPERT Kick
Time: 38460, added: EXPERT Green
Time: 61080, removed: CYMBAL SWELLS
Time: 61170, added: CYMBAL SWELLS
Time: 163620, removed: CYMBAL SWELLS
Time: 163710, added: CYMBAL SWELLS
Differences found in track 'PART GUITAR':
Time: 121952, removed: EXPERT Yellow
Time: 121952, removed: EXPERT Green
Time: 121952, removed: LANE MARKER
Time: 121980, added: EXPERT Yellow
Time: 121980, added: HARD Red
