New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 4080, added: EXPERT 2xKick
Time: 4178, added: EXPERT 2xKick
Time: 4178, added: EXPERT Yellow
Time: 4178, added: EXPERT Kick
Time: 4178, added: HARD Kick
Time: 4200, removed: HARD Kick
Time: 4200, removed: EXPERT Yellow
Time: 4200, removed: EXPERT Kick
Time: 4260, added: EXPERT 2xKick
Time: 4260, added: EXPERT Yellow
Time: 4260, added: HARD Red
Time: 4260, added: MEDIUM Yellow
Time: 4260, added: EXPERT Kick
Time: 4260, added: HARD Yellow
Time: 4260, added: EXPERT Red
Time: 4260, added: EASY Red
Time: 4260, added: MEDIUM Red
Time: 4320, removed: EXPERT Yellow
Time: 4320, removed: HARD Red
Time: 4320, removed: MEDIUM Yellow
Time: 4320, removed: EXPERT Kick
Time: 4320, removed: HARD Yellow
Time: 4320, removed: EXPERT Red
Time: 4320, removed: EASY Red
Time: 4320, removed: MEDIUM Red
Time: 4358, added: EXPERT 2xKick
Time: 4358, added: EXPERT Yellow
Time: 4358, added: HARD Red
Time: 4358, added: MEDIUM Yellow
Time: 4358, added: EXPERT Kick
Time: 4358, added: HARD Yellow
Time: 4358, added: EXPERT Red
Time: 4358, added: EASY Red
Time: 4358, added: MEDIUM Red
Time: 4440, added: EXPERT 2xKick
Time: 4538, added: EXPERT 2xKick
Time: 4538, added: EXPERT Yellow
Time: 4538, added: HARD Red
Time: 4538, added: MEDIUM Yellow
Time: 4538, added: EXPERT Kick
Time: 4538, added: HARD Yellow
Time: 4538, added: EXPERT Red
Time: 4538, added: EASY Red
Time: 4538, added: MEDIUM Red
Time: 4560, removed: EXPERT Yellow
Time: 4560, removed: HARD Red
Time: 4560, removed: MEDIUM Yellow
Time: 4560, removed: EXPERT Kick
Time: 4560, removed: HARD Yellow
Time: 4560, removed: EXPERT Red
Time: 4560, removed: EASY Red
Time: 4560, removed: MEDIUM Red
Time: 4620, added: EXPERT 2xKick
Time: 4620, added: EXPERT Yellow
Time: 4620, added: EXPERT Kick
Time: 4620, added: HARD Kick
Time: 4680, removed: HARD Kick
Time: 4680, removed: EXPERT Yellow
Time: 4680, removed: EXPERT Kick
Time: 4718, added: HARD Kick
Time: 4718, added: EXPERT Yellow
Time: 4718, added: EXPERT Kick
Time: 4718, added: EXPERT 2xKick
Time: 4800, added: EXPERT 2xKick
Time: 4898, added: EXPERT 2xKick
Time: 4898, added: EXPERT Yellow
Time: 4898, added: EXPERT Kick
Time: 4898, added: HARD Kick
Time: 4920, removed: HARD Kick
Time: 4920, removed: EXPERT Yellow
