New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
Differences found in track 'PART DRUMS':
Time: 39960, added: EXPERT 2xKick
Time: 40080, added: EXPERT 2xKick
Time: 40440, added: EXPERT 2xKick
Time: 40560, added: EXPERT 2xKick
Time: 40920, added: EXPERT 2xKick
Time: 41040, added: EXPERT 2xKick
Time: 41400, added: EXPERT 2xKick
Time: 41520, added: EXPERT 2xKick
Time: 41880, added: EXPERT 2xKick
Time: 42000, added: EXPERT 2xKick
Time: 42360, added: EXPERT 2xKick
Time: 42480, added: EXPERT 2xKick
Time: 42840, added: EXPERT 2xKick
Time: 42960, added: EXPERT 2xKick
Time: 43320, added: EXPERT 2xKick
Time: 43440, added: EXPERT 2xKick
Time: 43800, added: EXPERT 2xKick
Time: 43920, added: EXPERT 2xKick
Time: 44280, added: EXPERT 2xKick
Time: 44400, added: EXPERT 2xKick
Time: 44760, added: EXPERT 2xKick
Time: 44880, added: EXPERT 2xKick
Time: 45240, added: EXPERT 2xKick
Time: 45360, added: EXPERT 2xKick
Time: 45720, added: EXPERT 2xKick
Time: 45840, added: EXPERT 2xKick
Time: 46200, added: EXPERT 2xKick
Time: 46320, added: EXPERT 2xKick
Time: 46680, added: EXPERT 2xKick
Time: 46800, added: EXPERT 2xKick
Time: 47160, added: EXPERT 2xKick
Time: 47280, added: EXPERT 2xKick
Time: 47640, added: EXPERT 2xKick
Time: 47760, added: EXPERT 2xKick
Time: 48120, added: EXPERT 2xKick
Time: 48240, added: EXPERT 2xKick
Time: 48600, added: EXPERT 2xKick
Time: 48720, added: EXPERT 2xKick
Time: 49080, added: EXPERT 2xKick
Time: 49200, added: EXPERT 2xKick
Time: 49560, added: EXPERT 2xKick
Time: 49680, added: EXPERT 2xKick
Time: 50040, added: EXPERT 2xKick
Time: 50160, added: EXPERT 2xKick
Time: 50520, added: EXPERT 2xKick
Time: 50640, added: EXPERT 2xKick
Time: 51000, added: EXPERT 2xKick
Time: 51120, added: EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick
Time: 51600, added: EXPERT 2xKick
Time: 51960, added: EXPERT 2xKick
Time: 52080, added: EXPERT 2xKick
Time: 52440, added: EXPERT 2xKick
Time: 52560, added: EXPERT 2xKick
Time: 52920, added: EXPERT 2xKick
Time: 53040, added: EXPERT 2xKick
Time: 53400, added: EXPERT 2xKick
Time: 53520, added: EXPERT 2xKick
Time: 53880, added: EXPERT 2xKick
Time: 54000, added: EXPERT 2xKick
Time: 54360, added: EXPERT 2xKick
Time: 54480, added: EXPERT 2xKick
Time: 55080, added: EXPERT 2xKick
Time: 55200, added: EXPERT 2xKick
Time: 55560, added: EXPERT 2xKick
Time: 55680, added: EXPERT 2xKick
Time: 56040, added: EXPERT 2xKick
Time: 56160, added: EXPERT 2xKick
Time: 56520, added: EXPERT 2xKick
Time: 56640, added: EXPERT 2xKick
Time: 57000, added: EXPERT 2xKick
Time: 57120, added: EXPERT 2xKick
Time: 57480, added: EXPERT 2xKick
Time: 57600, added: EXPERT 2xKick
Time: 57960, added: EXPERT 2xKick
Time: 58080, added: EXPERT 2xKick
Time: 58680, added: EXPERT 2xKick
Time: 58800, added: EXPERT 2xKick
Time: 59160, added: EXPERT 2xKick
Time: 59280, added: EXPERT 2xKick
Time: 59640, added: EXPERT 2xKick
Time: 59760, added: EXPERT 2xKick
Time: 60120, added: EXPERT 2xKick
Time: 60240, added: EXPERT 2xKick
Time: 60600, added: EXPERT 2xKick
Time: 60720, added: EXPERT 2xKick
Time: 61080, added: EXPERT 2xKick
Time: 61200, added: EXPERT 2xKick
Time: 61560, added: EXPERT 2xKick
Time: 61680, added: EXPERT 2xKick
Time: 62280, added: EXPERT 2xKick
Time: 62400, added: EXPERT 2xKick
Time: 62760, added: EXPERT 2xKick
Time: 62880, added: EXPERT 2xKick
Time: 63240, added: EXPERT 2xKick
Time: 63360, added: EXPERT 2xKick
Time: 63720, added: EXPERT 2xKick
Time: 63840, added: EXPERT 2xKick
Time: 64200, added: EXPERT 2xKick
Time: 64320, added: EXPERT 2xKick
Time: 64680, added: EXPERT 2xKick
Time: 64800, added: EXPERT 2xKick
Time: 65160, added: EXPERT 2xKick
Time: 65280, added: EXPERT 2xKick
Time: 65880, added: EXPERT 2xKick
Time: 66000, added: EXPERT 2xKick
Time: 66360, added: EXPERT 2xKick
Time: 66480, added: EXPERT 2xKick
Time: 66840, added: EXPERT 2xKick
Time: 66960, added: EXPERT 2xKick
Time: 67320, added: EXPERT 2xKick
Time: 67440, added: EXPERT 2xKick
Time: 67800, added: EXPERT 2xKick
Time: 67920, added: EXPERT 2xKick
Time: 68280, added: EXPERT 2xKick
Time: 68400, added: EXPERT 2xKick
Time: 68760, added: EXPERT 2xKick
Time: 68880, added: EXPERT 2xKick
