New track in update: 'PART REAL_BASS'
New track in update: 'PART REAL_GUITAR'
New track in update: 'PART REAL_GUITAR_22'
Differences found in track 'PART DRUMS':
Time: 50520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 50760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 51720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 53640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 69000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 84360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 98520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 98760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 99480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 99720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 115800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 116760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 117960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 118920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 119880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 120840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 121800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122040, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122280, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122520, added: EXPERT 2xKick, EXPERT 2xKick
Time: 122760, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123000, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123240, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123480, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 123960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 124800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 126600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 153720, added: EXPERT 2xKick, EXPERT 2xKick
Time: 153960, added: EXPERT 2xKick, EXPERT 2xKick
Time: 154200, added: EXPERT 2xKick, EXPERT 2xKick
Time: 154440, added: EXPERT 2xKick, EXPERT 2xKick
Time: 154680, added: EXPERT 2xKick, EXPERT 2xKick
Time: 154920, added: EXPERT 2xKick, EXPERT 2xKick
Time: 155160, added: EXPERT 2xKick, EXPERT 2xKick
Time: 155400, added: EXPERT 2xKick, EXPERT 2xKick
Time: 155640, added: EXPERT 2xKick, EXPERT 2xKick
Time: 155880, added: EXPERT 2xKick, EXPERT 2xKick
Time: 156120, added: EXPERT 2xKick, EXPERT 2xKick
Time: 156360, added: EXPERT 2xKick, EXPERT 2xKick
Time: 156600, added: EXPERT 2xKick, EXPERT 2xKick
Time: 156840, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 157800, added: EXPERT 2xKick, EXPERT 2xKick
Time: 169080, added: EXPERT 2xKick, EXPERT 2xKick
Time: 169320, added: EXPERT 2xKick, EXPERT 2xKick
Time: 169560, added: EXPERT 2xKick, EXPERT 2xKick
Time: 169800, added: EXPERT 2xKick, EXPERT 2xKick
