New track in update: 'battlesandbrotherhood_rbn'
Differences found in track 'PART BASS':
Time: 205440, removed: MEDIUM Blue, EASY Yellow, added: EASY Orange, MEDIUM Orange
Time: 206640, removed: EASY Yellow, added: EASY Orange
Time: 206880, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 407040, added: OVERDRIVE
Time: 410880, added: OVERDRIVE
Time: 451200, added: OVERDRIVE
Time: 455040, added: OVERDRIVE
Time: 514560, added: OVERDRIVE
Time: 520320, added: OVERDRIVE
Differences found in track 'PART DRUMS':
Time: 21120, added: TOM GEMS PAD 2
Time: 21240, added: TOM GEMS PAD 2
Time: 21360, added: TOM GEMS PAD 2
Time: 21480, added: TOM GEMS PAD 2
Time: 21600, added: TOM GEMS PAD 3
Time: 21720, added: TOM GEMS PAD 3
Time: 21840, added: TOM GEMS PAD 3
Time: 21960, added: TOM GEMS PAD 3
Time: 36480, added: TOM GEMS PAD 2
Time: 36600, added: TOM GEMS PAD 2
Time: 36720, added: TOM GEMS PAD 2
Time: 36840, added: TOM GEMS PAD 2
Time: 36960, added: TOM GEMS PAD 3
Time: 37080, added: TOM GEMS PAD 3
Time: 37200, added: TOM GEMS PAD 3
Time: 37320, added: TOM GEMS PAD 3
Time: 37440, added: TOM GEMS PAD 4
Time: 37560, added: TOM GEMS PAD 4
Time: 37680, added: TOM GEMS PAD 4
Time: 37800, added: TOM GEMS PAD 4
Time: 37920, added: TOM GEMS PAD 3
Time: 38040, added: TOM GEMS PAD 3
Time: 38160, added: TOM GEMS PAD 3
Time: 38280, added: TOM GEMS PAD 3
Time: 50400, added: TOM GEMS PAD 2
Time: 50520, added: TOM GEMS PAD 2
Time: 51360, added: TOM GEMS PAD 2
Time: 51480, added: TOM GEMS PAD 2
Time: 52800, added: TOM GEMS PAD 2
Time: 52920, added: TOM GEMS PAD 2
Time: 53040, added: TOM GEMS PAD 2
Time: 53160, added: TOM GEMS PAD 2
Time: 53280, added: TOM GEMS PAD 3
Time: 53400, added: TOM GEMS PAD 3
Time: 53520, added: TOM GEMS PAD 3
Time: 53640, added: TOM GEMS PAD 3
Time: 67200, added: TOM GEMS PAD 2
Time: 67320, added: TOM GEMS PAD 2
Time: 67440, added: TOM GEMS PAD 2
Time: 67560, added: TOM GEMS PAD 2
Time: 67680, added: TOM GEMS PAD 3
Time: 67800, added: TOM GEMS PAD 3
