New track in update: 'HARM1'
New track in update: 'HARM2'
New track in update: 'HARM3'
New track in update: 'mechanicallove_rbn'
Differences found in track 'PART BASS':
Time: 17160, removed: EXPERT Blue
Time: 17520, added: EXPERT Blue
Time: 19080, removed: EXPERT Green
Time: 19440, added: EXPERT Green
Time: 47760, added: Force HOPO Off
Time: 47880, added: Force HOPO Off
Time: 51360, removed: HARD Orange, EXPERT Orange, added: HARD Yellow, EXPERT Yellow
Time: 51480, removed: HARD Orange, EXPERT Orange, added: HARD Yellow, EXPERT Yellow
Time: 51720, removed: EXPERT Blue
Time: 52080, added: EXPERT Blue
Time: 53640, removed: EXPERT Yellow
Time: 54000, added: EXPERT Yellow
Time: 55560, removed: EXPERT Red
Time: 55920, added: EXPERT Red
Time: 57480, removed: EXPERT Green
Time: 57840, added: EXPERT Green
Time: 59400, removed: EXPERT Orange
Time: 59760, added: EXPERT Orange
Time: 61320, removed: EXPERT Blue
Time: 61680, added: EXPERT Blue
Time: 63240, removed: EXPERT Yellow
Time: 63600, added: EXPERT Yellow
Time: 65160, removed: EXPERT Red
Time: 65520, added: EXPERT Red
Time: 67320, removed: EXPERT Red
Time: 67680, added: EXPERT Red
Time: 68040, removed: EXPERT Red
Time: 68400, added: EXPERT Red
Time: 68760, removed: EXPERT Blue
Time: 69120, added: EXPERT Blue
Time: 69480, removed: EXPERT Blue
Time: 70080, added: EXPERT Blue
Time: 70440, removed: EXPERT Red
Time: 70800, added: EXPERT Red
Time: 71160, removed: EXPERT Red
Time: 71520, added: EXPERT Red
Time: 71880, removed: EXPERT Red
Time: 72240, added: EXPERT Red
Time: 72600, removed: EXPERT Blue
Time: 72960, added: EXPERT Blue
Time: 73320, removed: EXPERT Blue
Time: 73920, added: EXPERT Blue
Time: 74280, removed: EXPERT Orange
Time: 74640, added: EXPERT Orange
Time: 75000, removed: EXPERT Green
Time: 75360, added: EXPERT Green
Time: 75720, removed: EXPERT Green
Time: 76080, added: EXPERT Green
Time: 76440, removed: EXPERT Blue
Time: 76800, added: EXPERT Blue
Time: 77160, removed: EXPERT Blue
Time: 77760, added: EXPERT Blue
Time: 78120, removed: EXPERT Green
Time: 78480, added: EXPERT Green
Time: 78840, removed: EXPERT Green
Time: 79200, added: EXPERT Green
Time: 79560, removed: EXPERT Green
Time: 79920, added: EXPERT Green
Time: 80280, removed: EXPERT Blue
Time: 80640, added: EXPERT Blue
Time: 81000, removed: EXPERT Blue
Time: 81600, added: EXPERT Blue
Time: 81960, removed: EXPERT Orange
Time: 82320, added: EXPERT Orange
Time: 82680, removed: EXPERT Yellow
Time: 83040, added: EXPERT Yellow
Time: 83400, removed: EXPERT Yellow
Time: 83760, added: EXPERT Yellow
Time: 84120, removed: EXPERT Yellow
Time: 84480, added: EXPERT Yellow
Time: 84840, removed: EXPERT Yellow
Time: 85440, added: EXPERT Yellow
Time: 85800, removed: EXPERT Yellow
Time: 86160, added: EXPERT Yellow
Time: 86520, removed: EXPERT Yellow
Time: 86880, added: EXPERT Yellow
Time: 87240, removed: EXPERT Yellow
Time: 87600, added: EXPERT Yellow
Time: 87960, removed: EXPERT Yellow
Time: 88320, added: EXPERT Yellow
Time: 88680, removed: EXPERT Yellow
Time: 89280, added: EXPERT Yellow
Time: 89640, removed: EXPERT Blue
Time: 90000, added: EXPERT Blue
Time: 90360, removed: EXPERT Green
Time: 90720, added: EXPERT Green
Time: 91080, removed: EXPERT Green
Time: 91440, added: EXPERT Green
Time: 91800, removed: EXPERT Orange
Time: 92160, added: EXPERT Orange
Time: 92520, removed: EXPERT Orange
Time: 93120, added: EXPERT Orange
Time: 93480, removed: EXPERT Green
Time: 93840, added: EXPERT Green
Time: 94200, removed: EXPERT Green
Time: 94560, added: EXPERT Green
Time: 94920, removed: EXPERT Red
Time: 95280, added: EXPERT Red
Time: 95640, removed: EXPERT Yellow
Time: 96000, added: EXPERT Yellow
Time: 96360, removed: EXPERT Blue
Time: 96720, added: EXPERT Blue
Time: 96960, removed: MEDIUM Blue, added: MEDIUM Orange
Time: 97080, removed: MEDIUM Blue, EXPERT Orange, added: MEDIUM Orange
Time: 97440, added: EXPERT Orange
Time: 97680, removed: EASY Green, added: EASY Red
Time: 97800, removed: EASY Green, added: EASY Red
Time: 109320, removed: EXPERT Blue
Time: 109680, added: EXPERT Blue
Time: 111240, removed: EXPERT Green
Time: 111600, added: EXPERT Green
Time: 139920, added: Force HOPO Off
Time: 140040, added: Force HOPO Off
Time: 143520, removed: HARD Orange, EXPERT Orange, added: HARD Yellow, EXPERT Yellow
Time: 143640, removed: HARD Orange, EXPERT Orange, added: HARD Yellow, EXPERT Yellow
Time: 143880, removed: EXPERT Blue
Time: 144240, added: EXPERT Blue
Time: 145800, removed: EXPERT Yellow
Time: 146160, added: EXPERT Yellow
Time: 147720, removed: EXPERT Red
Time: 148080, added: EXPERT Red
Time: 149640, removed: EXPERT Green
Time: 150000, added: EXPERT Green
Time: 151560, removed: EXPERT Orange
Time: 151920, added: EXPERT Orange
Time: 153480, removed: EXPERT Blue
Time: 153840, added: EXPERT Blue
Time: 155400, removed: EXPERT Yellow
Time: 155760, added: EXPERT Yellow
Time: 157320, removed: EXPERT Red
Time: 157680, added: EXPERT Red
Time: 159480, removed: EXPERT Red
Time: 159840, added: EXPERT Red
Time: 160200, removed: EXPERT Red
Time: 160560, added: EXPERT Red
Time: 160920, removed: EXPERT Blue
Time: 161280, added: EXPERT Blue
Time: 161640, removed: EXPERT Blue
Time: 162240, added: EXPERT Blue
Time: 162600, removed: EXPERT Red
Time: 162960, added: EXPERT Red
Time: 163320, removed: EXPERT Red
Time: 163680, added: EXPERT Red
Time: 164040, removed: EXPERT Red
Time: 164400, added: EXPERT Red
Time: 164760, removed: EXPERT Blue
Time: 165120, added: EXPERT Blue
Time: 165480, removed: EXPERT Blue
Time: 166080, added: EXPERT Blue
Time: 166440, removed: EXPERT Orange
Time: 166800, added: EXPERT Orange
Time: 167160, removed: EXPERT Green
Time: 167520, added: EXPERT Green
Time: 167880, removed: EXPERT Green
Time: 168240, added: EXPERT Green
Time: 168600, removed: EXPERT Blue
Time: 168960, added: EXPERT Blue
Time: 169320, removed: EXPERT Blue
Time: 169920, added: EXPERT Blue
Time: 170280, removed: EXPERT Green
Time: 170640, added: EXPERT Green
Time: 171000, removed: EXPERT Green
Time: 171360, added: EXPERT Green
Time: 171720, removed: EXPERT Green
Time: 172080, added: EXPERT Green
Time: 172440, removed: EXPERT Blue
Time: 172800, added: EXPERT Blue
Time: 173160, removed: EXPERT Blue
Time: 173760, added: EXPERT Blue
Time: 174120, removed: EXPERT Orange
Time: 174480, added: EXPERT Orange
Time: 174840, removed: EXPERT Yellow
Time: 175200, added: EXPERT Yellow
Time: 175560, removed: EXPERT Yellow
Time: 175920, added: EXPERT Yellow
Time: 176280, removed: EXPERT Yellow
Time: 176640, added: EXPERT Yellow
Time: 177000, removed: EXPERT Yellow
Time: 177600, added: EXPERT Yellow
Time: 177960, removed: EXPERT Yellow
Time: 178320, added: EXPERT Yellow
Time: 178680, removed: EXPERT Yellow
Time: 179040, added: EXPERT Yellow
Time: 179400, removed: EXPERT Yellow
Time: 179760, added: EXPERT Yellow
Time: 180120, removed: EXPERT Yellow
Time: 180480, added: EXPERT Yellow
Time: 180840, removed: EXPERT Yellow
Time: 181440, added: EXPERT Yellow
Time: 181800, removed: EXPERT Blue
Time: 182160, added: EXPERT Blue
Time: 182520, removed: EXPERT Green
Time: 182880, added: EXPERT Green
Time: 183240, removed: EXPERT Green
Time: 183600, added: EXPERT Green
Time: 183960, removed: EXPERT Orange
Time: 184320, added: EXPERT Orange
Time: 184680, removed: EXPERT Orange
Time: 185280, added: EXPERT Orange
Time: 185640, removed: EXPERT Green
Time: 186000, added: EXPERT Green
Time: 186360, removed: EXPERT Green
Time: 186720, added: EXPERT Green
Time: 187080, removed: EXPERT Red
Time: 187440, added: EXPERT Red
Time: 187800, removed: EXPERT Yellow
Time: 188160, added: EXPERT Yellow
Time: 188520, removed: EXPERT Blue
Time: 188880, added: EXPERT Blue
Time: 189120, removed: MEDIUM Blue, EASY Yellow, added: EASY Blue, MEDIUM Orange
Time: 189240, removed: HARD Orange, MEDIUM Blue, EASY Yellow, EXPERT Orange
Time: 190080, added: EASY Blue, HARD Orange, MEDIUM Orange, EXPERT Orange
Time: 201120, removed: HARD Blue, added: HARD Orange
Time: 201240, removed: HARD Blue, added: HARD Orange
